cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
e69c72a518f444bdc5987ecc,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s00_0_2ndtruer_00_d018_m030_010.mbe/000_Sheet1.csv,1,2,string 2,"Hey, Shouma... Are you okay? Don't you want any curry?","Hey, Shouma, bist du okay, willst du kein Curry?",translate,translated,displayed-string,b8eda81c220dcbba53feb4c6106b12e5a419abb744f6976fd9490b462d469b9e
87db7a1edb12f9d606658955,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s00_0_2ndtruer_00_d018_m030_010.mbe/000_Sheet1.csv,1,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
1978f2bc5b8ce204cc5ac560,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s00_0_2ndtruer_00_d018_m030_010.mbe/000_Sheet1.csv,1,4,string 4,"Hey, Shouma... Are you okay? Don't you want any curry?","Hey, Shouma, bist du okay, willst du kein Curry?",translate,translated,displayed-string,b8eda81c220dcbba53feb4c6106b12e5a419abb744f6976fd9490b462d469b9e
d8355606168ca8aa75eeb606,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s00_0_2ndtruer_00_d018_m030_010.mbe/000_Sheet1.csv,2,2,string 2,"Huh? Oh, uh, well...","Oh, ähm, nun...",translate,translated,displayed-string,0dd286c63b263e4432163b170fc38f05994bc7d65112bbff401ddb7fb51f34a9
cf4ac5153a6d3039c5282c0a,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s00_0_2ndtruer_00_d018_m030_010.mbe/000_Sheet1.csv,2,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
270c3be79219b2bfb9e1b6d0,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s00_0_2ndtruer_00_d018_m030_010.mbe/000_Sheet1.csv,2,4,string 4,"Huh? Oh, uh, well...","Oh, ähm, nun...",translate,translated,displayed-string,0dd286c63b263e4432163b170fc38f05994bc7d65112bbff401ddb7fb51f34a9
ac193ab494dc43d868d17357,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s00_0_2ndtruer_00_d018_m030_010.mbe/000_Sheet1.csv,3,2,string 2,...,...,protected,protected,non-linguistic,ab5df625bc76dbd4e163bed2dd888df828f90159bb93556525c31821b6541d46
ddcb1f519178b49b40748dab,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s00_0_2ndtruer_00_d018_m030_010.mbe/000_Sheet1.csv,3,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
b3fc8ac7596cba4b31454c78,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s00_0_2ndtruer_00_d018_m030_010.mbe/000_Sheet1.csv,3,4,string 4,...,...,protected,protected,non-linguistic,ab5df625bc76dbd4e163bed2dd888df828f90159bb93556525c31821b6541d46
31a93cf388755dbd36d1ab13,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s00_0_2ndtruer_00_d018_m030_010.mbe/000_Sheet1.csv,4,2,string 2,{fc(57e4f1)I recognize that reaction. Don't tell me...},{fc(57e4f1)Ich erkenne diese Reaktion.},translate,translated,displayed-string:fc-repair,bb671274fc6651ba8d31cd08001e498fdd0af2686663d7c202e75ce82cca0527
cb6111501e64a8cae3504a15,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s00_0_2ndtruer_00_d018_m030_010.mbe/000_Sheet1.csv,4,4,string 4,{fc(57e4f1)I recognize that reaction. Don't tell me...},{fc(57e4f1)Ich erkenne diese Reaktion.},translate,translated,displayed-string:fc-repair,bb671274fc6651ba8d31cd08001e498fdd0af2686663d7c202e75ce82cca0527
7efd85cd68ae5ce4f9d31a38,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s00_0_2ndtruer_00_d018_m030_010.mbe/000_Sheet1.csv,5,2,string 2,Did you...remember something about our past?,Erinnerst du dich an etwas über unsere Vergangenheit?,translate,translated,displayed-string,353a972edd33edc2c0baf079a92534046988072cdbbf834f2fafc756a5be4874
dcccfead440171e713a9f9d8,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s00_0_2ndtruer_00_d018_m030_010.mbe/000_Sheet1.csv,5,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
f3a7b83c99c1a61339e2b0fa,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s00_0_2ndtruer_00_d018_m030_010.mbe/000_Sheet1.csv,5,4,string 4,Did you...remember something about our past?,Erinnerst du dich an etwas über unsere Vergangenheit?,translate,translated,displayed-string,353a972edd33edc2c0baf079a92534046988072cdbbf834f2fafc756a5be4874
8a72d5a2e8eeb0b04b1a2f25,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s00_0_2ndtruer_00_d018_m030_010.mbe/000_Sheet1.csv,6,2,string 2,...,...,protected,protected,non-linguistic,ab5df625bc76dbd4e163bed2dd888df828f90159bb93556525c31821b6541d46
9e34d939355ac9cc5a5313f8,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s00_0_2ndtruer_00_d018_m030_010.mbe/000_Sheet1.csv,6,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
5aadce5c481c7b7d3afc7e0e,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s00_0_2ndtruer_00_d018_m030_010.mbe/000_Sheet1.csv,6,4,string 4,...,...,protected,protected,non-linguistic,ab5df625bc76dbd4e163bed2dd888df828f90159bb93556525c31821b6541d46
6f0ea3d344a27224006a8eda,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s00_0_2ndtruer_00_d018_m030_010.mbe/000_Sheet1.csv,7,2,string 2,Y-Yes...,"Ja, genau.",translate,translated,displayed-string,9df7e4e4601e548b8415b0f1ed4b911d69d3c030b7412622618f8427ff2108b5
70a0c833c5d65da49a7eff81,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s00_0_2ndtruer_00_d018_m030_010.mbe/000_Sheet1.csv,7,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
dab1664420d71bd313dc8146,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s00_0_2ndtruer_00_d018_m030_010.mbe/000_Sheet1.csv,7,4,string 4,Y-Yes...,"Ja, genau.",translate,translated,displayed-string,9df7e4e4601e548b8415b0f1ed4b911d69d3c030b7412622618f8427ff2108b5
0d2da0e52823a59d435b530f,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s00_0_2ndtruer_00_d018_m030_010.mbe/000_Sheet1.csv,8,2,string 2,{fc(57e4f1)I thought so. It's just like last time.},{fc(57e4f1)Das dachte ich mir.},translate,translated,displayed-string:fc-repair,ae1c12318e864ec3c13de62c95fc9b4a511e54547356b48ce45b7f89caf95676
1b491a583940a009284cf436,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s00_0_2ndtruer_00_d018_m030_010.mbe/000_Sheet1.csv,8,4,string 4,{fc(57e4f1)I thought so. It's just like last time.},{fc(57e4f1)Das dachte ich mir.},translate,translated,displayed-string:fc-repair,ae1c12318e864ec3c13de62c95fc9b4a511e54547356b48ce45b7f89caf95676
c5099cf2753d6c8cafd23537,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s00_0_2ndtruer_00_d018_m030_010.mbe/000_Sheet1.csv,9,2,string 2,"What's up, Shouma? You doing okay?","Was ist los, Shouma?",translate,translated,displayed-string,1cdb34de672c5b4d38badcda7e7aec61b0e955d82a7d75d68c51e52b1f983122
270cbeed0e7e7d48124f7635,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s00_0_2ndtruer_00_d018_m030_010.mbe/000_Sheet1.csv,9,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
045823e752f516df5767c8ad,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s00_0_2ndtruer_00_d018_m030_010.mbe/000_Sheet1.csv,9,4,string 4,"What's up, Shouma? You doing okay?","Was ist los, Shouma?",translate,translated,displayed-string,1cdb34de672c5b4d38badcda7e7aec61b0e955d82a7d75d68c51e52b1f983122
b61fc235ec8bd0af92693fb4,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s00_0_2ndtruer_00_d018_m030_010.mbe/000_Sheet1.csv,10,2,string 2,"He's unlocked a repressed memory. I've seen him do this before, in my timeline.","Er hat eine unterdrückte Erinnerung entriegelt, ich habe ihn das schon mal in meiner Timeline machen sehen.",translate,translated,displayed-string,4776245bb86a6b76fb7085328940bf6cadf2d04ed8fe2b255bcd2c5ea9b5f43e
b0430e5f31f6cdcd7450d714,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s00_0_2ndtruer_00_d018_m030_010.mbe/000_Sheet1.csv,10,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
980e960c1bbc235c3a58fd00,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s00_0_2ndtruer_00_d018_m030_010.mbe/000_Sheet1.csv,10,4,string 4,"He's unlocked a repressed memory. I've seen him do this before, in my timeline.","Er hat eine unterdrückte Erinnerung entriegelt, ich habe ihn das schon mal in meiner Timeline machen sehen.",translate,translated,displayed-string,4776245bb86a6b76fb7085328940bf6cadf2d04ed8fe2b255bcd2c5ea9b5f43e
