cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
64da19290f99bc77086b9b58,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/passive_skill_explanation_bug.mbe/000_Sheet1.csv,1,1,string 1,÷◇〇▽＝＊■,÷◇〇▽＝＊■,protected,protected,non-linguistic,a1a4cfdd790737dfae58516952dd64e280eb0e06b08df3e8bb3414e8fe568e4e
461cb8ee44f4393e614d50d4,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/passive_skill_explanation_bug.mbe/000_Sheet1.csv,2,1,string 1,▽→↓◇◆＃↑,▽→↓◇◆＃↑,protected,protected,non-linguistic,172a31adeb3161c666cae9b8bfb98773975e5ea7f615cfd71c6b7b308d5a608b
8e1c3f8f9d33757f85100e4c,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/passive_skill_explanation_bug.mbe/000_Sheet1.csv,3,1,string 1,◆～▲÷↑★△,◆～▲÷↑★△,protected,protected,non-linguistic,b06d7144c832748968a4b69b8efc5379f84bf0d510325bf5a815850335a09976
e8e73affe14c00b53607a267,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/passive_skill_explanation_bug.mbe/000_Sheet1.csv,4,1,string 1,★＝～〇●＃↓,★＝～〇●＃↓,protected,protected,non-linguistic,2e69f67a244cc9f702c2a9da47fb5da8e196ad3fdf1e6bf90b487a2ecbb1b5fa
7ebd9360abff8f3e540733b8,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/passive_skill_explanation_bug.mbe/000_Sheet1.csv,5,1,string 1,〇＃▽↑＊◇↓,〇＃▽↑＊◇↓,protected,protected,non-linguistic,d6a86c5b05b4f3cef686f95fdf13fc080a9bbcff250e007d6c7cfb5760443099
00541ed97d202417b48c0db0,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/passive_skill_explanation_bug.mbe/000_Sheet1.csv,6,1,string 1,※▽＃＝〇◆÷,※▽＃＝〇◆÷,protected,protected,non-linguistic,24427f319bdb8f3f5a097044d50b2a67adff4b1120bdb15d1ce0aa151b222563
6251054c50c6cede95c12e50,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/passive_skill_explanation_bug.mbe/000_Sheet1.csv,7,1,string 1,◆▲〇→▽←×,◆▲〇→▽←×,protected,protected,non-linguistic,5753827ff9a7ab4a814d06247128c346a91bac7c9dbe5d052c9cbda5a8e00b57
6d5c4ee2eb3f8917336d8f21,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/passive_skill_explanation_bug.mbe/000_Sheet1.csv,8,1,string 1,＃＝◆＊↓※←,＃＝◆＊↓※←,protected,protected,non-linguistic,866fb62ce3b9e3885f3585c73ceaba4d5c1d701ed8463dfbe9f567aebea81216
ed459df520ca1edfb30e301c,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/passive_skill_explanation_bug.mbe/000_Sheet1.csv,9,1,string 1,▽◇△※→×★,▽◇△※→×★,protected,protected,non-linguistic,48c879e59195b7fbbdf26965f4ad431dbc21d81a67ca38087e16f1090d5e50fb
7d5d3c07af18359dbf58d837,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/passive_skill_explanation_bug.mbe/000_Sheet1.csv,10,1,string 1,↓↑◆▲→＝〇,↓↑◆▲→＝〇,protected,protected,non-linguistic,752a6567814b8bae0e000628b635eb25ab8bd6643e78ffad8b6b38294b4092c5
e46617ea2e7b9c98dba1098c,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/passive_skill_explanation_bug.mbe/000_Sheet1.csv,11,1,string 1,↑％＝×→◆※,↑％＝×→◆※,protected,protected,non-linguistic,8b8b254efd4d7111bf3e9e8847185ef4c94ca5b020c684a08f55bfbdcdf64592
3b86f168a0bca383a5ac5421,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/passive_skill_explanation_bug.mbe/000_Sheet1.csv,12,1,string 1,％▲◇＊☆←＝,％▲◇＊☆←＝,protected,protected,non-linguistic,d0d5f846f8e0fc15a810510ef5017a53a3dfae4666699872031a5c6b7473eb9c
16efb7cab91d4cd1c49efa68,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/passive_skill_explanation_bug.mbe/000_Sheet1.csv,13,1,string 1,→％↑◆■＊▽,→％↑◆■＊▽,protected,protected,non-linguistic,a930e5514eeb40e68fc25ac9f63a70e0bdfd68e9b663a95f47bd90305c0953be
13f42d249d8fb1e437d210f7,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/passive_skill_explanation_bug.mbe/000_Sheet1.csv,14,1,string 1,％→△▽＃÷□,％→△▽＃÷□,protected,protected,non-linguistic,7311cf5680e74b2297a7f2c0f39dc32333c75b9b5087d1928ea0bf41dd8bc360
041914f9388ef481094dd880,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/passive_skill_explanation_bug.mbe/000_Sheet1.csv,15,1,string 1,＃▲←～＊↑▽,＃▲←～＊↑▽,protected,protected,non-linguistic,87e2be981c7629d4a2882507694354bae9dd4fa45b19740d7132b78eeb3c77f3
