cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
d03bffea4bb9582a9e865317,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/field_route_name.mbe/000_field_route_name.csv,2,1,string 1,Last Defense Academy 2nd Scenario,Letzte Verteidigungsakademie 2. Szenario,translate,translated,displayed-string,3b4596237d26012cf9ac26e0a1e5b79c8c82b8349927ed7c0f3f55591d5f7355
77b8618512316f5d4f8a57e5,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/field_route_name.mbe/000_field_route_name.csv,3,1,string 1,Reset Route,Route zurücksetzen,translate,translated,displayed-string,ac661ba27783282d3cf17b8abecc7df8f0a45df787ac41819da460b479c135dc
fa7d253088c11c1ce2e3444f,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/field_route_name.mbe/000_field_route_name.csv,4,1,string 1,Goodbye Eito Route,Auf Wiedersehen Eito Route,translate,translated,displayed-string,14c8b63b3407aac20a4c8e63223e4a40412dc686f5574ad2e5aa9034cd35b742
ff2d754b5bfa2c6147c45d3e,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/field_route_name.mbe/000_field_route_name.csv,5,1,string 1,Rebellion Route,Rebellion Route,translate,translated,displayed-string,5bb00828c0554b27fdd4b21abcc137fa7e314d13aaa4eb23dbef77d6bdd98ffd
b484ff70c85e560e00b4a441,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/field_route_name.mbe/000_field_route_name.csv,6,1,string 1,Eva Route,Eva Route,translate,translated,displayed-string,69012fce5dcfdc1c5b01a7de4922b15371a5e7f3000c21d64f804716e4882808
29051b2e2250c77172120a74,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/field_route_name.mbe/000_field_route_name.csv,7,1,string 1,Multiple Eitos Route,Mehrere Eitos-Route,translate,translated,displayed-string,0b6b03c83f824318e95fe5d1c048170853205cf9c664284599d08ce1b03c8e0c
2db36c6b202443eeb1733a53,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/field_route_name.mbe/000_field_route_name.csv,8,1,string 1,Serial Battles Route,Serial Battles Route,translate,translated,displayed-string,3c69e11905fa061f2296f07e8f9f0bb7e18552e49e192b0a49972b84d42ecf52
0f840d8706542b8f5dc82034,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/field_route_name.mbe/000_field_route_name.csv,9,1,string 1,Conspiracy Route,Verschwörungsroute,translate,translated,displayed-string,3e04020fc258605bc37e5fa9e518aaa63fff014aa2d25a4fc3fc41251eef1ca3
8eee592840ffaafda7c51ff9,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/field_route_name.mbe/000_field_route_name.csv,10,1,string 1,Casual Route,Zufällige Route,translate,translated,displayed-string,7a330c304d7667edf501836274cddb1228d18e32a490943bf1597fe59318e87a
63ae6b4a330e04e840fd6be4,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/field_route_name.mbe/000_field_route_name.csv,11,1,string 1,Box of Blessings Route,Box of Blessings Route,translate,translated,displayed-string,30d5a74123715b2d21e18e0a14cbf5ee701e5b5bb3c631f84c2e5f3b302210a2
