cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
c3daca4816efbfda54807f53,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_ab_d079_m050_010.mbe/000_Sheet1.csv,1,2,string 2,{fc(57e4f1)Hiruko went into the Morgue first. I couldn't bring myself to go in after her.},"{fc(57e4f1)Hiruko ging zuerst in die Morgue. Ich konnte mich nicht dazu bringen, sie zu verfolgen.}",translate,translated,displayed-string:fc-repair,ec06f4bbc2caaf39cf31151a0ef94c9fd7950b45aaf83bc4c4f4183c73890dc1
01b4f1b885a1ee6f7128946e,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_ab_d079_m050_010.mbe/000_Sheet1.csv,1,4,string 4,{fc(57e4f1)Hiruko went into the Morgue first. I couldn't bring myself to go in after her.},"{fc(57e4f1)Hiruko ging zuerst in die Morgue. Ich konnte mich nicht dazu bringen, sie zu verfolgen.}",translate,translated,displayed-string:fc-repair,ec06f4bbc2caaf39cf31151a0ef94c9fd7950b45aaf83bc4c4f4183c73890dc1
142c56beba2ff4fb75320d75,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_ab_d079_m050_010.mbe/000_Sheet1.csv,2,2,string 2,{fc(57e4f1)After all...},{fc(57e4f1)Immerhin...},translate,translated,displayed-string:fc-repair,54388256c4b48fd482c7e42c0da8c46da3b63fd07e7cce561e59fd18a068a02a
5cc6eb799de352d843e80d6f,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_ab_d079_m050_010.mbe/000_Sheet1.csv,2,4,string 4,{fc(57e4f1)After all...},{fc(57e4f1)Immerhin...},translate,translated,displayed-string:fc-repair,54388256c4b48fd482c7e42c0da8c46da3b63fd07e7cce561e59fd18a068a02a
bfe47de7529012ce6fd7eab5,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_ab_d079_m050_010.mbe/000_Sheet1.csv,3,2,string 2,H-Hey! Look!,Sieh nur!,translate,translated,displayed-string,31f300d63fc41a875ccd799981aeace617ddc277eac9bcddaa5135d706cdfe5d
29aa70e7fa04e0479f378cc8,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_ab_d079_m050_010.mbe/000_Sheet1.csv,3,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
3217eba513cd8424a8be068c,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_ab_d079_m050_010.mbe/000_Sheet1.csv,3,4,string 4,H-Hey! Look!,Sieh nur!,translate,translated,displayed-string,31f300d63fc41a875ccd799981aeace617ddc277eac9bcddaa5135d706cdfe5d
40ae0fee21a64376a2b843b5,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_ab_d079_m050_010.mbe/000_Sheet1.csv,4,2,string 2,That's...,Das ist...,translate,translated,displayed-string,0121447464d95fa3f587660a14e57dbf9984c04036266df8282d551c72b78c45
8c11c05ae1f8c5d50e425292,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_ab_d079_m050_010.mbe/000_Sheet1.csv,4,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
784704ffcdb319ac8d3389c8,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_ab_d079_m050_010.mbe/000_Sheet1.csv,4,4,string 4,That's...,Das ist...,translate,translated,displayed-string,0121447464d95fa3f587660a14e57dbf9984c04036266df8282d551c72b78c45
