cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
f38f9318379c8f4fe735b937,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/g_chr014yuga_03.mbe/000_Sheet1.csv,1,2,string 2,Yugamu... What are you doing here?,"Yugamu, was machst du hier?",translate,translated,displayed-string,b8ba1c646bbfb8eba4aaf6000493171a985703ed82e73fb7eb4cb097deebf8e1
f8f4cc611113ea83170471e6,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/g_chr014yuga_03.mbe/000_Sheet1.csv,1,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
77f9572ab7ca27f6338e8e04,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/g_chr014yuga_03.mbe/000_Sheet1.csv,1,4,string 4,Yugamu... What are you doing here?,"Yugamu, was machst du hier?",translate,translated,displayed-string,b8ba1c646bbfb8eba4aaf6000493171a985703ed82e73fb7eb4cb097deebf8e1
ec88bfe12778b28956c1a81c,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/g_chr014yuga_03.mbe/000_Sheet1.csv,2,2,string 2,I was just pondering the differences between life before and after revival while I was looking at the Revive-O-Matic.,"Ich habe gerade über die Unterschiede zwischen dem Leben vor und nach der Wiederbelebung nachgedacht, während ich die Revive-O-Matic betrachtete.",translate,translated,displayed-string,8089e2a9624fd73d4528236bf8c0a18a12f799707f49192d160575323f4f9492
e4599ae6d46bf89a191d312f,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/g_chr014yuga_03.mbe/000_Sheet1.csv,2,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
c238e8a213a2a21f49f30914,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/g_chr014yuga_03.mbe/000_Sheet1.csv,2,4,string 4,I was just pondering the differences between life before and after revival while I was looking at the Revive-O-Matic.,"Ich habe gerade über die Unterschiede zwischen dem Leben vor und nach der Wiederbelebung nachgedacht, während ich die Revive-O-Matic betrachtete.",translate,translated,displayed-string,8089e2a9624fd73d4528236bf8c0a18a12f799707f49192d160575323f4f9492
c8af4d0e98051f33d11c2ab8,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/g_chr014yuga_03.mbe/000_Sheet1.csv,3,2,string 2,The differences...?,Die Unterschiede...?,translate,translated,displayed-string,c0fe30da990b79afb0e58bc83ceb6cbd61066dd7ff018037803cbe3054f026a4
f9b11b707e9f76cb3e76d2c3,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/g_chr014yuga_03.mbe/000_Sheet1.csv,3,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
1054381158e0777811add88e,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/g_chr014yuga_03.mbe/000_Sheet1.csv,3,4,string 4,The differences...?,Die Unterschiede...?,translate,translated,displayed-string,c0fe30da990b79afb0e58bc83ceb6cbd61066dd7ff018037803cbe3054f026a4
536703b804085fe623d19081,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/g_chr014yuga_03.mbe/000_Sheet1.csv,4,2,string 2,"When we die, we're thrown into the Revive-O-Matic and our bodies are brought back.","Wenn wir sterben, werden wir in die Revive-O-Matic geworfen und unsere Körper werden zurückgebracht.",translate,translated,displayed-string,54625ebb6182e3a28ca67b8fe94dc2acf03185b4566ad84e86e94f27b4397d76
dccf7ad23fcbc0cb1a4d5fd5,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/g_chr014yuga_03.mbe/000_Sheet1.csv,4,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
c01bd53fb136b8e339bdf3d8,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/g_chr014yuga_03.mbe/000_Sheet1.csv,4,4,string 4,"When we die, we're thrown into the Revive-O-Matic and our bodies are brought back.","Wenn wir sterben, werden wir in die Revive-O-Matic geworfen und unsere Körper werden zurückgebracht.",translate,translated,displayed-string,54625ebb6182e3a28ca67b8fe94dc2acf03185b4566ad84e86e94f27b4397d76
7b8ba3a66584d826d58cdb5b,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/g_chr014yuga_03.mbe/000_Sheet1.csv,5,2,string 2,"Our bodies come back in perfect condition, as if the death never happened at all.","Unsere Körper kommen in perfektem Zustand zurück, als ob der Tod überhaupt nie passiert wäre.",translate,translated,displayed-string,a3f4d3126b2301c5b018c8b5ca3172dea138d791b23b9262202783bb64a4347b
e549626bfb1848f6ab905e42,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/g_chr014yuga_03.mbe/000_Sheet1.csv,5,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
2515df9c0ec60321f72acd2f,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/g_chr014yuga_03.mbe/000_Sheet1.csv,5,4,string 4,"Our bodies come back in perfect condition, as if the death never happened at all.","Unsere Körper kommen in perfektem Zustand zurück, als ob der Tod überhaupt nie passiert wäre.",translate,translated,displayed-string,a3f4d3126b2301c5b018c8b5ca3172dea138d791b23b9262202783bb64a4347b
3f15bf5f0eb80cd4fa3ed664,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/g_chr014yuga_03.mbe/000_Sheet1.csv,6,2,string 2,But can we really say for certain that we're the same person we were before we were brought back?,"Aber können wir wirklich mit Sicherheit sagen, dass wir die gleiche Person sind, die wir waren, bevor wir zurückgebracht wurden?",translate,translated,displayed-string,6dd7b671485d52a3d5ad80bb64639015ee1363aab02f86b3a95a69fa684d3947
61e53229271b80b79e7580b7,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/g_chr014yuga_03.mbe/000_Sheet1.csv,6,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
45ff75a2fadbee9e2432ada7,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/g_chr014yuga_03.mbe/000_Sheet1.csv,6,4,string 4,But can we really say for certain that we're the same person we were before we were brought back?,"Aber können wir wirklich mit Sicherheit sagen, dass wir die gleiche Person sind, die wir waren, bevor wir zurückgebracht wurden?",translate,translated,displayed-string,6dd7b671485d52a3d5ad80bb64639015ee1363aab02f86b3a95a69fa684d3947
3c04b849df04cd6aaf0665b4,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/g_chr014yuga_03.mbe/000_Sheet1.csv,7,2,string 2,Wh-What do you mean? Of course we're the same person if we're back.,"Natürlich sind wir dieselbe Person, wenn wir zurück sind.",translate,translated,displayed-string,46a5629cf1ede1b2ce1df792f2333135073cbfeb6fb6bb5731f993b1aadc73ba
a980ab2f951b6720b47f11dc,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/g_chr014yuga_03.mbe/000_Sheet1.csv,7,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
934115fb34cdc9817882fabd,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/g_chr014yuga_03.mbe/000_Sheet1.csv,7,4,string 4,Wh-What do you mean? Of course we're the same person if we're back.,"Natürlich sind wir dieselbe Person, wenn wir zurück sind.",translate,translated,displayed-string,46a5629cf1ede1b2ce1df792f2333135073cbfeb6fb6bb5731f993b1aadc73ba
c1d9bcc333f78ec180f999e5,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/g_chr014yuga_03.mbe/000_Sheet1.csv,8,2,string 2,"You're right that our body is the same, but...my problem lies with our consciousness.","Du hast Recht, dass unser Körper derselbe ist, aber... mein Problem liegt bei unserem Bewusstsein.",translate,translated,displayed-string,c15f61d52caea3d7d4e2a5b6abdeb5ebcd9e8270bf7be12d7e3b68cded7dd265
