cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
2ef38cf25d5aac489a110f3a,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_b_occultrt_20_d039_m020_010.mbe/000_Sheet1.csv,1,2,string 2,And that's why you came to me?,Und deshalb bist du zu mir gekommen?,translate,translated,displayed-string,637eadc479cca6b06b9d93761553b58945d5b9c7e1563d7e2c8f09d4d5d37fc4
df1d616c434839229fada00e,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_b_occultrt_20_d039_m020_010.mbe/000_Sheet1.csv,1,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
0cf5efea28a5cf0c76375d3b,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_b_occultrt_20_d039_m020_010.mbe/000_Sheet1.csv,1,4,string 4,And that's why you came to me?,Und deshalb bist du zu mir gekommen?,translate,translated,displayed-string,637eadc479cca6b06b9d93761553b58945d5b9c7e1563d7e2c8f09d4d5d37fc4
64a5e1545df097dd795f88c6,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_b_occultrt_20_d039_m020_010.mbe/000_Sheet1.csv,2,2,string 2,"Yeah. Plus, I haven't seen you in a while.",Außerdem habe ich dich lange nicht gesehen.,translate,translated,displayed-string,082156da9c9b73bbc5e906d31227bb25c6860d1edad8b842cc0b30c046068e5a
23b25b05a326222a7c3c454c,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_b_occultrt_20_d039_m020_010.mbe/000_Sheet1.csv,2,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
d640e6b7c5c569c149959c8f,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_b_occultrt_20_d039_m020_010.mbe/000_Sheet1.csv,2,4,string 4,"Yeah. Plus, I haven't seen you in a while.",Außerdem habe ich dich lange nicht gesehen.,translate,translated,displayed-string,082156da9c9b73bbc5e906d31227bb25c6860d1edad8b842cc0b30c046068e5a
4789829992024c46fc426f80,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_b_occultrt_20_d039_m020_010.mbe/000_Sheet1.csv,3,2,string 2,I know... Sirei told me not to talk to you so much anymore.,"Sirei hat mir gesagt, ich soll nicht mehr so viel mit dir reden.",translate,translated,displayed-string,04d47257533d4bc25ab4363a4823e8015cf15535f93acdd06c6c0965dfdd94e7
2391472ed051223a367f780f,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_b_occultrt_20_d039_m020_010.mbe/000_Sheet1.csv,3,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
58bb7482b16b66a7f6c9ae47,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_b_occultrt_20_d039_m020_010.mbe/000_Sheet1.csv,3,4,string 4,I know... Sirei told me not to talk to you so much anymore.,"Sirei hat mir gesagt, ich soll nicht mehr so viel mit dir reden.",translate,translated,displayed-string,04d47257533d4bc25ab4363a4823e8015cf15535f93acdd06c6c0965dfdd94e7
ad0a1130b2b02fd9306c782f,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_b_occultrt_20_d039_m020_010.mbe/000_Sheet1.csv,4,2,string 2,He did...?,Hat er...?,translate,translated,displayed-string,1c60dc7c5fe27dfbedbec1d338d19924159e049705150ada694e5e1de5bfb507
