cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
c935a6118f73ba18314b590f,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_b_suirixrt_b0_d051_m040_010.mbe/000_Sheet1.csv,1,2,string 2,"{fc(57e4f1)Cause of death: Hemorrhagic shock. Estimated time of death: Day 51, between 2:00 and 5:00 am.}","{fc(57e4f1)Todesursache: Hämorrhagischer Schock. Geschätzter Todeszeitpunkt: Tag 51, zwischen 2:00 und 5:00 Uhr.}",translate,translated,displayed-string:fc-repair,42c5297a765e825a0604a3d466f9c4bed22015b5ad7f1a6eb247e75a01473fcd
0b6cc672ee407b4456a81319,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_b_suirixrt_b0_d051_m040_010.mbe/000_Sheet1.csv,1,4,string 4,"{fc(57e4f1)Cause of death: Hemorrhagic shock. Estimated time of death: Day 51, between 2:00 and 5:00 am.}","{fc(57e4f1)Todesursache: Hämorrhagischer Schock. Geschätzter Todeszeitpunkt: Tag 51, zwischen 2:00 und 5:00 Uhr.}",translate,translated,displayed-string:fc-repair,42c5297a765e825a0604a3d466f9c4bed22015b5ad7f1a6eb247e75a01473fcd
83d0d3d514adde4f69abc8a8,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_b_suirixrt_b0_d051_m040_010.mbe/000_Sheet1.csv,2,2,string 2,{fc(57e4f1)Multiple stab wounds on the chest and abdomen. The murder weapon is likely a sharp blade about 8 in long.},{fc(57e4f1)Mehrere Stichwunden auf Brust und Bauch. Die Mordwaffe ist wahrscheinlich eine scharfe Klinge etwa 8 in lang.},translate,translated,displayed-string:fc-repair,69a7580c4d13ff0c7a3bfc326da2222a2a84f644392b6d0904c893c68909c23c
37322761550a0fe6526d17c2,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_b_suirixrt_b0_d051_m040_010.mbe/000_Sheet1.csv,2,4,string 4,{fc(57e4f1)Multiple stab wounds on the chest and abdomen. The murder weapon is likely a sharp blade about 8 in long.},{fc(57e4f1)Mehrere Stichwunden auf Brust und Bauch. Die Mordwaffe ist wahrscheinlich eine scharfe Klinge etwa 8 in lang.},translate,translated,displayed-string:fc-repair,69a7580c4d13ff0c7a3bfc326da2222a2a84f644392b6d0904c893c68909c23c
93f3c0b343f05cdb6b86f606,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_b_suirixrt_b0_d051_m040_010.mbe/000_Sheet1.csv,3,2,string 2,{fc(57e4f1)Too much time has passed since death. Insufficient cryptoglobin present in body. Impossible to revive.},{fc(57e4f1)Zu viel Zeit ist seit dem Tod vergangen. Unzureichende Kryptoglobin im Körper vorhanden. Unmöglich zu beleben.},translate,translated,displayed-string:fc-repair,dd7877878972312b239a3842cf890233596eb9477a94f77dbb71c3548d57c750
cbe2f74e6af43b7eeb3684ab,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_b_suirixrt_b0_d051_m040_010.mbe/000_Sheet1.csv,3,4,string 4,{fc(57e4f1)Too much time has passed since death. Insufficient cryptoglobin present in body. Impossible to revive.},{fc(57e4f1)Zu viel Zeit ist seit dem Tod vergangen. Unzureichende Kryptoglobin im Körper vorhanden. Unmöglich zu beleben.},translate,translated,displayed-string:fc-repair,dd7877878972312b239a3842cf890233596eb9477a94f77dbb71c3548d57c750
06b53f477847909bd6207945,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_b_suirixrt_b0_d051_m040_010.mbe/000_Sheet1.csv,4,2,string 2,"{fc(57e4f1)After everyone had a chance to view the monitor, the mood in the room became heavier.}","{fc(57e4f1)Nachdem jeder die Möglichkeit hatte, den Monitor zu sehen, wurde die Stimmung im Raum schwerer.}",translate,translated,displayed-string:fc-repair,787d13023b02535fd97b87212a80dfeb57afa0069c7fcb0795c6f4953be8fda5
aaa3e9d61fddced697a5a3ab,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_b_suirixrt_b0_d051_m040_010.mbe/000_Sheet1.csv,4,4,string 4,"{fc(57e4f1)After everyone had a chance to view the monitor, the mood in the room became heavier.}","{fc(57e4f1)Nachdem jeder die Möglichkeit hatte, den Monitor zu sehen, wurde die Stimmung im Raum schwerer.}",translate,translated,displayed-string:fc-repair,787d13023b02535fd97b87212a80dfeb57afa0069c7fcb0795c6f4953be8fda5
b0dab7704289d2fd9f2b3e9e,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_b_suirixrt_b0_d051_m040_010.mbe/000_Sheet1.csv,5,2,string 2,The hell's goin' on?!,Was zum Teufel geht hier vor?!,translate,translated,displayed-string,066d8b6674a711d3db1d52478e68e759921fd8bf11cc9a9b8b265506637bd423
f1435ef376aa788848bfefc2,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_b_suirixrt_b0_d051_m040_010.mbe/000_Sheet1.csv,5,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
