cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
3819a817514a14732aa060a9,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_b_occultrt_20_d040_m010_010.mbe/000_Sheet1.csv,1,2,string 2,Day 40,Tag 40,translate,translated,displayed-string,788ca905c693d12b37cdfd5048bcfadd0bbfbe7d501121340758afc501f43ebd
422b0d1cd90f7b0bdf25020d,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_b_occultrt_20_d040_m010_010.mbe/000_Sheet1.csv,1,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
ca1993e96d17aace5acf8c8b,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_b_occultrt_20_d040_m010_010.mbe/000_Sheet1.csv,1,4,string 4,Day 40,Tag 40,translate,translated,displayed-string,788ca905c693d12b37cdfd5048bcfadd0bbfbe7d501121340758afc501f43ebd
073a638e47dee30662a80261,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_b_occultrt_20_d040_m010_010.mbe/000_Sheet1.csv,2,2,string 2,"This is Ima's room, right here.","Das ist Imas Zimmer, genau hier.",translate,translated,displayed-string,8118041899882426da5f4404ee49b0d206d81603894b11f7a216cc0b09d7dd37
fb2a8ee8dc6660e4b2fce266,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_b_occultrt_20_d040_m010_010.mbe/000_Sheet1.csv,2,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
60e2b8a4f7f6d4673d66e5db,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_b_occultrt_20_d040_m010_010.mbe/000_Sheet1.csv,2,4,string 4,"This is Ima's room, right here.","Das ist Imas Zimmer, genau hier.",translate,translated,displayed-string,8118041899882426da5f4404ee49b0d206d81603894b11f7a216cc0b09d7dd37
b914442b107eaed713d9488f,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_b_occultrt_20_d040_m010_010.mbe/000_Sheet1.csv,3,2,string 2,"Hey, Ima? Are you awake?","Hey, Ima, bist du wach?",translate,translated,displayed-string,4a75e6eb802da1f2de1f6174a9657d483daa1b220e3e1eab6a1985dd6b51cb05
53b6ae3c87858908ac0c67d5,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_b_occultrt_20_d040_m010_010.mbe/000_Sheet1.csv,3,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
358ebbc7099c58e119ba8847,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_b_occultrt_20_d040_m010_010.mbe/000_Sheet1.csv,3,4,string 4,"Hey, Ima? Are you awake?","Hey, Ima, bist du wach?",translate,translated,displayed-string,4a75e6eb802da1f2de1f6174a9657d483daa1b220e3e1eab6a1985dd6b51cb05
0425a268d4a3d7bd2f65f36a,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_b_occultrt_20_d040_m010_010.mbe/000_Sheet1.csv,4,2,string 2,...Ima?,...Ima?,translate,translated,displayed-string,465b5e146773fedf26a59498662db7a1ec0fcfd6e9003c4a7b9d867e7d6a947e
74a92c48c1431fdf8a51a543,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_b_occultrt_20_d040_m010_010.mbe/000_Sheet1.csv,4,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
3c47a016b76cc08ef20bedbe,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_b_occultrt_20_d040_m010_010.mbe/000_Sheet1.csv,4,4,string 4,...Ima?,...Ima?,translate,translated,displayed-string,465b5e146773fedf26a59498662db7a1ec0fcfd6e9003c4a7b9d867e7d6a947e
b871bcd465c53d439709346c,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_b_occultrt_20_d040_m010_010.mbe/000_Sheet1.csv,5,2,string 2,{fc(57e4f1)Why isn't he responding...?},{fc(57e4f1)Warum reagiert er nicht...?},translate,translated,displayed-string:fc-repair,939e86872bd3ab948e0b65f5b177f8f0c75141a591f27321d624dcc8451dda36
f4ab14c982591f5cd23181ca,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_b_occultrt_20_d040_m010_010.mbe/000_Sheet1.csv,5,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
