cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
a1941d21bc20c0013df0a477,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_a_deathgam_ab_d030_m020_010.mbe/000_Sheet1.csv,1,2,string 2,{fc(57e4f1)We made it back to school by the skin of our teeth...},"{fc(57e4f1)Wir haben es zurück in die Schule geschafft, durch die Haut unserer Zähne...}",translate,translated,displayed-string:fc-repair,7370bd2774f44ca2d8eed93d7e3f5d1951cada97f376172144dd5eb833c402da
21acdb4ad90b8c4435791df0,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_a_deathgam_ab_d030_m020_010.mbe/000_Sheet1.csv,1,4,string 4,{fc(57e4f1)We made it back to school by the skin of our teeth...},"{fc(57e4f1)Wir haben es zurück in die Schule geschafft, durch die Haut unserer Zähne...}",translate,translated,displayed-string:fc-repair,7370bd2774f44ca2d8eed93d7e3f5d1951cada97f376172144dd5eb833c402da
c81ba18c5f3a9d2a64257494,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_a_deathgam_ab_d030_m020_010.mbe/000_Sheet1.csv,2,2,string 2,...,...,protected,protected,non-linguistic,ab5df625bc76dbd4e163bed2dd888df828f90159bb93556525c31821b6541d46
f8eab912e8396af0f2228b13,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_a_deathgam_ab_d030_m020_010.mbe/000_Sheet1.csv,2,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
efb04aa97ea2c281e1019eb3,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_a_deathgam_ab_d030_m020_010.mbe/000_Sheet1.csv,2,4,string 4,...,...,protected,protected,non-linguistic,ab5df625bc76dbd4e163bed2dd888df828f90159bb93556525c31821b6541d46
482dd097df6d5c283cbd9931,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_a_deathgam_ab_d030_m020_010.mbe/000_Sheet1.csv,3,2,string 2,"{fc(57e4f1)I threw myself onto the bed once I was in my room, exhausted from the nonstop fighting since morning.}","{fc(57e4f1)Ich warf mich auf das Bett, sobald ich in meinem Zimmer war, erschöpft von den ununterbrochenen Kämpfen seit Morgen.}",translate,translated,displayed-string:fc-repair,d26a90566c504144133c4320c96b598af501a73c9e4af3198c885c88e0d5c119
690ac655a3ecabc51bc441c3,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_a_deathgam_ab_d030_m020_010.mbe/000_Sheet1.csv,3,4,string 4,"{fc(57e4f1)I threw myself onto the bed once I was in my room, exhausted from the nonstop fighting since morning.}","{fc(57e4f1)Ich warf mich auf das Bett, sobald ich in meinem Zimmer war, erschöpft von den ununterbrochenen Kämpfen seit Morgen.}",translate,translated,displayed-string:fc-repair,d26a90566c504144133c4320c96b598af501a73c9e4af3198c885c88e0d5c119
e44100b4e39b8fe889b86174,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_a_deathgam_ab_d030_m020_010.mbe/000_Sheet1.csv,4,2,string 2,{fc(57e4f1)But my heart couldn't rest. The weight of my regret grew heavier with each passing moment.},{fc(57e4f1)Aber mein Herz konnte sich nicht ausruhen. Das Gewicht meines Bedauerns wurde mit jedem Augenblick schwerer.},translate,translated,displayed-string:fc-repair,fc10671d4494d28a69b2d3206fd55af1a36d986b3aa49ce2335843af363cdc26
215555a04edf9bbbef134e26,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_a_deathgam_ab_d030_m020_010.mbe/000_Sheet1.csv,4,4,string 4,{fc(57e4f1)But my heart couldn't rest. The weight of my regret grew heavier with each passing moment.},{fc(57e4f1)Aber mein Herz konnte sich nicht ausruhen. Das Gewicht meines Bedauerns wurde mit jedem Augenblick schwerer.},translate,translated,displayed-string:fc-repair,fc10671d4494d28a69b2d3206fd55af1a36d986b3aa49ce2335843af363cdc26
6a15a2ae4d07a9c4b6801970,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_a_deathgam_ab_d030_m020_010.mbe/000_Sheet1.csv,5,2,string 2,Hiruko... Darumi...!,"Hiruko, Darumi...",translate,translated,displayed-string,6a5ed652101239924b6fd5934ac1d5299061a835315d30de60b07ec2d5da3fe9
