cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
523dfd4db68f4edaf2b0f2b0,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s15_b_suirixrt_bac_d100_m010_010.mbe/000_Sheet1.csv,1,2,string 2,I think...I probably just didn't remember it.,Ich denke... ich habe mich wahrscheinlich einfach nicht daran erinnert.,translate,translated,displayed-string,8b6805a26ed62871de07ec9cb74f505e3d494a3326d81083fc4f3ca086ec07c3
560548a1988e2d77df6d07bf,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s15_b_suirixrt_bac_d100_m010_010.mbe/000_Sheet1.csv,1,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
06f0c25ddb27bd099a0b5946,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s15_b_suirixrt_bac_d100_m010_010.mbe/000_Sheet1.csv,1,4,string 4,I think...I probably just didn't remember it.,Ich denke... ich habe mich wahrscheinlich einfach nicht daran erinnert.,translate,translated,displayed-string,8b6805a26ed62871de07ec9cb74f505e3d494a3326d81083fc4f3ca086ec07c3
71cb4cc93510e3ab8f09d03e,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s15_b_suirixrt_bac_d100_m010_010.mbe/000_Sheet1.csv,2,2,string 2,Because...there's no way either one of you here could've done all that.,"Denn... es gibt keine Möglichkeit, dass einer von euch das alles hätte tun können.",translate,translated,displayed-string,1c32ce94eda345c3aff1df51597652b4514a68e62eacf0eb20bc7afbb55bdbf3
a056d76b893fd3ec31fdd5e0,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s15_b_suirixrt_bac_d100_m010_010.mbe/000_Sheet1.csv,2,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
63208e6ecc1b4e63c91cea59,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s15_b_suirixrt_bac_d100_m010_010.mbe/000_Sheet1.csv,2,4,string 4,Because...there's no way either one of you here could've done all that.,"Denn... es gibt keine Möglichkeit, dass einer von euch das alles hätte tun können.",translate,translated,displayed-string,1c32ce94eda345c3aff1df51597652b4514a68e62eacf0eb20bc7afbb55bdbf3
97f7306b28c439aaf507f9ec,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s15_b_suirixrt_bac_d100_m010_010.mbe/000_Sheet1.csv,3,2,string 2,That means you must be right... It was me...,"Das heißt, du musst Recht haben...",translate,translated,displayed-string,feaa3887f9c87a120958e6459ef15dba635ff4e453b9b4288894347419d5440e
89f94dc5c5cb730188d3bda9,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s15_b_suirixrt_bac_d100_m010_010.mbe/000_Sheet1.csv,3,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
693a9cc8960c1bd91df8d81d,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s15_b_suirixrt_bac_d100_m010_010.mbe/000_Sheet1.csv,3,4,string 4,That means you must be right... It was me...,"Das heißt, du musst Recht haben...",translate,translated,displayed-string,feaa3887f9c87a120958e6459ef15dba635ff4e453b9b4288894347419d5440e
29c420e66714c1995f7f9122,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s15_b_suirixrt_bac_d100_m010_010.mbe/000_Sheet1.csv,4,2,string 2,I must've killed everybody...somehow...without being conscious of it.,Ich muss alle getötet haben... irgendwie... ohne mich dessen bewusst zu sein.,translate,translated,displayed-string,9abd40c1229390b24cedf3f1388d7096f872f81a2bb1395261a5cac1753f2efa
e8993d49e8ff446fb041fcbc,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s15_b_suirixrt_bac_d100_m010_010.mbe/000_Sheet1.csv,4,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
bc6daa9bd10a201560dd09c7,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s15_b_suirixrt_bac_d100_m010_010.mbe/000_Sheet1.csv,4,4,string 4,I must've killed everybody...somehow...without being conscious of it.,Ich muss alle getötet haben... irgendwie... ohne mich dessen bewusst zu sein.,translate,translated,displayed-string,9abd40c1229390b24cedf3f1388d7096f872f81a2bb1395261a5cac1753f2efa
20d9a673fcfbd912db6fe403,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s15_b_suirixrt_bac_d100_m010_010.mbe/000_Sheet1.csv,5,2,string 2,{fc(57e4f1)I slumped my shoulders and hung my head weakly.},{fc(57e4f1)Ich stürzte meine Schultern und hing meinen Kopf schwach auf.},translate,translated,displayed-string:fc-repair,5b571d6e19eb4ecb7c886b6388f0bc2638eed3fd1367a66eb0bee91f18742d00
22d793d214bef27136791fd2,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s15_b_suirixrt_bac_d100_m010_010.mbe/000_Sheet1.csv,5,4,string 4,{fc(57e4f1)I slumped my shoulders and hung my head weakly.},{fc(57e4f1)Ich stürzte meine Schultern und hing meinen Kopf schwach auf.},translate,translated,displayed-string:fc-repair,5b571d6e19eb4ecb7c886b6388f0bc2638eed3fd1367a66eb0bee91f18742d00
4e94a74ee6a486c9bc344432,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s15_b_suirixrt_bac_d100_m010_010.mbe/000_Sheet1.csv,6,2,string 2,{fc(57e4f1)Immediately after...},{fc(57e4f1)Sofort nach...},translate,translated,displayed-string:fc-repair,8632720133abdd0032af8ebf3d0fd7474fd439e0f0e7acf39bd7305e0cf98d37
d3feb352ee789fbe70a42174,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s15_b_suirixrt_bac_d100_m010_010.mbe/000_Sheet1.csv,6,4,string 4,{fc(57e4f1)Immediately after...},{fc(57e4f1)Sofort nach...},translate,translated,displayed-string:fc-repair,8632720133abdd0032af8ebf3d0fd7474fd439e0f0e7acf39bd7305e0cf98d37
21df7304cd55ae2904fca547,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s15_b_suirixrt_bac_d100_m010_010.mbe/000_Sheet1.csv,7,2,string 2,I knew it...,Ich wusste es...,translate,translated,displayed-string,ab03190859e712264ec5b295bb065406acceac9f82c7f0e72055399862bfa949
37ce1eaba8da440f83404c1c,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s15_b_suirixrt_bac_d100_m010_010.mbe/000_Sheet1.csv,7,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
73c04cd34f1d03bf814c675c,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s15_b_suirixrt_bac_d100_m010_010.mbe/000_Sheet1.csv,7,4,string 4,I knew it...,Ich wusste es...,translate,translated,displayed-string,ab03190859e712264ec5b295bb065406acceac9f82c7f0e72055399862bfa949
09259c917659b06ff781c0aa,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s15_b_suirixrt_bac_d100_m010_010.mbe/000_Sheet1.csv,8,2,string 2,"{fc(57e4f1)As Moko said that, she reached behind her and took out a large butcher knife.}","{fc(57e4f1)Als Moko das sagte, griff sie hinter sich und nahm ein großes Metzgermesser heraus.}",translate,translated,displayed-string:fc-repair,6cdc5ec7b4d958487561dead9d507fb1c74d3274115ffebfb84a5d39038d67ac
45597f4418d452001ca4005e,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s15_b_suirixrt_bac_d100_m010_010.mbe/000_Sheet1.csv,8,4,string 4,"{fc(57e4f1)As Moko said that, she reached behind her and took out a large butcher knife.}","{fc(57e4f1)Als Moko das sagte, griff sie hinter sich und nahm ein großes Metzgermesser heraus.}",translate,translated,displayed-string:fc-repair,6cdc5ec7b4d958487561dead9d507fb1c74d3274115ffebfb84a5d39038d67ac
5fb02a2fbfa584d33302a394,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s15_b_suirixrt_bac_d100_m010_010.mbe/000_Sheet1.csv,9,2,string 2,{fc(57e4f1)...},{fc(57e4f1)...},protected,protected,markup-only,17a5e786c885bfe6c1286df777ec35d28f4e968cdf96874a887ecd6b10024dff
504c0b796e2f87cc7dba229f,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s15_b_suirixrt_bac_d100_m010_010.mbe/000_Sheet1.csv,9,4,string 4,{fc(57e4f1)...},{fc(57e4f1)...},protected,protected,markup-only,17a5e786c885bfe6c1286df777ec35d28f4e968cdf96874a887ecd6b10024dff
db045943e928100bc1641fb6,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s15_b_suirixrt_bac_d100_m010_010.mbe/000_Sheet1.csv,10,2,string 2,{fc(57e4f1)...},{fc(57e4f1)...},protected,protected,markup-only,17a5e786c885bfe6c1286df777ec35d28f4e968cdf96874a887ecd6b10024dff
4a0b5de2992ec22f0dde213e,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s15_b_suirixrt_bac_d100_m010_010.mbe/000_Sheet1.csv,10,4,string 4,{fc(57e4f1)...},{fc(57e4f1)...},protected,protected,markup-only,17a5e786c885bfe6c1286df777ec35d28f4e968cdf96874a887ecd6b10024dff
48521056401d6d783339d6eb,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s15_b_suirixrt_bac_d100_m010_010.mbe/000_Sheet1.csv,11,2,string 2,"{fc(57e4f1)The next thing I knew, I was staring at my kneeled body, arms drooping lifelessly on both sides.}","{fc(57e4f1)Das Nächste was ich wusste, ich starrte auf meinen knieigen Körper, Arme hingen leblos auf beiden Seiten.}",translate,translated,displayed-string:fc-repair,f2403daf6e94c8d5624f554f17f06dc13c9e790ad41fdbb4bd1c874dcd983e97
f6f68810f1cc806673053be9,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s15_b_suirixrt_bac_d100_m010_010.mbe/000_Sheet1.csv,11,4,string 4,"{fc(57e4f1)The next thing I knew, I was staring at my kneeled body, arms drooping lifelessly on both sides.}","{fc(57e4f1)Das Nächste was ich wusste, ich starrte auf meinen knieigen Körper, Arme hingen leblos auf beiden Seiten.}",translate,translated,displayed-string:fc-repair,f2403daf6e94c8d5624f554f17f06dc13c9e790ad41fdbb4bd1c874dcd983e97
26a9bbf923bad9e071143d1f,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s15_b_suirixrt_bac_d100_m010_010.mbe/000_Sheet1.csv,12,2,string 2,{fc(57e4f1)Hmm...? How was I able to see my own body from this angle?},{fc(57e4f1)Wie konnte ich aus diesem Blickwinkel meinen eigenen Körper sehen?},translate,translated,displayed-string:fc-repair,8fb7c476937fd3f6a1fa2c7f81596f06ed18501f397923020d363ede87118112
ecf9d0e9ad9ca6116f094b6b,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s15_b_suirixrt_bac_d100_m010_010.mbe/000_Sheet1.csv,12,4,string 4,{fc(57e4f1)Hmm...? How was I able to see my own body from this angle?},{fc(57e4f1)Wie konnte ich aus diesem Blickwinkel meinen eigenen Körper sehen?},translate,translated,displayed-string:fc-repair,8fb7c476937fd3f6a1fa2c7f81596f06ed18501f397923020d363ede87118112
bbfd94e13d86fe9731e06bca,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s15_b_suirixrt_bac_d100_m010_010.mbe/000_Sheet1.csv,13,2,string 2,{fc(57e4f1)That was the last thought that ran through my mind before I blacked out completely.},"{fc(57e4f1)Das war der letzte Gedanke, der mir durch den Kopf lief, bevor ich völlig ohnmächtig wurde.}",translate,translated,displayed-string:fc-repair,f005b2722a0fc6b0d70f3c8d74fd73c8fbab8c212a1961f9f57eace84c7b22ac
7de4441e19d1ed49d66f987a,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s15_b_suirixrt_bac_d100_m010_010.mbe/000_Sheet1.csv,13,4,string 4,{fc(57e4f1)That was the last thought that ran through my mind before I blacked out completely.},"{fc(57e4f1)Das war der letzte Gedanke, der mir durch den Kopf lief, bevor ich völlig ohnmächtig wurde.}",translate,translated,displayed-string:fc-repair,f005b2722a0fc6b0d70f3c8d74fd73c8fbab8c212a1961f9f57eace84c7b22ac
