cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
5782e93b0c1823199e901d4d,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_b_suirixrt_a0_d099_m010_010.mbe/000_Sheet1.csv,1,2,string 2,Day 99,Tag 99,translate,translated,displayed-string,4a8b3465526d17ea3810721bcc5451f911ad3cee36417abbb2d7cbd02a30d8a5
73bb93afa42c19ec381bb84e,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_b_suirixrt_a0_d099_m010_010.mbe/000_Sheet1.csv,1,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
86d5fc708c1f91a597b9cf56,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_b_suirixrt_a0_d099_m010_010.mbe/000_Sheet1.csv,1,4,string 4,Day 99,Tag 99,translate,translated,displayed-string,4a8b3465526d17ea3810721bcc5451f911ad3cee36417abbb2d7cbd02a30d8a5
7f0b2fda063dd1b62faaf735,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_b_suirixrt_a0_d099_m010_010.mbe/000_Sheet1.csv,2,2,string 2,"{fc(57e4f1)I had no idea how long I was unconscious. When I next opened my eyes, I saw that the cage had been unlocked.}","{fc(57e4f1)Ich hatte keine Ahnung, wie lange ich bewusstlos war. Als ich als nächstes meine Augen öffnete, sah ich, dass der Käfig entriegelt war.}",translate,translated,displayed-string:fc-repair,675f4ee2e62f979a4fba1f8456f9105846bd183b2412d1c1eac1b74c14e98b26
3e6a8cd5fb1c52690f74f552,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_b_suirixrt_a0_d099_m010_010.mbe/000_Sheet1.csv,2,4,string 4,"{fc(57e4f1)I had no idea how long I was unconscious. When I next opened my eyes, I saw that the cage had been unlocked.}","{fc(57e4f1)Ich hatte keine Ahnung, wie lange ich bewusstlos war. Als ich als nächstes meine Augen öffnete, sah ich, dass der Käfig entriegelt war.}",translate,translated,displayed-string:fc-repair,675f4ee2e62f979a4fba1f8456f9105846bd183b2412d1c1eac1b74c14e98b26
02a55226e847301086a204a3,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_b_suirixrt_a0_d099_m010_010.mbe/000_Sheet1.csv,3,2,string 2,"{fc(57e4f1)Unsure of what that meant, I pushed the door open nervously and stepped outside.}","{fc(57e4f1)Unsicher, was das bedeutete, stieß ich nervös die Tür auf und trat hinaus.}",translate,translated,displayed-string:fc-repair,b8def7dd8ea602caf5127616e6de8d67b7b73d9fc17e193cf77a9fa929c48365
d3c9485e612ee362fce66b6b,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_b_suirixrt_a0_d099_m010_010.mbe/000_Sheet1.csv,3,4,string 4,"{fc(57e4f1)Unsure of what that meant, I pushed the door open nervously and stepped outside.}","{fc(57e4f1)Unsicher, was das bedeutete, stieß ich nervös die Tür auf und trat hinaus.}",translate,translated,displayed-string:fc-repair,b8def7dd8ea602caf5127616e6de8d67b7b73d9fc17e193cf77a9fa929c48365
af84766fddb3b79ca86ec7fa,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_b_suirixrt_a0_d099_m010_010.mbe/000_Sheet1.csv,4,2,string 2,{fc(57e4f1)It was eerily silent all around. There were no signs of life anywhere.},{fc(57e4f1)Es war furchteinflößend schweigend überall. Es gab keine Anzeichen von Leben irgendwo.},translate,translated,displayed-string:fc-repair,08adc31ab80f5f48c2af63825a8e4c97d6bbdacee430039d541d5ca5b38f3ede
a7c1ebf759b821e4ed4f6100,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_b_suirixrt_a0_d099_m010_010.mbe/000_Sheet1.csv,4,4,string 4,{fc(57e4f1)It was eerily silent all around. There were no signs of life anywhere.},{fc(57e4f1)Es war furchteinflößend schweigend überall. Es gab keine Anzeichen von Leben irgendwo.},translate,translated,displayed-string:fc-repair,08adc31ab80f5f48c2af63825a8e4c97d6bbdacee430039d541d5ca5b38f3ede
c44e84e233ad0e3c2d04688f,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_b_suirixrt_a0_d099_m010_010.mbe/000_Sheet1.csv,5,2,string 2,"{fc(57e4f1)Wondering where everyone had gone, I decided to walk around the campus and search for them.}","{fc(57e4f1)Als ich mich fragte, wohin alle gegangen waren, beschloss ich, durch den Campus zu gehen und nach ihnen zu suchen.}",translate,translated,displayed-string:fc-repair,073c921fd31b539233ef61538739297d1aa5d5a8602f90b94d8f95f9a0f41c38
f64cbc13016869567528e86a,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_b_suirixrt_a0_d099_m010_010.mbe/000_Sheet1.csv,5,4,string 4,"{fc(57e4f1)Wondering where everyone had gone, I decided to walk around the campus and search for them.}","{fc(57e4f1)Als ich mich fragte, wohin alle gegangen waren, beschloss ich, durch den Campus zu gehen und nach ihnen zu suchen.}",translate,translated,displayed-string:fc-repair,073c921fd31b539233ef61538739297d1aa5d5a8602f90b94d8f95f9a0f41c38
d91ea7df8b6d44915baca7b1,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_b_suirixrt_a0_d099_m010_010.mbe/000_Sheet1.csv,6,2,string 2,{fc(57e4f1)I went to the Garage on the ground floor first. I opened the door and I stepped inside.},{fc(57e4f1)Ich ging zuerst in die Garage im Erdgeschoss. Ich öffnete die Tür und trat hinein.},translate,translated,displayed-string:fc-repair,ea5a9685def97becfeea15e9fc807f4248369a6294c5f197dd63f86ec0d656d3
0d70965b7c6fff281a95452b,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_b_suirixrt_a0_d099_m010_010.mbe/000_Sheet1.csv,6,4,string 4,{fc(57e4f1)I went to the Garage on the ground floor first. I opened the door and I stepped inside.},{fc(57e4f1)Ich ging zuerst in die Garage im Erdgeschoss. Ich öffnete die Tür und trat hinein.},translate,translated,displayed-string:fc-repair,ea5a9685def97becfeea15e9fc807f4248369a6294c5f197dd63f86ec0d656d3
e4ea0c97d57de861db671a3e,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_b_suirixrt_a0_d099_m010_010.mbe/000_Sheet1.csv,7,2,string 2,{fc(57e4f1)Where I found...},{fc(57e4f1)Wo ich fand...},translate,translated,displayed-string:fc-repair,1b6d2552c73d8dea7eb80ae3c3bb4a831ee17f2aacd1967236c2fc5ff90c2d4c
93f5080e110fc2359044cbe7,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_b_suirixrt_a0_d099_m010_010.mbe/000_Sheet1.csv,7,4,string 4,{fc(57e4f1)Where I found...},{fc(57e4f1)Wo ich fand...},translate,translated,displayed-string:fc-repair,1b6d2552c73d8dea7eb80ae3c3bb4a831ee17f2aacd1967236c2fc5ff90c2d4c
b48a4ba68a1ba7c2f56f178e,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_b_suirixrt_a0_d099_m010_010.mbe/000_Sheet1.csv,8,2,string 2,Darumi...,Darumi...,translate,translated,displayed-string,c641a429521157c74d3ba230c76adbacf8a340e1d44ea8810d0d8c3f55fde267
23fe422fca9de7f0e786b8bb,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_b_suirixrt_a0_d099_m010_010.mbe/000_Sheet1.csv,8,3,string2 3,s15_B_SuirixRt_A0_d099_m010_010_0080,s15_B_SuirixRt_A0_d099_m010_010_0080,protected,protected,resource-or-id,9f050138775e2cd182a32dddf869d733dfac6d412fcc2c3ab8900e3b21a9b4f8
07831684289f5347c7553926,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_b_suirixrt_a0_d099_m010_010.mbe/000_Sheet1.csv,8,4,string 4,Darumi...,Darumi...,translate,translated,displayed-string,c641a429521157c74d3ba230c76adbacf8a340e1d44ea8810d0d8c3f55fde267
7b52f0c02af02920a86b8d1d,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_b_suirixrt_a0_d099_m010_010.mbe/000_Sheet1.csv,9,2,string 2,{fc(57e4f1)I hadn't even needed to check. She was clearly already gone.},"{fc(57e4f1)Ich musste nicht mal nachsehen, sie war eindeutig schon weg.}",translate,translated,displayed-string:fc-repair,b7608e766b6e65c578d3995ed2d0a55ecf87c07b1cf94ec1fac8aa2a0623f0c4
20933611fbdb84599be987e3,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_b_suirixrt_a0_d099_m010_010.mbe/000_Sheet1.csv,9,4,string 4,{fc(57e4f1)I hadn't even needed to check. She was clearly already gone.},"{fc(57e4f1)Ich musste nicht mal nachsehen, sie war eindeutig schon weg.}",translate,translated,displayed-string:fc-repair,b7608e766b6e65c578d3995ed2d0a55ecf87c07b1cf94ec1fac8aa2a0623f0c4
