cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
6bbe9c891982c972aec24a09,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_b_occultrt_b0_d055_m010_010.mbe/000_Sheet1.csv,1,2,string 2,Day 55,Tag 55,translate,translated,displayed-string,2382559db642d974ec182add6a02f9b78f8164e96db373aa61866c20c4f02055
17d7508cc7abf866939fa003,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_b_occultrt_b0_d055_m010_010.mbe/000_Sheet1.csv,1,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
74ec0c65aa99469669091bcf,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_b_occultrt_b0_d055_m010_010.mbe/000_Sheet1.csv,1,4,string 4,Day 55,Tag 55,translate,translated,displayed-string,2382559db642d974ec182add6a02f9b78f8164e96db373aa61866c20c4f02055
787d80cc565fa18446f2da9b,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_b_occultrt_b0_d055_m010_010.mbe/000_Sheet1.csv,2,2,string 2,"Up and at 'em, troops! Time to rise and shine!","Auf und auf, Truppen! Zeit, aufzustehen und zu glänzen!",translate,translated,displayed-string,a25c468ae6cead94370f7a1723f685616ff807b81f9d328bf37e18e1422265a9
817f092e7793d07b0c65a70d,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_b_occultrt_b0_d055_m010_010.mbe/000_Sheet1.csv,2,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
38a6f62c97deb15f8891ad95,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_b_occultrt_b0_d055_m010_010.mbe/000_Sheet1.csv,2,4,string 4,"Up and at 'em, troops! Time to rise and shine!","Auf und auf, Truppen! Zeit, aufzustehen und zu glänzen!",translate,translated,displayed-string,a25c468ae6cead94370f7a1723f685616ff807b81f9d328bf37e18e1422265a9
244b1afb2e4d244460a116fe,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_b_occultrt_b0_d055_m010_010.mbe/000_Sheet1.csv,3,2,string 2,Get ready for your 55th day of active service here at Last Defense Academy!,Machen Sie sich bereit für Ihren 55. Tag aktiven Dienstes hier an der Last Defense Academy!,translate,translated,displayed-string,98994405443dcb42e4e81263bb0f6d9523682d051b8abc05a05fd0fab5e9f198
4da8f315b5ce27335182b754,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_b_occultrt_b0_d055_m010_010.mbe/000_Sheet1.csv,3,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
537db66a30c4108654410f92,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_b_occultrt_b0_d055_m010_010.mbe/000_Sheet1.csv,3,4,string 4,Get ready for your 55th day of active service here at Last Defense Academy!,Machen Sie sich bereit für Ihren 55. Tag aktiven Dienstes hier an der Last Defense Academy!,translate,translated,displayed-string,98994405443dcb42e4e81263bb0f6d9523682d051b8abc05a05fd0fab5e9f198
893f8fc5d4a194d97b21d794,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_b_occultrt_b0_d055_m010_010.mbe/000_Sheet1.csv,4,2,string 2,Prepare to spend another day enduring the unendurable and suffering the insufferable to pave the way for humanity's future greatness!,"Bereiten Sie sich darauf vor, einen weiteren Tag damit zu verbringen, das Unbedenkliche und Leidende zu ertragen, das unauslöschlich ist, um den Weg für die zukünftige Größe der Menschheit zu ebnen!",translate,translated,displayed-string,f0b3fc3b395b0c6e6b9e08fde24cf345fa26411cf1a8c309de332e6d9959973d
196ad493ef2aaa3f93f9bc77,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_b_occultrt_b0_d055_m010_010.mbe/000_Sheet1.csv,4,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
b2a8a9fdce8500452f1ec722,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_b_occultrt_b0_d055_m010_010.mbe/000_Sheet1.csv,4,4,string 4,Prepare to spend another day enduring the unendurable and suffering the insufferable to pave the way for humanity's future greatness!,"Bereiten Sie sich darauf vor, einen weiteren Tag damit zu verbringen, das Unbedenkliche und Leidende zu ertragen, das unauslöschlich ist, um den Weg für die zukünftige Größe der Menschheit zu ebnen!",translate,translated,displayed-string,f0b3fc3b395b0c6e6b9e08fde24cf345fa26411cf1a8c309de332e6d9959973d
a9e61cdbfa8450f3438d31cd,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_b_occultrt_b0_d055_m010_010.mbe/000_Sheet1.csv,5,2,string 2,Be ready to give your lives to protect our beloved school from the vile and barbaric enemy!,"Sei bereit, dein Leben zu geben, um unsere geliebte Schule vor dem widerlichen und barbarischen Feind zu schützen!",translate,translated,displayed-string,93e5f01b83f86de645249424e358f56be70be999706fe6304917ebffdd0728d0
60ba8173a4447239cc53ac5e,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_b_occultrt_b0_d055_m010_010.mbe/000_Sheet1.csv,5,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
0fa87240d35ddc69c9b9907f,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_b_occultrt_b0_d055_m010_010.mbe/000_Sheet1.csv,5,4,string 4,Be ready to give your lives to protect our beloved school from the vile and barbaric enemy!,"Sei bereit, dein Leben zu geben, um unsere geliebte Schule vor dem widerlichen und barbarischen Feind zu schützen!",translate,translated,displayed-string,93e5f01b83f86de645249424e358f56be70be999706fe6304917ebffdd0728d0
df94e77d879b7ac6edf7fecf,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_b_occultrt_b0_d055_m010_010.mbe/000_Sheet1.csv,6,2,string 2,"I haven't heard from Hiruko, so I guess I'm fine to do whatever today.","Ich habe nichts von Hiruko gehört, also kann ich heute alles machen.",translate,translated,displayed-string,f8dace70ca9e7888861d98f3dd8ab88e53575ddd10032e00314ef9ad52687852
05b69da66d6e68047b6e3135,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_b_occultrt_b0_d055_m010_010.mbe/000_Sheet1.csv,6,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
7f71718e98da616adbd219ca,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_b_occultrt_b0_d055_m010_010.mbe/000_Sheet1.csv,6,4,string 4,"I haven't heard from Hiruko, so I guess I'm fine to do whatever today.","Ich habe nichts von Hiruko gehört, also kann ich heute alles machen.",translate,translated,displayed-string,f8dace70ca9e7888861d98f3dd8ab88e53575ddd10032e00314ef9ad52687852
3fe4df3c8e829b2edfec9c9f,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_b_occultrt_b0_d055_m010_010.mbe/000_Sheet1.csv,7,2,string 2,Hm? Is that...?,Ist das...?,translate,translated,displayed-string,464288326e34b1f335236543421901691f3f3100327a994796d315ebb2dfa0f9
4f8f5c0012fed5ba68165a4e,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_b_occultrt_b0_d055_m010_010.mbe/000_Sheet1.csv,7,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
f46b425ccb254487c9c2ef2e,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_b_occultrt_b0_d055_m010_010.mbe/000_Sheet1.csv,7,4,string 4,Hm? Is that...?,Ist das...?,translate,translated,displayed-string,464288326e34b1f335236543421901691f3f3100327a994796d315ebb2dfa0f9
