cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
0c2dcc19fcddf78c9d8f5411,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_b_comedyrt_00_d022_m020_010.mbe/000_Sheet1.csv,1,2,string 2,"Mornin', Takumi.","Morgen, Takumi.",translate,translated,displayed-string,bfbedc84dd8dd436301f71c96d00f088fe34db9051c57863b5510406cdaf204a
fe363834b205723617b60b7a,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_b_comedyrt_00_d022_m020_010.mbe/000_Sheet1.csv,1,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
4918e7a66958a93b384c646b,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_b_comedyrt_00_d022_m020_010.mbe/000_Sheet1.csv,1,4,string 4,"Mornin', Takumi.","Morgen, Takumi.",translate,translated,displayed-string,bfbedc84dd8dd436301f71c96d00f088fe34db9051c57863b5510406cdaf204a
c5fdb965f542df8062f20428,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_b_comedyrt_00_d022_m020_010.mbe/000_Sheet1.csv,2,2,string 2,"Or should I say afternoon? We're really having a late one today, huh?","Oder sollte ich sagen, Nachmittag? Wir haben heute wirklich einen späten, oder?",translate,translated,displayed-string,6a4061bd2ede794efe110f10182451f10f2d6c5afbc4afb1816f89518ebb7c23
7e6ee53846beac15101d2333,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_b_comedyrt_00_d022_m020_010.mbe/000_Sheet1.csv,2,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
ef7132d8fceffe91cf8e835a,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_b_comedyrt_00_d022_m020_010.mbe/000_Sheet1.csv,2,4,string 4,"Or should I say afternoon? We're really having a late one today, huh?","Oder sollte ich sagen, Nachmittag? Wir haben heute wirklich einen späten, oder?",translate,translated,displayed-string,6a4061bd2ede794efe110f10182451f10f2d6c5afbc4afb1816f89518ebb7c23
7651f824f1b63c6c72ac8bfe,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_b_comedyrt_00_d022_m020_010.mbe/000_Sheet1.csv,3,2,string 2,"Good morning, Moko. Isn't anyone else here?","Guten Morgen, Moko, ist sonst niemand hier?",translate,translated,displayed-string,304b2fef0d63aa6a7483328d9612faee73b13a92aea7b7aa3dd7e9522dce2385
dee5d0042aeae7f650daf351,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_b_comedyrt_00_d022_m020_010.mbe/000_Sheet1.csv,3,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
ec820e5a6ddcdf489e28951e,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_b_comedyrt_00_d022_m020_010.mbe/000_Sheet1.csv,3,4,string 4,"Good morning, Moko. Isn't anyone else here?","Guten Morgen, Moko, ist sonst niemand hier?",translate,translated,displayed-string,304b2fef0d63aa6a7483328d9612faee73b13a92aea7b7aa3dd7e9522dce2385
870263158cdf0653e93cfb84,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_b_comedyrt_00_d022_m020_010.mbe/000_Sheet1.csv,4,2,string 2,"Nah, I figure they're sleeping in. That battle last night really took it out of them.","Nee, ich glaube, sie schlafen in. Dieser Kampf letzte Nacht hat ihnen das wirklich genommen.",translate,translated,displayed-string,c98b15932ce9d630a28532ed495df369e3b66f46ad28afd9dbfabfd01d95095b
fcab359f636c35fb7c5c55b3,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_b_comedyrt_00_d022_m020_010.mbe/000_Sheet1.csv,4,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
4c6c570a923181e773b820b9,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_b_comedyrt_00_d022_m020_010.mbe/000_Sheet1.csv,4,4,string 4,"Nah, I figure they're sleeping in. That battle last night really took it out of them.","Nee, ich glaube, sie schlafen in. Dieser Kampf letzte Nacht hat ihnen das wirklich genommen.",translate,translated,displayed-string,c98b15932ce9d630a28532ed495df369e3b66f46ad28afd9dbfabfd01d95095b
d139fc9079e5f907d73f4be1,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_b_comedyrt_00_d022_m020_010.mbe/000_Sheet1.csv,5,2,string 2,Not that I blame them. They're all still pretty new to fighting.,"Nicht, dass ich ihnen die Schuld gebe.",translate,translated,displayed-string,0844d1e0c37c00eb8b01d7bf1803e22f7234cb9149e312915256a70c29427555
7915d433a717dff6a6d7ca67,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_b_comedyrt_00_d022_m020_010.mbe/000_Sheet1.csv,5,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
258f2b1f9ee986dfd9f8851d,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_b_comedyrt_00_d022_m020_010.mbe/000_Sheet1.csv,5,4,string 4,Not that I blame them. They're all still pretty new to fighting.,"Nicht, dass ich ihnen die Schuld gebe.",translate,translated,displayed-string,0844d1e0c37c00eb8b01d7bf1803e22f7234cb9149e312915256a70c29427555
c6401c3d79daec7efca8a6fa,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_b_comedyrt_00_d022_m020_010.mbe/000_Sheet1.csv,6,2,string 2,"{fc(57e4f1)Right... Unlike the versions of them I left behind in the future, no one has a lot of battle experience yet. Apart from Hiruko.}","{fc(57e4f1)Genau... Im Gegensatz zu den Versionen von ihnen, die ich in der Zukunft zurückgelassen habe, hat noch niemand eine Menge Kampferfahrung. Abgesehen von Hiruko.}",translate,translated,displayed-string:fc-repair,f17c1320bdc364fa1c6b2c1cfd1286f4e1721598ab82f5a3543f3623c488a999
25711465b751e6e20cc637c0,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_b_comedyrt_00_d022_m020_010.mbe/000_Sheet1.csv,6,4,string 4,"{fc(57e4f1)Right... Unlike the versions of them I left behind in the future, no one has a lot of battle experience yet. Apart from Hiruko.}","{fc(57e4f1)Genau... Im Gegensatz zu den Versionen von ihnen, die ich in der Zukunft zurückgelassen habe, hat noch niemand eine Menge Kampferfahrung. Abgesehen von Hiruko.}",translate,translated,displayed-string:fc-repair,f17c1320bdc364fa1c6b2c1cfd1286f4e1721598ab82f5a3543f3623c488a999
c41244ed5c6c29910538ecab,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_b_comedyrt_00_d022_m020_010.mbe/000_Sheet1.csv,7,2,string 2,{fc(57e4f1)Just then...},{fc(57e4f1)Nur dann...},translate,translated,displayed-string:fc-repair,31cdc2276852df0878f2ed6137349901cfed06703d94f2205059d1a3e3ac2145
3f19bf8053a8a3f78192e8d6,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_b_comedyrt_00_d022_m020_010.mbe/000_Sheet1.csv,7,4,string 4,{fc(57e4f1)Just then...},{fc(57e4f1)Nur dann...},translate,translated,displayed-string:fc-repair,31cdc2276852df0878f2ed6137349901cfed06703d94f2205059d1a3e3ac2145
50f74dd07c27a2b96747f9ed,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_b_comedyrt_00_d022_m020_010.mbe/000_Sheet1.csv,8,2,string 2,"Slim pickings today, huh? Well, listen up, you two. I've got something to say.","Hör zu, ihr zwei, ich habe euch was zu sagen.",translate,translated,displayed-string,c81191fa8eea0d32d47e94926418ad9983bc09361bee9b80c988a64f8d1272c3
f0e79cf8cca07d662947c2c5,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_b_comedyrt_00_d022_m020_010.mbe/000_Sheet1.csv,8,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
95c09d81919289b04bc39b7b,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_b_comedyrt_00_d022_m020_010.mbe/000_Sheet1.csv,8,4,string 4,"Slim pickings today, huh? Well, listen up, you two. I've got something to say.","Hör zu, ihr zwei, ich habe euch was zu sagen.",translate,translated,displayed-string,c81191fa8eea0d32d47e94926418ad9983bc09361bee9b80c988a64f8d1272c3
c12089163966963b5cadc635,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_b_comedyrt_00_d022_m020_010.mbe/000_Sheet1.csv,9,2,string 2,Huh? What's up?,Was gibt's?,translate,translated,displayed-string,51832d96e87842a5631fe851c22677de8249c78e6445b90ad990c4d257c11c8c
ccf249339b800d66e1f18372,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_b_comedyrt_00_d022_m020_010.mbe/000_Sheet1.csv,9,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
9392ab3e558403f289e11ee7,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_b_comedyrt_00_d022_m020_010.mbe/000_Sheet1.csv,9,4,string 4,Huh? What's up?,Was gibt's?,translate,translated,displayed-string,51832d96e87842a5631fe851c22677de8249c78e6445b90ad990c4d257c11c8c
53ae6cf81ec036ebb61c4819,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_b_comedyrt_00_d022_m020_010.mbe/000_Sheet1.csv,10,2,string 2,That commander you captured yesterday. I'm taking her to the Infirmary.,Diesen Kommandanten haben Sie gestern gefangen genommen. Ich bringe sie auf die Krankenstation.,translate,translated,displayed-string,c0cdf2b5e48d25393cf9a244b7862737b6e10c3b98ecedd13291b4b73f75039f
ffe58a1cdecafe0bd99b38b6,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_b_comedyrt_00_d022_m020_010.mbe/000_Sheet1.csv,10,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
8224db76831dfa46a1175fc8,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_b_comedyrt_00_d022_m020_010.mbe/000_Sheet1.csv,10,4,string 4,That commander you captured yesterday. I'm taking her to the Infirmary.,Diesen Kommandanten haben Sie gestern gefangen genommen. Ich bringe sie auf die Krankenstation.,translate,translated,displayed-string,c0cdf2b5e48d25393cf9a244b7862737b6e10c3b98ecedd13291b4b73f75039f
ec0f9de8db10c8cfed40b21d,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_b_comedyrt_00_d022_m020_010.mbe/000_Sheet1.csv,11,2,string 2,Why? Is she sick?,Ist sie krank?,translate,translated,displayed-string,2f085c9ca24bdb3f1714c615b39330d0dd3a774e55bf1af1c9d7ff7b480ad731
b691aff8ca72c6c93bfd191d,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_b_comedyrt_00_d022_m020_010.mbe/000_Sheet1.csv,11,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
a426d8dd3f39c98915f41e0c,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_b_comedyrt_00_d022_m020_010.mbe/000_Sheet1.csv,11,4,string 4,Why? Is she sick?,Ist sie krank?,translate,translated,displayed-string,2f085c9ca24bdb3f1714c615b39330d0dd3a774e55bf1af1c9d7ff7b480ad731
41ddcd93c98d0afcf12bb6de,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_b_comedyrt_00_d022_m020_010.mbe/000_Sheet1.csv,12,2,string 2,"She's in need of some emergency treatment. No one's allowed inside until I've finished with her, understand?","Niemand darf rein, bis ich mit ihr fertig bin.",translate,translated,displayed-string,80e261b96ec8d956bc2ecc4b1f6a38d4e9bc8567bbcbde34024331892441ea60
8800ba70b9fa5b641ea89ff9,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_b_comedyrt_00_d022_m020_010.mbe/000_Sheet1.csv,12,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
6a9c21b9e9b67ac25cb301f8,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_b_comedyrt_00_d022_m020_010.mbe/000_Sheet1.csv,12,4,string 4,"She's in need of some emergency treatment. No one's allowed inside until I've finished with her, understand?","Niemand darf rein, bis ich mit ihr fertig bin.",translate,translated,displayed-string,80e261b96ec8d956bc2ecc4b1f6a38d4e9bc8567bbcbde34024331892441ea60
48284505f10dc775bb656ff0,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_b_comedyrt_00_d022_m020_010.mbe/000_Sheet1.csv,13,2,string 2,Emergency treatment? Is she going to be okay?,Wird sie wieder gesund?,translate,translated,displayed-string,a01fe652e1e92950a6a166bff61744b4de20a8b4239d7b114ddd4ceaffc00a44
f6a49e9ce0de5120c1954c3a,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_b_comedyrt_00_d022_m020_010.mbe/000_Sheet1.csv,13,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
fc54b32c1f22008d90843669,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_b_comedyrt_00_d022_m020_010.mbe/000_Sheet1.csv,13,4,string 4,Emergency treatment? Is she going to be okay?,Wird sie wieder gesund?,translate,translated,displayed-string,a01fe652e1e92950a6a166bff61744b4de20a8b4239d7b114ddd4ceaffc00a44
ca2ed602ace6e28ecc0594dd,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_b_comedyrt_00_d022_m020_010.mbe/000_Sheet1.csv,14,2,string 2,"Yeah, I'll have her fixed up and better than ever in no time.","Ja, ich werde sie reparieren lassen und besser als je zuvor in kürzester Zeit.",translate,translated,displayed-string,0f4de35db008080e918040a551a7ec797404608b4eb883ab62ad7d49d38943ed
ab3b0b9ebd96a951f3da612d,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_b_comedyrt_00_d022_m020_010.mbe/000_Sheet1.csv,14,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
