cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
80e41e5996d8b27c6080a6cb,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/g_chr017yure_02.mbe/000_Sheet1.csv,1,2,string 2,It's rare for you to ask me anything. Is something bothering you?,"Es ist selten, dass Sie mich etwas fragen.",translate,translated,displayed-string,6b7dcce56fd5659e73d38279e18108139963915d3af115973c1ed65bb5d91ae6
b98117260d6bea98e912ad5f,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/g_chr017yure_02.mbe/000_Sheet1.csv,1,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
6675da618135f693c9b7b28f,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/g_chr017yure_02.mbe/000_Sheet1.csv,1,4,string 4,It's rare for you to ask me anything. Is something bothering you?,"Es ist selten, dass Sie mich etwas fragen.",translate,translated,displayed-string,6b7dcce56fd5659e73d38279e18108139963915d3af115973c1ed65bb5d91ae6
a707e42441366acbd4eb23fb,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/g_chr017yure_02.mbe/000_Sheet1.csv,2,2,string 2,No... It's more like... A wish...,Nein... es ist eher wie... ein Wunsch...,translate,translated,displayed-string,722f25a060e01bdea1579afe276495fdde74bdfa38ceabed0a7482af559810f9
87ce0a331e7952f1a40a6858,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/g_chr017yure_02.mbe/000_Sheet1.csv,2,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
095eb92f7e9c2527a90a3aab,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/g_chr017yure_02.mbe/000_Sheet1.csv,2,4,string 4,No... It's more like... A wish...,Nein... es ist eher wie... ein Wunsch...,translate,translated,displayed-string,722f25a060e01bdea1579afe276495fdde74bdfa38ceabed0a7482af559810f9
ff7d9a75cdc4513018469d67,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/g_chr017yure_02.mbe/000_Sheet1.csv,3,2,string 2,A wish?,Einen Wunsch?,translate,translated,displayed-string,8b31487403f3d05ae042049c080dab1194dde060dd8cf9924644e3083d9de2c4
d1c45b696b668d35bbd2b652,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/g_chr017yure_02.mbe/000_Sheet1.csv,3,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
30a8b1975719442fdd47779a,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/g_chr017yure_02.mbe/000_Sheet1.csv,3,4,string 4,A wish?,Einen Wunsch?,translate,translated,displayed-string,8b31487403f3d05ae042049c080dab1194dde060dd8cf9924644e3083d9de2c4
9c66516a5d532fbda102b37c,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/g_chr017yure_02.mbe/000_Sheet1.csv,4,2,string 2,Takumi... How can I transform the way you guys do?,"Takumi, wie kann ich euch verwandeln?",translate,translated,displayed-string,199151a9d3d7aa24eb8b6e841ef382912805fde1b916eef247b746e5c877fde9
32da5343226dba53970929c6,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/g_chr017yure_02.mbe/000_Sheet1.csv,4,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
f1e359bf3a1db80e66d06b20,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/g_chr017yure_02.mbe/000_Sheet1.csv,4,4,string 4,Takumi... How can I transform the way you guys do?,"Takumi, wie kann ich euch verwandeln?",translate,translated,displayed-string,199151a9d3d7aa24eb8b6e841ef382912805fde1b916eef247b746e5c877fde9
