cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
a759b73f3eca4b6e9af210ba,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_b_occultrt_bba_d099_m280_010.mbe/000_Sheet1.csv,1,2,string 2,She's so...strong...!,Sie ist so... stark...!,translate,translated,displayed-string,b4b0e3d7c0745b4195835e870c88082baa69e6ba6e76552159e8f99dbcfdae07
5e004b303233ed8cab68eedf,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_b_occultrt_bba_d099_m280_010.mbe/000_Sheet1.csv,1,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
4d827cf4c8b7109c49862009,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_b_occultrt_bba_d099_m280_010.mbe/000_Sheet1.csv,1,4,string 4,She's so...strong...!,Sie ist so... stark...!,translate,translated,displayed-string,b4b0e3d7c0745b4195835e870c88082baa69e6ba6e76552159e8f99dbcfdae07
78874aea20546fe8a8d305a3,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_b_occultrt_bba_d099_m280_010.mbe/000_Sheet1.csv,2,2,string 2,Hahaha! Is that all you've got?! Hahahahaha!,"Hahaha! Ist das alles, was du hast?! Hahahahaha!",translate,translated,displayed-string,c76170f021b9d0f394ffc0d8d3a3eb3a8274e685146bd7769d2b2e14ea0bd6cd
73789ab1bbd79eac1b121857,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_b_occultrt_bba_d099_m280_010.mbe/000_Sheet1.csv,2,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
2465102e747d2fb1c159696d,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_b_occultrt_bba_d099_m280_010.mbe/000_Sheet1.csv,2,4,string 4,Hahaha! Is that all you've got?! Hahahahaha!,"Hahaha! Ist das alles, was du hast?! Hahahahaha!",translate,translated,displayed-string,c76170f021b9d0f394ffc0d8d3a3eb3a8274e685146bd7769d2b2e14ea0bd6cd
894f579c8c823eca92645b00,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_b_occultrt_bba_d099_m280_010.mbe/000_Sheet1.csv,3,2,string 2,It's like crushing ants under my heels! Your resistance means nothing!,Es ist wie Ameisen unter meinen Fersen zu zerquetschen.,translate,translated,displayed-string,a916b156a76ac7d395402d9d99728f1e7f727dc1001b1ce18af3bf04dbd952f5
4954132a8b0ec830469fd569,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_b_occultrt_bba_d099_m280_010.mbe/000_Sheet1.csv,3,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
fe0bff00eb8571b43ee8ab9d,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_b_occultrt_bba_d099_m280_010.mbe/000_Sheet1.csv,3,4,string 4,It's like crushing ants under my heels! Your resistance means nothing!,Es ist wie Ameisen unter meinen Fersen zu zerquetschen.,translate,translated,displayed-string,a916b156a76ac7d395402d9d99728f1e7f727dc1001b1ce18af3bf04dbd952f5
f7cf7b465cd7aef1eb470a2c,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_b_occultrt_bba_d099_m280_010.mbe/000_Sheet1.csv,4,2,string 2,Fucker... This ain't enough to make us back down...!,"Das reicht nicht, um uns wieder runterzukriegen!",translate,translated,displayed-string,7c17eb0c550a1a1e8a819456f564304cd09ecab84c953c771beacb49036aa8f5
