cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
a5d842f993b0ddc701350588,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_b_lovelove_bbbbaa_d098_m010_010.mbe/000_Sheet1.csv,1,2,string 2,I still...don't know.,Ich weiß immer noch nicht.,translate,translated,displayed-string,b98000e16b4ff12284ebd1e0e6c9c4172ecc353a447c0564b868ff6fc541e675
10fbe7a95538370689d0e2f1,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_b_lovelove_bbbbaa_d098_m010_010.mbe/000_Sheet1.csv,1,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
cbe7bb78405c6b6878e3f419,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_b_lovelove_bbbbaa_d098_m010_010.mbe/000_Sheet1.csv,1,4,string 4,I still...don't know.,Ich weiß immer noch nicht.,translate,translated,displayed-string,b98000e16b4ff12284ebd1e0e6c9c4172ecc353a447c0564b868ff6fc541e675
2a5e4c4a935999fb9631edbc,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_b_lovelove_bbbbaa_d098_m010_010.mbe/000_Sheet1.csv,2,2,string 2,You don't know?,Du weißt es nicht?,translate,translated,displayed-string,8c7bcd58d2c6a5c257c55c65a0b2ac1aabf98d40ce7a66eba753659f1060aa3c
e2f4141b8e91e61798299694,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_b_lovelove_bbbbaa_d098_m010_010.mbe/000_Sheet1.csv,2,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
b1d263742bda1d175258538d,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_b_lovelove_bbbbaa_d098_m010_010.mbe/000_Sheet1.csv,2,4,string 4,You don't know?,Du weißt es nicht?,translate,translated,displayed-string,8c7bcd58d2c6a5c257c55c65a0b2ac1aabf98d40ce7a66eba753659f1060aa3c
5622d22da60ab5dcd960aeeb,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_b_lovelove_bbbbaa_d098_m010_010.mbe/000_Sheet1.csv,3,2,string 2,"I know it's against the rules to ask, but I want to think on it some more.","Ich weiß, es ist gegen die Regeln zu fragen, aber ich möchte noch ein paar mehr darüber nachdenken.",translate,translated,displayed-string,aba6c3b32a867dc1904b9f0a84f8410f928df1e5c56d48ab4ead85801e844575
858e9eb55cd81962d418f77f,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_b_lovelove_bbbbaa_d098_m010_010.mbe/000_Sheet1.csv,3,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
eb2ff80981c2ec3d3c3a9d79,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_b_lovelove_bbbbaa_d098_m010_010.mbe/000_Sheet1.csv,3,4,string 4,"I know it's against the rules to ask, but I want to think on it some more.","Ich weiß, es ist gegen die Regeln zu fragen, aber ich möchte noch ein paar mehr darüber nachdenken.",translate,translated,displayed-string,aba6c3b32a867dc1904b9f0a84f8410f928df1e5c56d48ab4ead85801e844575
30385830bc1b3d2b860c62a4,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_b_lovelove_bbbbaa_d098_m010_010.mbe/000_Sheet1.csv,4,2,string 2,This isn't the end...,Das ist nicht das Ende...,translate,translated,displayed-string,e1c68699251b43c2d0da5357d897b1b1a8c7856b64f68ad2f9dd96a6e03247d3
