cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
aaef98500a1e0cd4b5afa208,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s10_a_yakusitk_a0_d054_m010_010.mbe/000_Sheet1.csv,1,2,string 2,Day 54,Tag 54,translate,translated,displayed-string,969cdf61baf9bf6603e1a4adcad58fc605dc9597e17970752a86e9030ca36bee
c602ef36ae8e0ffa8f278cf4,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s10_a_yakusitk_a0_d054_m010_010.mbe/000_Sheet1.csv,1,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
bff1a35f9334dd1f29abd839,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s10_a_yakusitk_a0_d054_m010_010.mbe/000_Sheet1.csv,1,4,string 4,Day 54,Tag 54,translate,translated,displayed-string,969cdf61baf9bf6603e1a4adcad58fc605dc9597e17970752a86e9030ca36bee
c42986fad4e3198caac7d314,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s10_a_yakusitk_a0_d054_m010_010.mbe/000_Sheet1.csv,2,2,string 2,"Up and at 'em, troops! Time to rise and shine!","Auf und auf, Truppen! Zeit, aufzustehen und zu glänzen!",translate,translated,displayed-string,a25c468ae6cead94370f7a1723f685616ff807b81f9d328bf37e18e1422265a9
fc894568b73c278d1f3f63ce,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s10_a_yakusitk_a0_d054_m010_010.mbe/000_Sheet1.csv,2,3,string2 3,s10_A_YakusiTk_A0_d054_m010_010_0030,s10_A_YakusiTk_A0_d054_m010_010_0030,protected,protected,resource-or-id,17fd644ca111fa3440df5d911dad37580c58d31dc97bb66380f8571065e317e8
65028d4a9444cb3313c2dc46,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s10_a_yakusitk_a0_d054_m010_010.mbe/000_Sheet1.csv,2,4,string 4,"Up and at 'em, troops! Time to rise and shine!","Auf und auf, Truppen! Zeit, aufzustehen und zu glänzen!",translate,translated,displayed-string,a25c468ae6cead94370f7a1723f685616ff807b81f9d328bf37e18e1422265a9
6190c759b9b433bd966f1fc8,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s10_a_yakusitk_a0_d054_m010_010.mbe/000_Sheet1.csv,3,2,string 2,Get ready for your 54th day of active service here at Last Defense Academy!,Machen Sie sich bereit für Ihren 54. aktiven Dienst hier an der Last Defense Academy!,translate,translated,displayed-string,36b6ec8a8d4e428b456f8a41afd7b583ccfc6c82babeb4349e828c5f05564774
abf7589910a0b8142d67864d,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s10_a_yakusitk_a0_d054_m010_010.mbe/000_Sheet1.csv,3,3,string2 3,s10_A_YakusiTk_A0_d054_m010_010_0040,s10_A_YakusiTk_A0_d054_m010_010_0040,protected,protected,resource-or-id,63d427fccc74eb704521295ac7ce78fb01c38abaf97494fa178be630c79d5cf7
23af58cab7d302831f9f3dc6,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s10_a_yakusitk_a0_d054_m010_010.mbe/000_Sheet1.csv,3,4,string 4,Get ready for your 54th day of active service here at Last Defense Academy!,Machen Sie sich bereit für Ihren 54. aktiven Dienst hier an der Last Defense Academy!,translate,translated,displayed-string,36b6ec8a8d4e428b456f8a41afd7b583ccfc6c82babeb4349e828c5f05564774
80795dfb67b0932625361fe0,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s10_a_yakusitk_a0_d054_m010_010.mbe/000_Sheet1.csv,4,2,string 2,Prepare to spend another day enduring the unendurable and suffering the insufferable to pave the way for humanity's future greatness!,"Bereiten Sie sich darauf vor, einen weiteren Tag damit zu verbringen, das Unbedenkliche und Leidende zu ertragen, das unauslöschlich ist, um den Weg für die zukünftige Größe der Menschheit zu ebnen!",translate,translated,displayed-string,f0b3fc3b395b0c6e6b9e08fde24cf345fa26411cf1a8c309de332e6d9959973d
