cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
37ed461da213f0336a89f81f,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/sugoroku_event_activate_name.mbe/000_sugoroku_event_activate_name.csv,1,1,string 1,Nothing happened.,Es ist nichts passiert.,translate,translated,displayed-string,12d359c2c0f9b59f7b526fedb858e23dadf1dd120fdee2454eca6d9c1f8bb51f
7cf4df913a1a1b636b0edc3c,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/sugoroku_event_activate_name.mbe/000_sugoroku_event_activate_name.csv,2,1,string 1,Got [item_name]!,Ich habe [item_name]!,translate,translated,displayed-string,fca7991819748700785a1f820b155b926efec77df796defba80830ba66a106d8
1b67bee7ad17e7a0330e36fd,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/sugoroku_event_activate_name.mbe/000_sugoroku_event_activate_name.csv,3,1,string 1,Dummy Event,Dummy-Ereignis,translate,translated,displayed-string,30385ef1a4b4939d0c4c3b53e13524a6ee7a924a3dc686d01f14eb0977a33ab9
4e95d02f2c3b1eb3715cbbd2,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/sugoroku_event_activate_name.mbe/000_sugoroku_event_activate_name.csv,4,1,string 1,[icon_p1]chance +[effect]%%,[icon_p1]chance +[Effekt]%%,translate,translated,displayed-string,b20b6784308cba520cb52b0bc6a20f2d4f019c4c556301d83bffd3f40a6b17b9
791ced146471f9060725d7fd,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/sugoroku_event_activate_name.mbe/000_sugoroku_event_activate_name.csv,5,1,string 1,{fc(ff0000)[icon_p1]chance: [effect]%%},{fc(ff0000)[icon_p1]chance: [Effekt]%%},translate,translated,displayed-string:fc-repair,52c821361ac59f1c9bed0aa90d58f102c61aea3f8086fcb5674dd30214132914
48be2c9b757c584232429191,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/sugoroku_event_activate_name.mbe/000_sugoroku_event_activate_name.csv,6,1,string 1,[icon_p2]chance +[effect]%%,[icon_p2]chance +[Effekt]%%,translate,translated,displayed-string,db6406ce835341861e059bdf0aaef434e1b67a0013bc7b1f46c2cf7758b8351e
6c0f4a68a5cecd7360482112,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/sugoroku_event_activate_name.mbe/000_sugoroku_event_activate_name.csv,7,1,string 1,{fc(ff0000)[icon_p2]chance: [effect]%%},{fc(ff0000)[icon_p2]chance: [Effekt]%%},translate,translated,displayed-string:fc-repair,f72cdb6cdef022daf3d5471faa9cb75e31bde5d72073167895161967ba3fc7ce
c871a97db0918a4d76ee6fa6,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/sugoroku_event_activate_name.mbe/000_sugoroku_event_activate_name.csv,8,1,string 1,[icon_p3]chance +[effect]%%,[icon_p3]chance +[Effekt]%%,translate,translated,displayed-string,f63d6ce491143996c93b2624ee8338931941f989cc28171b2844ed447cdba00f
e26762053d91506b3616424b,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/sugoroku_event_activate_name.mbe/000_sugoroku_event_activate_name.csv,9,1,string 1,{fc(ff0000)[icon_p3]chance: [effect]%%},{fc(ff0000)[icon_p3]chance: [Effekt]%%},translate,translated,displayed-string:fc-repair,d6fbc8939b3a711cce34c8387ed72cc36c417990c38b50aad131fb46c7d88d9b
3566d2bdcf9d9376cbb9a365,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/sugoroku_event_activate_name.mbe/000_sugoroku_event_activate_name.csv,10,1,string 1,[icon_p4]chance +[effect]%%,[icon_p4]chance +[Effekt]%%,translate,translated,displayed-string,c74af0da8da9560a7c428ea74224b1904b95b0858fecee35c6e787ba9d3e5141
