cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
24c8f5bda7005d4a3165b654,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s06_0_jigokurt_00_d064_m060_020.mbe/000_Sheet1.csv,1,2,string 2,Ugh... How infuriating...,Wie ärgerlich...,translate,translated,displayed-string,d9f07fc3ce241d5039fe8675d04bb69fa742ed2f1f1d44af29824cc19d8c0080
5e03a32e864e0d3bb66b2fef,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s06_0_jigokurt_00_d064_m060_020.mbe/000_Sheet1.csv,1,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
8a90f5fd69a704697c393e35,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s06_0_jigokurt_00_d064_m060_020.mbe/000_Sheet1.csv,1,4,string 4,Ugh... How infuriating...,Wie ärgerlich...,translate,translated,displayed-string,d9f07fc3ce241d5039fe8675d04bb69fa742ed2f1f1d44af29824cc19d8c0080
ca0fc6b909d7e3a31c115eb2,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s06_0_jigokurt_00_d064_m060_020.mbe/000_Sheet1.csv,2,2,string 2,How dare that bitch push me around...!,"Wie kannst du es wagen, dass mich diese Schlampe herumschubst...!",translate,translated,displayed-string,1d1eaf60c06a606aa4b8cffbdafc19953e8bcce81802a26f619d2366eda1a47e
ba5f8701674d48bf9b806b3b,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s06_0_jigokurt_00_d064_m060_020.mbe/000_Sheet1.csv,2,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
8648a2a55d25369ad22d1db8,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s06_0_jigokurt_00_d064_m060_020.mbe/000_Sheet1.csv,2,4,string 4,How dare that bitch push me around...!,"Wie kannst du es wagen, dass mich diese Schlampe herumschubst...!",translate,translated,displayed-string,1d1eaf60c06a606aa4b8cffbdafc19953e8bcce81802a26f619d2366eda1a47e
1f5ca5e70dafa1120528be6e,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s06_0_jigokurt_00_d064_m060_020.mbe/000_Sheet1.csv,3,2,string 2,"Who the hell does she think I am?! I'm the great Addamaque, the {fc(ff635b)Paragon of Hatred}!","Für wen hält sie mich?! Ich bin der große Addamaque, der {fc(ff635b)Paragon des Hasses}!",translate,translated,displayed-string:fc-repair,43d74b03ab9fecaf788a9c8a231b63f0886d2d6f614eaaa38c3bb514b60e222a
cfd8d1917aea629f7751b8d4,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s06_0_jigokurt_00_d064_m060_020.mbe/000_Sheet1.csv,3,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
96ca06bd1ae329d3b8a14c8b,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s06_0_jigokurt_00_d064_m060_020.mbe/000_Sheet1.csv,3,4,string 4,"Who the hell does she think I am?! I'm the great Addamaque, the {fc(ff635b)Paragon of Hatred}!","Für wen hält sie mich?! Ich bin der große Addamaque, der {fc(ff635b)Paragon des Hasses}!",translate,translated,displayed-string:fc-repair,43d74b03ab9fecaf788a9c8a231b63f0886d2d6f614eaaa38c3bb514b60e222a
442d76af866416a2fd4c064e,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s06_0_jigokurt_00_d064_m060_020.mbe/000_Sheet1.csv,4,2,string 2,Aghhhhh! You're all going down!,Ihr geht alle unter!,translate,translated,displayed-string,f29879896a283699dad903bab806756e8b56975345b3441481b5cae258d21aa1
bf26ee25e820d33fb8cc6c8c,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s06_0_jigokurt_00_d064_m060_020.mbe/000_Sheet1.csv,4,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
5355d454ef83d4874686d7cd,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s06_0_jigokurt_00_d064_m060_020.mbe/000_Sheet1.csv,4,4,string 4,Aghhhhh! You're all going down!,Ihr geht alle unter!,translate,translated,displayed-string,f29879896a283699dad903bab806756e8b56975345b3441481b5cae258d21aa1
