cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
9fc6f145e0593720eaea2490,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_0_deathsui_00_d006_m040_010.mbe/000_Sheet1.csv,1,2,string 2,"{fc(57e4f1)After moving the conversation to the Cafeteria and introducing ourselves, we told everyone what had happened at Last Defense Academy.}","{fc(57e4f1)Nachdem wir das Gespräch in die Cafeteria verlegt und uns vorgestellt hatten, erzählten wir allen, was an der letzten Verteidigungsakademie passiert war.}",translate,translated,displayed-string:fc-repair,4cf9069e12ef1a2ac12aa9c9d19fb101563d8df9b543a15bac04c53d09089841
2c7abae2ee203514a37ba1aa,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_0_deathsui_00_d006_m040_010.mbe/000_Sheet1.csv,1,4,string 4,"{fc(57e4f1)After moving the conversation to the Cafeteria and introducing ourselves, we told everyone what had happened at Last Defense Academy.}","{fc(57e4f1)Nachdem wir das Gespräch in die Cafeteria verlegt und uns vorgestellt hatten, erzählten wir allen, was an der letzten Verteidigungsakademie passiert war.}",translate,translated,displayed-string:fc-repair,4cf9069e12ef1a2ac12aa9c9d19fb101563d8df9b543a15bac04c53d09089841
95c0a29aee85b17ce1b78857,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_0_deathsui_00_d006_m040_010.mbe/000_Sheet1.csv,2,2,string 2,"{fc(57e4f1)About Eito, the threatening message, Sirei's destruction...all of it.}","{fc(57e4f1)Über Eito, die bedrohliche Botschaft, Sireis Zerstörung... alles davon.}",translate,translated,displayed-string:fc-repair,0a46b9fa92bafc4b923a49f434fe12fba56610eb79ddaccf18c9d9175ba654ec
097c3dc28803085923020e29,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_0_deathsui_00_d006_m040_010.mbe/000_Sheet1.csv,2,4,string 4,"{fc(57e4f1)About Eito, the threatening message, Sirei's destruction...all of it.}","{fc(57e4f1)Über Eito, die bedrohliche Botschaft, Sireis Zerstörung... alles davon.}",translate,translated,displayed-string:fc-repair,0a46b9fa92bafc4b923a49f434fe12fba56610eb79ddaccf18c9d9175ba654ec
cd6e18179ab62afa2cd8ba7b,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_0_deathsui_00_d006_m040_010.mbe/000_Sheet1.csv,3,2,string 2,{fc(57e4f1)Even about Gaku's murder and me traveling back in time.},{fc(57e4f1)Selbst wegen Gakus Mord und meiner Zeitreise.},translate,translated,displayed-string:fc-repair,8acaa75dd623f4697d07fc08ca52a0f7458bc291d648fd3e73750cb2cec2cba7
923a1adf0057ca6a2738c261,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_0_deathsui_00_d006_m040_010.mbe/000_Sheet1.csv,3,4,string 4,{fc(57e4f1)Even about Gaku's murder and me traveling back in time.},{fc(57e4f1)Selbst wegen Gakus Mord und meiner Zeitreise.},translate,translated,displayed-string:fc-repair,8acaa75dd623f4697d07fc08ca52a0f7458bc291d648fd3e73750cb2cec2cba7
0aa177be18177fdddad06d7f,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_0_deathsui_00_d006_m040_010.mbe/000_Sheet1.csv,4,2,string 2,{fc(57e4f1)I also shared everything that had happened in the 100 days I had previously gone through.},"{fc(57e4f1)Ich teilte auch alles, was in den 100 Tagen passiert war, die ich vorher durchgemacht hatte.}",translate,translated,displayed-string:fc-repair,fc8b6242a1d3dd37559732a1f7bbf4530c9a0acc1d11cdcc54ab4ad3251830b1
709e37160808f39f5b6f7da4,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_0_deathsui_00_d006_m040_010.mbe/000_Sheet1.csv,4,4,string 4,{fc(57e4f1)I also shared everything that had happened in the 100 days I had previously gone through.},"{fc(57e4f1)Ich teilte auch alles, was in den 100 Tagen passiert war, die ich vorher durchgemacht hatte.}",translate,translated,displayed-string:fc-repair,fc8b6242a1d3dd37559732a1f7bbf4530c9a0acc1d11cdcc54ab4ad3251830b1
5367f38c287f61f3a105b6b2,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_0_deathsui_00_d006_m040_010.mbe/000_Sheet1.csv,5,2,string 2,{fc(57e4f1)What greeted me at the end was silence.},"{fc(57e4f1)Was mich am Ende begrüßte, war Stille.}",translate,translated,displayed-string:fc-repair,dd785e9d07093c4d31a0969fe79ae404103697929785004ee4c478cf1957011b
51e151ddeec4a046143b8a44,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s15_0_deathsui_00_d006_m040_010.mbe/000_Sheet1.csv,5,4,string 4,{fc(57e4f1)What greeted me at the end was silence.},"{fc(57e4f1)Was mich am Ende begrüßte, war Stille.}",translate,translated,displayed-string:fc-repair,dd785e9d07093c4d31a0969fe79ae404103697929785004ee4c478cf1957011b
