cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
ca75a7875e2e6144a70a5f5d,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_babb_d100_m010_010.mbe/000_Sheet1.csv,1,2,string 2,Day 100,Tag 100,translate,translated,displayed-string,e959bd22a4fc338bccd0366a14f194a0cb6923dc559321e1282f9769d7820cd2
89de00a45cca80e7541a1395,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_babb_d100_m010_010.mbe/000_Sheet1.csv,1,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
6cd71487d94b3511f1471c6e,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_babb_d100_m010_010.mbe/000_Sheet1.csv,1,4,string 4,Day 100,Tag 100,translate,translated,displayed-string,e959bd22a4fc338bccd0366a14f194a0cb6923dc559321e1282f9769d7820cd2
c1223fb8681a6d0d31ae5407,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_babb_d100_m010_010.mbe/000_Sheet1.csv,2,2,string 2,"{fc(57e4f1)It was early in the morning, before the usual announcement could play.}","{fc(57e4f1)Es war früh am Morgen, bevor die übliche Ankündigung spielen konnte.}",translate,translated,displayed-string:fc-repair,18b35523cbfd7ec6af99aeeeb9d0fdafe3ddadee2646ca0e3099162dca619f40
2947dc0f7f9dbc32b4e2b4e8,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_babb_d100_m010_010.mbe/000_Sheet1.csv,2,4,string 4,"{fc(57e4f1)It was early in the morning, before the usual announcement could play.}","{fc(57e4f1)Es war früh am Morgen, bevor die übliche Ankündigung spielen konnte.}",translate,translated,displayed-string:fc-repair,18b35523cbfd7ec6af99aeeeb9d0fdafe3ddadee2646ca0e3099162dca619f40
63cc95f59b48ef1160d09b22,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_babb_d100_m010_010.mbe/000_Sheet1.csv,3,2,string 2,{fc(57e4f1)I was standing on the Roof. Hiruko was in front of me.},{fc(57e4f1)Ich stand auf dem Dach. Hiruko war vor mir.},translate,translated,displayed-string:fc-repair,cda44bc92c5edc3ca722ec0c80862c43b4886158edb263b5e17834fee7a451cf
cf47a61334b2f2af2518b8b1,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_babb_d100_m010_010.mbe/000_Sheet1.csv,3,4,string 4,{fc(57e4f1)I was standing on the Roof. Hiruko was in front of me.},{fc(57e4f1)Ich stand auf dem Dach. Hiruko war vor mir.},translate,translated,displayed-string:fc-repair,cda44bc92c5edc3ca722ec0c80862c43b4886158edb263b5e17834fee7a451cf
52903ec0dec39070d0a0cfcd,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_babb_d100_m010_010.mbe/000_Sheet1.csv,4,2,string 2,"You really are resilient, Takumi. You can barely keep yourself upright, can you?","Du bist wirklich belastbar, Takumi, du kannst dich kaum aufrecht halten, oder?",translate,translated,displayed-string,52b2d12d3d96ab339b1ad661e3744fabbaa00685ae716bfd3a72e77a6988888f
8227c6a8e85d2fceb6e86d54,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_babb_d100_m010_010.mbe/000_Sheet1.csv,4,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
b4ef6f717f33cd6f887dbe19,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_babb_d100_m010_010.mbe/000_Sheet1.csv,4,4,string 4,"You really are resilient, Takumi. You can barely keep yourself upright, can you?","Du bist wirklich belastbar, Takumi, du kannst dich kaum aufrecht halten, oder?",translate,translated,displayed-string,52b2d12d3d96ab339b1ad661e3744fabbaa00685ae716bfd3a72e77a6988888f
e8103544b6d086f44ee5c566,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_babb_d100_m010_010.mbe/000_Sheet1.csv,5,2,string 2,{fc(57e4f1)There was no sense in trying to act tough. I nodded sincerely.},{fc(57e4f1)Ich nickte aufrichtig.},translate,translated,displayed-string:fc-repair,efb7f8763126570fba73ede0a166c4f412b67baae39567aa0c1e8baadb1bdd88
2db453694e3391d2f9c87ee0,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_babb_d100_m010_010.mbe/000_Sheet1.csv,5,4,string 4,{fc(57e4f1)There was no sense in trying to act tough. I nodded sincerely.},{fc(57e4f1)Ich nickte aufrichtig.},translate,translated,displayed-string:fc-repair,efb7f8763126570fba73ede0a166c4f412b67baae39567aa0c1e8baadb1bdd88
7657b3e0e7a95bd8ac0b5583,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_babb_d100_m010_010.mbe/000_Sheet1.csv,6,2,string 2,{fc(57e4f1)My life would be over soon. The weakening of my pulse made that very clear.},{fc(57e4f1)Die Schwächung meines Pulses machte das sehr deutlich.},translate,translated,displayed-string:fc-repair,1f96e5a7762e0ddee13b3f844e1bde47697b838ff44d4b2ebce56e68dc7369d3
a3ebdfd05d5d4abab782142d,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_babb_d100_m010_010.mbe/000_Sheet1.csv,6,4,string 4,{fc(57e4f1)My life would be over soon. The weakening of my pulse made that very clear.},{fc(57e4f1)Die Schwächung meines Pulses machte das sehr deutlich.},translate,translated,displayed-string:fc-repair,1f96e5a7762e0ddee13b3f844e1bde47697b838ff44d4b2ebce56e68dc7369d3
d8101f3cd2be639d61993a25,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_babb_d100_m010_010.mbe/000_Sheet1.csv,7,2,string 2,You're not going to ask about yesterday's battle?,Du fragst nicht nach der Schlacht von gestern?,translate,translated,displayed-string,ff5ab43acbd6d19f610a4a4bb3443e19175abeef5c2839da52705dcc8c715c26
