cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
0491954b308d7a21b7687ee2,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_b_lovelove_aa_d048_m010_010.mbe/000_Sheet1.csv,1,2,string 2,Sure. It must be embarrassing for you.,"Sicher, das muss dir peinlich sein.",translate,translated,displayed-string,dad146de2c2e946cd113382a7122b644c4b6a95acd77274c93d242fd67e5ee5f
d9bbae9a2342fd700a7aab59,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_b_lovelove_aa_d048_m010_010.mbe/000_Sheet1.csv,1,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
b3e6ed229a083ce587be8253,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_b_lovelove_aa_d048_m010_010.mbe/000_Sheet1.csv,1,4,string 4,Sure. It must be embarrassing for you.,"Sicher, das muss dir peinlich sein.",translate,translated,displayed-string,dad146de2c2e946cd113382a7122b644c4b6a95acd77274c93d242fd67e5ee5f
2a377b8c0def87bec701dd4a,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_b_lovelove_aa_d048_m010_010.mbe/000_Sheet1.csv,2,2,string 2,"Phew, now I can relax...","Phew, jetzt kann ich mich entspannen...",translate,translated,displayed-string,cee9d5a8f6b14f44ea6ebd72dfc2c8d795c05ffda993a53521202e83b5991699
bdc626bbb2ba63a23caea920,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_b_lovelove_aa_d048_m010_010.mbe/000_Sheet1.csv,2,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
da8f5d1f6b71311a828e2f2d,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_b_lovelove_aa_d048_m010_010.mbe/000_Sheet1.csv,2,4,string 4,"Phew, now I can relax...","Phew, jetzt kann ich mich entspannen...",translate,translated,displayed-string,cee9d5a8f6b14f44ea6ebd72dfc2c8d795c05ffda993a53521202e83b5991699
c4d21da5c7fabebd398205cc,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_b_lovelove_aa_d048_m010_010.mbe/000_Sheet1.csv,3,2,string 2,"Well then, where were we?","Nun, wo waren wir dann?",translate,translated,displayed-string,f4b291b9489ecb2d2d78716706eda3812a2d00448da8adecf0032eb44019af15
037281986821a8acddfc9dec,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_b_lovelove_aa_d048_m010_010.mbe/000_Sheet1.csv,3,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
e36d854b964d742f79693f4e,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_b_lovelove_aa_d048_m010_010.mbe/000_Sheet1.csv,3,4,string 4,"Well then, where were we?","Nun, wo waren wir dann?",translate,translated,displayed-string,f4b291b9489ecb2d2d78716706eda3812a2d00448da8adecf0032eb44019af15
f0406369a213b7f0840a1ea7,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_b_lovelove_aa_d048_m010_010.mbe/000_Sheet1.csv,4,2,string 2,Huh? You want to do it with the mask on?,Willst du es mit der Maske machen?,translate,translated,displayed-string,918ea182d31523fa76ed0b38ad306763064a943c78c95c89a7749fe9a63e66e5
750f4feeb926608dea61ad7e,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_b_lovelove_aa_d048_m010_010.mbe/000_Sheet1.csv,4,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
15682e20090466ab21d787d6,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_b_lovelove_aa_d048_m010_010.mbe/000_Sheet1.csv,4,4,string 4,Huh? You want to do it with the mask on?,Willst du es mit der Maske machen?,translate,translated,displayed-string,918ea182d31523fa76ed0b38ad306763064a943c78c95c89a7749fe9a63e66e5
5d00ba981609803c19280d73,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_b_lovelove_aa_d048_m010_010.mbe/000_Sheet1.csv,5,2,string 2,What are you on about?,Worum geht es?,translate,translated,displayed-string,f6fa49be7feb7b9cbea7ac871803641ceb4a06d897f46395c8f162929a23d422
0232f9beef8c9c2650a5bb7c,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_b_lovelove_aa_d048_m010_010.mbe/000_Sheet1.csv,5,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
d2169e91e557fe5b2554e309,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_b_lovelove_aa_d048_m010_010.mbe/000_Sheet1.csv,5,4,string 4,What are you on about?,Worum geht es?,translate,translated,displayed-string,f6fa49be7feb7b9cbea7ac871803641ceb4a06d897f46395c8f162929a23d422
9873f8184aab46d307cb2ddb,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_b_lovelove_aa_d048_m010_010.mbe/000_Sheet1.csv,6,2,string 2,"Were you about to do something that requires the mask off, hm?","Warst du dabei, etwas zu tun, das die Maske abnehmen muss, hm?",translate,translated,displayed-string,d00d3bb4b5415d7323e7b6e5c57ebaa7c4f8bc79752747a9fdabc206a71a04c0
839dea4d4dc09243784f4aee,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_b_lovelove_aa_d048_m010_010.mbe/000_Sheet1.csv,6,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
8f5a9c4859288e06dd2374bc,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_b_lovelove_aa_d048_m010_010.mbe/000_Sheet1.csv,6,4,string 4,"Were you about to do something that requires the mask off, hm?","Warst du dabei, etwas zu tun, das die Maske abnehmen muss, hm?",translate,translated,displayed-string,d00d3bb4b5415d7323e7b6e5c57ebaa7c4f8bc79752747a9fdabc206a71a04c0
5d0ff6cffeade116f064db68,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_b_lovelove_aa_d048_m010_010.mbe/000_Sheet1.csv,7,2,string 2,"Uh, because...",Weil...,translate,translated,displayed-string,553983bfa90e340d396cb740104288c8efaa297bc3e3b0059f75f09ce4e899f0
6f945548b493b93d282f22a9,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_b_lovelove_aa_d048_m010_010.mbe/000_Sheet1.csv,7,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
