cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
a35737ce2b962a649868b2cd,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s07_0_panicxrt_ab_d034_m010_010.mbe/000_Sheet1.csv,1,2,string 2,...I can't help you.,...ich kann dir nicht helfen.,translate,translated,displayed-string,19c4d37d07e97099593840416359df3bfada489bbda7229f8df020b62d381904
3675057c9ed83f12439ff797,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s07_0_panicxrt_ab_d034_m010_010.mbe/000_Sheet1.csv,1,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
ba40eef7fe7038670e27f0ac,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s07_0_panicxrt_ab_d034_m010_010.mbe/000_Sheet1.csv,1,4,string 4,...I can't help you.,...ich kann dir nicht helfen.,translate,translated,displayed-string,19c4d37d07e97099593840416359df3bfada489bbda7229f8df020b62d381904
72ab8c5a670098eb8cb70fad,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s07_0_panicxrt_ab_d034_m010_010.mbe/000_Sheet1.csv,2,2,string 2,Wh-What? Why not?! Don't you believe me?,Warum nicht?! Glauben Sie mir nicht?,translate,translated,displayed-string,0f85e21f4ad5fbbbf96c6a55f5b1b1077cb74579101ae4127855f4476c865d45
789a2d3c200cbabfbf762a50,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s07_0_panicxrt_ab_d034_m010_010.mbe/000_Sheet1.csv,2,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
9da906d555604263a50bddfd,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s07_0_panicxrt_ab_d034_m010_010.mbe/000_Sheet1.csv,2,4,string 4,Wh-What? Why not?! Don't you believe me?,Warum nicht?! Glauben Sie mir nicht?,translate,translated,displayed-string,0f85e21f4ad5fbbbf96c6a55f5b1b1077cb74579101ae4127855f4476c865d45
034b546ec5908912c902f48f,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s07_0_panicxrt_ab_d034_m010_010.mbe/000_Sheet1.csv,3,2,string 2,"No, it makes sense, and normally I would believe you.","Nein, es ergibt Sinn, und normalerweise würde ich dir glauben.",translate,translated,displayed-string,3d474265e99153bc69daf9cbfb575163f9dd206d906cb66dd18645313062aca0
5de1f7d27c40609f6708fc57,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s07_0_panicxrt_ab_d034_m010_010.mbe/000_Sheet1.csv,3,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
7ffa6f3c6839c182ae2dc8e5,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s07_0_panicxrt_ab_d034_m010_010.mbe/000_Sheet1.csv,3,4,string 4,"No, it makes sense, and normally I would believe you.","Nein, es ergibt Sinn, und normalerweise würde ich dir glauben.",translate,translated,displayed-string,3d474265e99153bc69daf9cbfb575163f9dd206d906cb66dd18645313062aca0
9effab28f33983e4e2932e06,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s07_0_panicxrt_ab_d034_m010_010.mbe/000_Sheet1.csv,4,2,string 2,Then why...?,Warum dann...?,translate,translated,displayed-string,a94f022257174ff9f20ee18c0063791e19ae2ea2e11ea6dcbebc8344bbcdf012
fa101d4471e32ad7de712b1e,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s07_0_panicxrt_ab_d034_m010_010.mbe/000_Sheet1.csv,4,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
32d7fff7cff012828583bc9f,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s07_0_panicxrt_ab_d034_m010_010.mbe/000_Sheet1.csv,4,4,string 4,Then why...?,Warum dann...?,translate,translated,displayed-string,a94f022257174ff9f20ee18c0063791e19ae2ea2e11ea6dcbebc8344bbcdf012
11069d3e0834772d159891be,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s07_0_panicxrt_ab_d034_m010_010.mbe/000_Sheet1.csv,5,2,string 2,I want to believe all this meant something!,"Ich will glauben, dass all das etwas bedeutete!",translate,translated,displayed-string,70c5d74b4e76ba7a8443649dfda0b5e3e18064d26caaa2fb60db66f4a11adcb6
f250adc3b443a6f076e6676c,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s07_0_panicxrt_ab_d034_m010_010.mbe/000_Sheet1.csv,5,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
48c6243c258c63b4eb286bad,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s07_0_panicxrt_ab_d034_m010_010.mbe/000_Sheet1.csv,5,4,string 4,I want to believe all this meant something!,"Ich will glauben, dass all das etwas bedeutete!",translate,translated,displayed-string,70c5d74b4e76ba7a8443649dfda0b5e3e18064d26caaa2fb60db66f4a11adcb6
e42e7319ca778dd4ab6f3ac4,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s07_0_panicxrt_ab_d034_m010_010.mbe/000_Sheet1.csv,6,2,string 2,"I want to believe Sirei has been supporting us all this time, and that my reason for fighting hasn't just been one big mistake...","Ich möchte glauben, dass Sirei uns die ganze Zeit unterstützt hat, und dass mein Grund zu kämpfen nicht nur ein großer Fehler war...",translate,translated,displayed-string,a65abbb038d01fbd7cfff9aaae8d74c111f38608e565beff42f36107c24c15ab
a5c12351df1c3cc250275f2e,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s07_0_panicxrt_ab_d034_m010_010.mbe/000_Sheet1.csv,6,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
