cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
d9af9ed28afc3c423d7781f3,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s06_0_jigokurt_00_d069_m020_010.mbe/000_Sheet1.csv,1,2,string 2,...,...,protected,protected,non-linguistic,ab5df625bc76dbd4e163bed2dd888df828f90159bb93556525c31821b6541d46
d887fb009714fb57c173dccb,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s06_0_jigokurt_00_d069_m020_010.mbe/000_Sheet1.csv,1,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
1f398f1d5862e1811e113f69,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s06_0_jigokurt_00_d069_m020_010.mbe/000_Sheet1.csv,1,4,string 4,...,...,protected,protected,non-linguistic,ab5df625bc76dbd4e163bed2dd888df828f90159bb93556525c31821b6541d46
a3237519209c2d1b3ffa7d83,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s06_0_jigokurt_00_d069_m020_010.mbe/000_Sheet1.csv,2,2,string 2,Nothing's...happening.,Nichts passiert.,translate,translated,displayed-string,db9d6540586d4dfb15a06c6cb77915c26bf2d74537ff0e25edd44a626b35c809
270c59555a19c7f2dbb1f925,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s06_0_jigokurt_00_d069_m020_010.mbe/000_Sheet1.csv,2,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
0defbf1a320519c3de0ab27d,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s06_0_jigokurt_00_d069_m020_010.mbe/000_Sheet1.csv,2,4,string 4,Nothing's...happening.,Nichts passiert.,translate,translated,displayed-string,db9d6540586d4dfb15a06c6cb77915c26bf2d74537ff0e25edd44a626b35c809
2948bb5ce30015ba88362d07,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s06_0_jigokurt_00_d069_m020_010.mbe/000_Sheet1.csv,3,2,string 2,"{fc(57e4f1)Looks like we're having a battle-free morning today, though I'm still going to keep my guard up.}","{fc(57e4f1)Sieht aus, als hätten wir heute einen kampffreien Morgen, obwohl ich immer noch meine Wache halten werde.}",translate,translated,displayed-string:fc-repair,1e4091ae55bc9e74b769f9a299a0d87f01104802a283904735e8cbbb7727fc91
51e7b4577503ebe94828f9aa,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s06_0_jigokurt_00_d069_m020_010.mbe/000_Sheet1.csv,3,4,string 4,"{fc(57e4f1)Looks like we're having a battle-free morning today, though I'm still going to keep my guard up.}","{fc(57e4f1)Sieht aus, als hätten wir heute einen kampffreien Morgen, obwohl ich immer noch meine Wache halten werde.}",translate,translated,displayed-string:fc-repair,1e4091ae55bc9e74b769f9a299a0d87f01104802a283904735e8cbbb7727fc91
267d89918964569bb8b586c8,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s06_0_jigokurt_00_d069_m020_010.mbe/000_Sheet1.csv,4,2,string 2,I should check out the Cafeteria for now.,Ich sollte mir erst mal die Cafeteria ansehen.,translate,translated,displayed-string,55ed0cfb1f01581fc92ebf7cb539c44714711fc85873a0771c597628a25569a7
89274a59765abb5b4b81e3fe,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s06_0_jigokurt_00_d069_m020_010.mbe/000_Sheet1.csv,4,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
4a2612af9081e3a56ce97d36,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s06_0_jigokurt_00_d069_m020_010.mbe/000_Sheet1.csv,4,4,string 4,I should check out the Cafeteria for now.,Ich sollte mir erst mal die Cafeteria ansehen.,translate,translated,displayed-string,55ed0cfb1f01581fc92ebf7cb539c44714711fc85873a0771c597628a25569a7
