cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
5ffd944634d4cf73c7ee717e,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_a_splatter_aa_d100_m010_010.mbe/000_Sheet1.csv,1,2,string 2,Day 100,Tag 100,translate,translated,displayed-string,e959bd22a4fc338bccd0366a14f194a0cb6923dc559321e1282f9769d7820cd2
c8366bfefe1c52e2147c8e72,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_a_splatter_aa_d100_m010_010.mbe/000_Sheet1.csv,1,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
dd152bd783c934d08ad20a94,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_a_splatter_aa_d100_m010_010.mbe/000_Sheet1.csv,1,4,string 4,Day 100,Tag 100,translate,translated,displayed-string,e959bd22a4fc338bccd0366a14f194a0cb6923dc559321e1282f9769d7820cd2
836d52904e32f107e77b3a75,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_a_splatter_aa_d100_m010_010.mbe/000_Sheet1.csv,2,2,string 2,...,...,protected,protected,non-linguistic,ab5df625bc76dbd4e163bed2dd888df828f90159bb93556525c31821b6541d46
539288d56544b2d1805dc244,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_a_splatter_aa_d100_m010_010.mbe/000_Sheet1.csv,2,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
1aa772372035ec8e11a6d313,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_a_splatter_aa_d100_m010_010.mbe/000_Sheet1.csv,2,4,string 4,...,...,protected,protected,non-linguistic,ab5df625bc76dbd4e163bed2dd888df828f90159bb93556525c31821b6541d46
a7ca5bdd4cdc38848e0137e1,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_a_splatter_aa_d100_m010_010.mbe/000_Sheet1.csv,3,2,string 2,"{fc(57e4f1)Finally, we made it to the morning of Day 100.}",{fc(57e4f1)Schließlich haben wir es bis zum Morgen des Tages 100 geschafft.},translate,translated,displayed-string:fc-repair,bc4a824ebb76f7dcda4cdacb3be9b9716318f3d7d2be09c8d140787f0b829c84
6847ec54edb0f0a290c1e58f,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_a_splatter_aa_d100_m010_010.mbe/000_Sheet1.csv,3,4,string 4,"{fc(57e4f1)Finally, we made it to the morning of Day 100.}",{fc(57e4f1)Schließlich haben wir es bis zum Morgen des Tages 100 geschafft.},translate,translated,displayed-string:fc-repair,bc4a824ebb76f7dcda4cdacb3be9b9716318f3d7d2be09c8d140787f0b829c84
9dd99646d353921795ffba0f,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_a_splatter_aa_d100_m010_010.mbe/000_Sheet1.csv,4,2,string 2,"{fc(57e4f1)Soaking up the light from the sun high up in the blue skies, I quietly looked out across the school grounds.}","{fc(57e4f1)Als ich das Licht von der Sonne hoch oben im blauen Himmel erquickte, schaute ich ruhig über das Schulgelände hinaus.}",translate,translated,displayed-string:fc-repair,03ce01755145f3f46518e6bd1a6ab38b62dabc2c46cca9839bac123f54ae419a
a8c08e454418035d46af9418,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_a_splatter_aa_d100_m010_010.mbe/000_Sheet1.csv,4,4,string 4,"{fc(57e4f1)Soaking up the light from the sun high up in the blue skies, I quietly looked out across the school grounds.}","{fc(57e4f1)Als ich das Licht von der Sonne hoch oben im blauen Himmel erquickte, schaute ich ruhig über das Schulgelände hinaus.}",translate,translated,displayed-string:fc-repair,03ce01755145f3f46518e6bd1a6ab38b62dabc2c46cca9839bac123f54ae419a
b0a976f56510b5d0d5f73674,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_a_splatter_aa_d100_m010_010.mbe/000_Sheet1.csv,5,2,string 2,"{fc(57e4f1)We needed to get down to the Schoolyard as soon as possible, to check on the escape pod if nothing else.}","{fc(57e4f1)Wir mussten so schnell wie möglich auf den Schulhof, um die Fluchtkapsel zu überprüfen, wenn nichts anderes.}",translate,translated,displayed-string:fc-repair,71bf9d10c1f5d946cf42c3615b196732db1ab8c74d2165ffdad129b298dd91e7
b6e923f781aeac14d3159f88,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_a_splatter_aa_d100_m010_010.mbe/000_Sheet1.csv,5,4,string 4,"{fc(57e4f1)We needed to get down to the Schoolyard as soon as possible, to check on the escape pod if nothing else.}","{fc(57e4f1)Wir mussten so schnell wie möglich auf den Schulhof, um die Fluchtkapsel zu überprüfen, wenn nichts anderes.}",translate,translated,displayed-string:fc-repair,71bf9d10c1f5d946cf42c3615b196732db1ab8c74d2165ffdad129b298dd91e7
