cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
1bb55f7a27d063fcb933a18b,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/g_chr011nozo_05.mbe/000_Sheet1.csv,1,2,string 2,I've decided to spend my breaks on the Roof.,"Ich habe beschlossen, meine Pausen auf dem Dach zu verbringen.",translate,translated,displayed-string,9dfbb3182ed7beb6cfbc91c14aa1f26b9007557eb4d5370a98fa0755b48b93d7
fe05cdbe97d09e3b8f98898c,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/g_chr011nozo_05.mbe/000_Sheet1.csv,1,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
0d3ed8858222173efee7bd9e,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/g_chr011nozo_05.mbe/000_Sheet1.csv,1,4,string 4,I've decided to spend my breaks on the Roof.,"Ich habe beschlossen, meine Pausen auf dem Dach zu verbringen.",translate,translated,displayed-string,9dfbb3182ed7beb6cfbc91c14aa1f26b9007557eb4d5370a98fa0755b48b93d7
a14d2bcfaeec8468bd1c2f8b,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/g_chr011nozo_05.mbe/000_Sheet1.csv,2,2,string 2,I love gazing at the big blue sky and discovering unusual clouds.,"Ich liebe es, auf den großen blauen Himmel zu schauen und ungewöhnliche Wolken zu entdecken.",translate,translated,displayed-string,ec88ecdb37be1cb66e15d850933a12278a8e9bb763fb2ea1b2e6cfd1620f8797
f6efce563dfa6a6ecccfb5a8,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/g_chr011nozo_05.mbe/000_Sheet1.csv,2,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
54bb2d8a2b325d5fce66daba,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/g_chr011nozo_05.mbe/000_Sheet1.csv,2,4,string 4,I love gazing at the big blue sky and discovering unusual clouds.,"Ich liebe es, auf den großen blauen Himmel zu schauen und ungewöhnliche Wolken zu entdecken.",translate,translated,displayed-string,ec88ecdb37be1cb66e15d850933a12278a8e9bb763fb2ea1b2e6cfd1620f8797
73d7b9cb86e59d92660accb7,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/g_chr011nozo_05.mbe/000_Sheet1.csv,3,2,string 2,"Haha, that sounds very you, Nozomi.","Haha, das klingt sehr nach dir, Nozomi.",translate,translated,displayed-string,5a9447aee33ebcec7fc40489538e39a8aa45c07a231ebcf458c65fd29e29e50b
c9df1b5c00ac72bd32742449,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/g_chr011nozo_05.mbe/000_Sheet1.csv,3,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
b824b0b78fb44354e521ef4f,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/g_chr011nozo_05.mbe/000_Sheet1.csv,3,4,string 4,"Haha, that sounds very you, Nozomi.","Haha, das klingt sehr nach dir, Nozomi.",translate,translated,displayed-string,5a9447aee33ebcec7fc40489538e39a8aa45c07a231ebcf458c65fd29e29e50b
32a9402a2a1119abd58957cf,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/g_chr011nozo_05.mbe/000_Sheet1.csv,4,2,string 2,"Oh, look! That cloud is shaped like a tulip!",Diese Wolke ist wie eine Tulpe geformt!,translate,translated,displayed-string,84013f033549a972981ab71f60afab8aab85cc911c5c7eb557144e7aebaeaa80
4b75fdbf07b2083ae94271fe,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/g_chr011nozo_05.mbe/000_Sheet1.csv,4,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
