cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
86c502e4b66eb9bcf66ebfd7,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/g_chr014yuga_02_02.mbe/000_Sheet1.csv,1,2,string 2,Y-Yugamu... Why are you laughing to yourself?,"Y-Yugamu, warum lachst du für dich selbst?",translate,translated,displayed-string,0402de2d595f72152679aaee502eeb87397bb4279cdbf20e68ac3b4608344c46
29b6d59ec0c99ef44540a714,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/g_chr014yuga_02_02.mbe/000_Sheet1.csv,1,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
d22e521bd4f36e0ce2e7581d,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/g_chr014yuga_02_02.mbe/000_Sheet1.csv,1,4,string 4,Y-Yugamu... Why are you laughing to yourself?,"Y-Yugamu, warum lachst du für dich selbst?",translate,translated,displayed-string,0402de2d595f72152679aaee502eeb87397bb4279cdbf20e68ac3b4608344c46
99bee2bd6ce8ab0e77c91b80,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/g_chr014yuga_02_02.mbe/000_Sheet1.csv,2,2,string 2,I just remembered something while I was compounding drugs.,"Ich erinnerte mich an etwas, während ich Drogen vermischte.",translate,translated,displayed-string,6943ff39c9bd6cc97671092f3887e0625dc8d376bedea147b238e2fb45ee41b9
6304093b3e24eaae90e88d72,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/g_chr014yuga_02_02.mbe/000_Sheet1.csv,2,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
5d21fcac20a504e1b5fdd461,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/g_chr014yuga_02_02.mbe/000_Sheet1.csv,2,4,string 4,I just remembered something while I was compounding drugs.,"Ich erinnerte mich an etwas, während ich Drogen vermischte.",translate,translated,displayed-string,6943ff39c9bd6cc97671092f3887e0625dc8d376bedea147b238e2fb45ee41b9
ad1971e0e857386ed78ab855,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/g_chr014yuga_02_02.mbe/000_Sheet1.csv,3,2,string 2,"I was young, and I'd been doing my best to synthesize a poison that was even remotely acceptable.","Ich war jung und habe mein Bestes getan, um ein Gift zu synthetisieren, das sogar aus der Ferne akzeptabel war.",translate,translated,displayed-string,3351e41e56e72e095215b4995d328399a065c60fae0a8e039e2d071729b728c3
daf16cc814459e3ab399a0d1,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/g_chr014yuga_02_02.mbe/000_Sheet1.csv,3,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
b09b0ab286930610244013fb,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/g_chr014yuga_02_02.mbe/000_Sheet1.csv,3,4,string 4,"I was young, and I'd been doing my best to synthesize a poison that was even remotely acceptable.","Ich war jung und habe mein Bestes getan, um ein Gift zu synthetisieren, das sogar aus der Ferne akzeptabel war.",translate,translated,displayed-string,3351e41e56e72e095215b4995d328399a065c60fae0a8e039e2d071729b728c3
f1f3078f1aeecc0aa6dff05c,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/g_chr014yuga_02_02.mbe/000_Sheet1.csv,4,2,string 2,{fc(57e4f1)Yugamu shared his memories with me.},{fc(57e4f1)Yugamu teilte mir seine Erinnerungen.},translate,translated,displayed-string:fc-repair,a105e10d0b322721779f3c9771535d4665b1e5b9b9668a542eae26d9018a9bcc
0e6a7c65cf4d426eca2f397a,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/g_chr014yuga_02_02.mbe/000_Sheet1.csv,4,4,string 4,{fc(57e4f1)Yugamu shared his memories with me.},{fc(57e4f1)Yugamu teilte mir seine Erinnerungen.},translate,translated,displayed-string:fc-repair,a105e10d0b322721779f3c9771535d4665b1e5b9b9668a542eae26d9018a9bcc
