cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
0a8dd4ba8db45a7cc2da6a5f,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_a_boukenrt_bbb_d099_m010_010.mbe/000_Sheet1.csv,1,2,string 2,{fc(57e4f1)We burned the boxes.},{fc(57e4f1)Wir haben die Kisten verbrannt.},translate,translated,displayed-string:fc-repair,e5daea19f7665010dd93403e3543eb3abc0cb7020c9d008af87f5c56dfb1fa4f
7e1908e3dd8b3e4f65f46adb,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_a_boukenrt_bbb_d099_m010_010.mbe/000_Sheet1.csv,1,4,string 4,{fc(57e4f1)We burned the boxes.},{fc(57e4f1)Wir haben die Kisten verbrannt.},translate,translated,displayed-string:fc-repair,e5daea19f7665010dd93403e3543eb3abc0cb7020c9d008af87f5c56dfb1fa4f
0153258c50835cfe1b64e6fd,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_a_boukenrt_bbb_d099_m010_010.mbe/000_Sheet1.csv,2,2,string 2,"{fc(57e4f1)Every box we'd found, we threw into the Undying Flames, where they burned to ashes.}","{fc(57e4f1)Jede Kiste, die wir gefunden hatten, warfen wir in die Unsterblichen Flammen, wo sie zu Asche verbrannten.}",translate,translated,displayed-string:fc-repair,91e7bf8a514b88f411d01b219d2a3837b84f7e329ad2248d4ffc21dcdd12acb8
b052468e46ec4e6082f6bfb9,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_a_boukenrt_bbb_d099_m010_010.mbe/000_Sheet1.csv,2,4,string 4,"{fc(57e4f1)Every box we'd found, we threw into the Undying Flames, where they burned to ashes.}","{fc(57e4f1)Jede Kiste, die wir gefunden hatten, warfen wir in die Unsterblichen Flammen, wo sie zu Asche verbrannten.}",translate,translated,displayed-string:fc-repair,91e7bf8a514b88f411d01b219d2a3837b84f7e329ad2248d4ffc21dcdd12acb8
8a8c8fd981278c96ddda0190,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_a_boukenrt_bbb_d099_m010_010.mbe/000_Sheet1.csv,3,2,string 2,{fc(57e4f1)Nobody would ever be able to open the Boxes of Blessings now. And no one would have any reason to look for the ones we'd missed.},"{fc(57e4f1)Niemand würde jemals die Boxen der Segnungen öffnen können, und niemand hätte einen Grund, nach denen zu suchen, die wir verpasst hatten.}",translate,translated,displayed-string:fc-repair,b2c63310707fb2deda72a33cf89e036ee5e259ef6c0137c4d639d0ef15149114
2c33815a8e2f99b04e337413,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_a_boukenrt_bbb_d099_m010_010.mbe/000_Sheet1.csv,3,4,string 4,{fc(57e4f1)Nobody would ever be able to open the Boxes of Blessings now. And no one would have any reason to look for the ones we'd missed.},"{fc(57e4f1)Niemand würde jemals die Boxen der Segnungen öffnen können, und niemand hätte einen Grund, nach denen zu suchen, die wir verpasst hatten.}",translate,translated,displayed-string:fc-repair,b2c63310707fb2deda72a33cf89e036ee5e259ef6c0137c4d639d0ef15149114
740b6178bab200059d6378d4,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_a_boukenrt_bbb_d099_m010_010.mbe/000_Sheet1.csv,4,2,string 2,"{fc(57e4f1)We wouldn't have to worry about becoming obsessed with them, or about some new enemy using them against us.}","{fc(57e4f1)Wir müssten uns keine Sorgen machen, von ihnen besessen zu werden, oder über einen neuen Feind, der sie gegen uns benutzt.}",translate,translated,displayed-string:fc-repair,dea592b29e9daa262bd6908a069a82d4d30dd243c093f10663fd7593e3947d49
cf5ef55626fff0e461741829,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_a_boukenrt_bbb_d099_m010_010.mbe/000_Sheet1.csv,4,4,string 4,"{fc(57e4f1)We wouldn't have to worry about becoming obsessed with them, or about some new enemy using them against us.}","{fc(57e4f1)Wir müssten uns keine Sorgen machen, von ihnen besessen zu werden, oder über einen neuen Feind, der sie gegen uns benutzt.}",translate,translated,displayed-string:fc-repair,dea592b29e9daa262bd6908a069a82d4d30dd243c093f10663fd7593e3947d49
27539ac7aa91ed8106f8f7ca,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_a_boukenrt_bbb_d099_m010_010.mbe/000_Sheet1.csv,5,2,string 2,"{fc(57e4f1)Whatever secrets were hiding inside the boxes, there were some things we were better off not knowing.}","{fc(57e4f1)Was auch immer Geheimnisse in den Kisten versteckten, es gab einige Dinge, die wir besser nicht wussten.}",translate,translated,displayed-string:fc-repair,88fdd65fcf337950306c51dece7b59bd060ece6837e339cdb89ee8c70a8e750c
92713ba255000e466e95f78c,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_a_boukenrt_bbb_d099_m010_010.mbe/000_Sheet1.csv,5,4,string 4,"{fc(57e4f1)Whatever secrets were hiding inside the boxes, there were some things we were better off not knowing.}","{fc(57e4f1)Was auch immer Geheimnisse in den Kisten versteckten, es gab einige Dinge, die wir besser nicht wussten.}",translate,translated,displayed-string:fc-repair,88fdd65fcf337950306c51dece7b59bd060ece6837e339cdb89ee8c70a8e750c
721cc1b3481936a4f81e316e,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_a_boukenrt_bbb_d099_m010_010.mbe/000_Sheet1.csv,6,2,string 2,{fc(57e4f1)Everyone had been unanimous on that point. Even Kako agreed.},"{fc(57e4f1)In diesem Punkt waren sich alle einig, auch Kako war einverstanden.}",translate,translated,displayed-string:fc-repair,97d148517d960f1bdfb5458f401de6d2a2a98308eb86b4bda17175dd554b9bd8
90d5af23b27b55ec7e4080f2,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_a_boukenrt_bbb_d099_m010_010.mbe/000_Sheet1.csv,6,4,string 4,{fc(57e4f1)Everyone had been unanimous on that point. Even Kako agreed.},"{fc(57e4f1)In diesem Punkt waren sich alle einig, auch Kako war einverstanden.}",translate,translated,displayed-string:fc-repair,97d148517d960f1bdfb5458f401de6d2a2a98308eb86b4bda17175dd554b9bd8
8083cae49d9232dd4f3e5b92,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_a_boukenrt_bbb_d099_m010_010.mbe/000_Sheet1.csv,7,2,string 2,"{fc(57e4f1)When Eito learned the truth, it had destroyed him. And V'ehxness had wanted it so badly that she'd lost her mind.}","{fc(57e4f1)Als Eito die Wahrheit erfuhr, hatte sie ihn zerstört, und V'ehxness hatte es so sehr gewollt, dass sie den Verstand verloren hatte.}",translate,translated,displayed-string:fc-repair,00ef5ed61cfa81428092ac348087e6f00ad0478a64792691c0df07bf3698bf34
22c2e81aa570a6ecf84de66a,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_a_boukenrt_bbb_d099_m010_010.mbe/000_Sheet1.csv,7,4,string 4,"{fc(57e4f1)When Eito learned the truth, it had destroyed him. And V'ehxness had wanted it so badly that she'd lost her mind.}","{fc(57e4f1)Als Eito die Wahrheit erfuhr, hatte sie ihn zerstört, und V'ehxness hatte es so sehr gewollt, dass sie den Verstand verloren hatte.}",translate,translated,displayed-string:fc-repair,00ef5ed61cfa81428092ac348087e6f00ad0478a64792691c0df07bf3698bf34
43d59fa041bd6c2b1906ac64,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_a_boukenrt_bbb_d099_m010_010.mbe/000_Sheet1.csv,8,2,string 2,{fc(57e4f1)We wouldn't let that happen to us. Our hundred days here would end with our unanswered questions staying unanswered.},"{fc(57e4f1)Unsere hundert Tage hier würden mit unseren unbeantworteten Fragen enden, die unbeantwortet bleiben.}",translate,translated,displayed-string:fc-repair,09657f03e93af74d3445f2d1b0ca6a7151cec9027b760c3b94b342e042b80900
cd7def36d603291538f02bd6,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_a_boukenrt_bbb_d099_m010_010.mbe/000_Sheet1.csv,8,4,string 4,{fc(57e4f1)We wouldn't let that happen to us. Our hundred days here would end with our unanswered questions staying unanswered.},"{fc(57e4f1)Unsere hundert Tage hier würden mit unseren unbeantworteten Fragen enden, die unbeantwortet bleiben.}",translate,translated,displayed-string:fc-repair,09657f03e93af74d3445f2d1b0ca6a7151cec9027b760c3b94b342e042b80900
953a8f16f9af796a4de1fde5,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_a_boukenrt_bbb_d099_m010_010.mbe/000_Sheet1.csv,9,2,string 2,"{fc(57e4f1)The significance of the Undying Flames, the true purpose of Last Defense Academy... It would all remain a mystery.}","{fc(57e4f1)Die Bedeutung der Unsterblichen Flammen, der wahre Zweck der Last Defense Academy... Es wäre alles ein Geheimnis bleiben.}",translate,translated,displayed-string:fc-repair,82b82eef5d8195f20582b746951b6554f5b745cab6e3c62dd649dfa59983d640
e8c768f36ba4acba80755379,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_a_boukenrt_bbb_d099_m010_010.mbe/000_Sheet1.csv,9,4,string 4,"{fc(57e4f1)The significance of the Undying Flames, the true purpose of Last Defense Academy... It would all remain a mystery.}","{fc(57e4f1)Die Bedeutung der Unsterblichen Flammen, der wahre Zweck der Last Defense Academy... Es wäre alles ein Geheimnis bleiben.}",translate,translated,displayed-string:fc-repair,82b82eef5d8195f20582b746951b6554f5b745cab6e3c62dd649dfa59983d640
0fb3e179e53fce0f16b5b5b2,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_a_boukenrt_bbb_d099_m010_010.mbe/000_Sheet1.csv,10,2,string 2,{fc(57e4f1)The truth was going up in smoke before our eyes.},{fc(57e4f1)Die Wahrheit ging vor unseren Augen in Rauch auf.},translate,translated,displayed-string:fc-repair,28fa58a0e48e6137cb847ebda2fbe1f4f254cc94325fec331de832c518289f6d
e9f494c6f2a137528ecc0dbb,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_a_boukenrt_bbb_d099_m010_010.mbe/000_Sheet1.csv,10,4,string 4,{fc(57e4f1)The truth was going up in smoke before our eyes.},{fc(57e4f1)Die Wahrheit ging vor unseren Augen in Rauch auf.},translate,translated,displayed-string:fc-repair,28fa58a0e48e6137cb847ebda2fbe1f4f254cc94325fec331de832c518289f6d
ab9cfcef9ffcc96990fe7eb8,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_a_boukenrt_bbb_d099_m010_010.mbe/000_Sheet1.csv,11,2,string 2,"{fc(57e4f1)Something had been guiding us all this time, dictating our actions from the very start... But knowing too much about it could be dangerous.}","{fc(57e4f1)Etwas hatte uns die ganze Zeit geführt und von Anfang an unsere Handlungen diktiert, aber zu viel darüber zu wissen, könnte gefährlich sein.}",translate,translated,displayed-string:fc-repair,3e30a42144ff232e8ae6e3096b1eef81d6cf79d91a5e7cbbb084579aee1c4747
