cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
abe08786513d8d9dce6f6794,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_bab_d098_m020_010.mbe/000_Sheet1.csv,1,2,string 2,{fc(57e4f1)I found Kako-G right away. She was running full tilt toward the end of the street.},"{fc(57e4f1)Ich fand Kako-G sofort, sie lief mit voller Neigung zum Ende der Straße.}",translate,translated,displayed-string:fc-repair,9ee67fc069890baad806e9600d407712a0ce3023b601f3101a2516a2a72dae02
42dec0378f75bd3fdc95fa57,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_bab_d098_m020_010.mbe/000_Sheet1.csv,1,4,string 4,{fc(57e4f1)I found Kako-G right away. She was running full tilt toward the end of the street.},"{fc(57e4f1)Ich fand Kako-G sofort, sie lief mit voller Neigung zum Ende der Straße.}",translate,translated,displayed-string:fc-repair,9ee67fc069890baad806e9600d407712a0ce3023b601f3101a2516a2a72dae02
7fa847d44018e90f40fdca07,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_bab_d098_m020_010.mbe/000_Sheet1.csv,2,2,string 2,You won't get away from me!,Du wirst mir nicht entkommen!,translate,translated,displayed-string,eb642aa822ae3935a4f8523b6bc36df3421300ce52efcdd7e49d71c4b2b300da
f271bd9df6dd2e0e440ffa4e,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_bab_d098_m020_010.mbe/000_Sheet1.csv,2,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
0a9a4536e68f73aab548b561,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_bab_d098_m020_010.mbe/000_Sheet1.csv,2,4,string 4,You won't get away from me!,Du wirst mir nicht entkommen!,translate,translated,displayed-string,eb642aa822ae3935a4f8523b6bc36df3421300ce52efcdd7e49d71c4b2b300da
b07dbdd7656a0947c48d7b45,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_bab_d098_m020_010.mbe/000_Sheet1.csv,3,2,string 2,{fc(57e4f1)My steps sprung off the ground as I swiftly started to chase after Kako-G.},"{fc(57e4f1)Meine Schritte sprangen vom Boden, als ich schnell begann, Kako-G nachzujagen.}",translate,translated,displayed-string:fc-repair,224424be48a3d69f6047f6a64cdcb6fdbf5bcd93bfba6712c27d7148950e5bd8
337c85dda3c3441018bddaca,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_bab_d098_m020_010.mbe/000_Sheet1.csv,3,4,string 4,{fc(57e4f1)My steps sprung off the ground as I swiftly started to chase after Kako-G.},"{fc(57e4f1)Meine Schritte sprangen vom Boden, als ich schnell begann, Kako-G nachzujagen.}",translate,translated,displayed-string:fc-repair,224424be48a3d69f6047f6a64cdcb6fdbf5bcd93bfba6712c27d7148950e5bd8
6478fdfebe9721a89e837367,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_bab_d098_m020_010.mbe/000_Sheet1.csv,4,2,string 2,"{fc(57e4f1)Maybe it was the adrenaline, but the pain in my body was fading. I could do this. I could catch her!}","{fc(57e4f1)Vielleicht war es das Adrenalin, aber der Schmerz in meinem Körper verblasste. Ich konnte das tun. Ich konnte sie fangen!}",translate,translated,displayed-string:fc-repair,5b9dc89710aa672c580cf3cfb4f994f9e0df2b357f793e4c4c72b44ee3287cfb
140eb82907adc793eb1c0f7a,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_bab_d098_m020_010.mbe/000_Sheet1.csv,4,4,string 4,"{fc(57e4f1)Maybe it was the adrenaline, but the pain in my body was fading. I could do this. I could catch her!}","{fc(57e4f1)Vielleicht war es das Adrenalin, aber der Schmerz in meinem Körper verblasste. Ich konnte das tun. Ich konnte sie fangen!}",translate,translated,displayed-string:fc-repair,5b9dc89710aa672c580cf3cfb4f994f9e0df2b357f793e4c4c72b44ee3287cfb
b08b9263d8fcbc8df341eb5a,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_bab_d098_m020_010.mbe/000_Sheet1.csv,5,2,string 2,{fc(57e4f1)I was gradually closing the distance between us as I ran.},"{fc(57e4f1)Ich schloss allmählich die Distanz zwischen uns, als ich rannte.}",translate,translated,displayed-string:fc-repair,a2daa4afca9c892623396ea66ec65c27c2addbcefbf2e886346b6d4885e0938b
727e571383a78254fafbcc76,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_bab_d098_m020_010.mbe/000_Sheet1.csv,5,4,string 4,{fc(57e4f1)I was gradually closing the distance between us as I ran.},"{fc(57e4f1)Ich schloss allmählich die Distanz zwischen uns, als ich rannte.}",translate,translated,displayed-string:fc-repair,a2daa4afca9c892623396ea66ec65c27c2addbcefbf2e886346b6d4885e0938b
997148f9686ef10b1c89aa87,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_bab_d098_m020_010.mbe/000_Sheet1.csv,6,2,string 2,{fc(57e4f1)Just a little more! I can almost reach out and touch her! I'm not letting her get away...!},{fc(57e4f1)Ich kann sie fast anfassen und nicht davonkommen lassen.},translate,translated,displayed-string:fc-repair,a2f781b53ebd327f24a452749e5b21f1fa6cf24e36a74ee94e164b492bfeb882
593c0d3d463dedc696c16f45,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_bab_d098_m020_010.mbe/000_Sheet1.csv,6,4,string 4,{fc(57e4f1)Just a little more! I can almost reach out and touch her! I'm not letting her get away...!},{fc(57e4f1)Ich kann sie fast anfassen und nicht davonkommen lassen.},translate,translated,displayed-string:fc-repair,a2f781b53ebd327f24a452749e5b21f1fa6cf24e36a74ee94e164b492bfeb882
3a44f974ba39b054aafb0b3e,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_bab_d098_m020_010.mbe/000_Sheet1.csv,7,2,string 2,"{fc(57e4f1)I felt like if I lost her now, it would all be over. I'd never find her again.}","{fc(57e4f1)Ich hatte das Gefühl, wenn ich sie jetzt verliere, wäre alles vorbei, ich würde sie nie wieder finden.}",translate,translated,displayed-string:fc-repair,62b632948b9e30a29601c571d100478794d0f669fe07c40e163cc25fe15866d0
56ba6cd124049ce8c8ac8e41,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_bab_d098_m020_010.mbe/000_Sheet1.csv,7,4,string 4,"{fc(57e4f1)I felt like if I lost her now, it would all be over. I'd never find her again.}","{fc(57e4f1)Ich hatte das Gefühl, wenn ich sie jetzt verliere, wäre alles vorbei, ich würde sie nie wieder finden.}",translate,translated,displayed-string:fc-repair,62b632948b9e30a29601c571d100478794d0f669fe07c40e163cc25fe15866d0
5e8862a1a27369b2b4775a39,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_bab_d098_m020_010.mbe/000_Sheet1.csv,8,2,string 2,{fc(57e4f1)My body was almost reaching its limit. The pain was coming back. Every cell in my body was screaming for oxygen.},{fc(57e4f1)Mein Körper erreichte fast seine Grenze. Der Schmerz kam zurück. Jede Zelle in meinem Körper schrie nach Sauerstoff.},translate,translated,displayed-string:fc-repair,1f72d0d2f976402da716c1656b0851cd0c8807b88454a581af08c143090e9dd0
86eb09caa38824154a4ed0d2,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_bab_d098_m020_010.mbe/000_Sheet1.csv,8,4,string 4,{fc(57e4f1)My body was almost reaching its limit. The pain was coming back. Every cell in my body was screaming for oxygen.},{fc(57e4f1)Mein Körper erreichte fast seine Grenze. Der Schmerz kam zurück. Jede Zelle in meinem Körper schrie nach Sauerstoff.},translate,translated,displayed-string:fc-repair,1f72d0d2f976402da716c1656b0851cd0c8807b88454a581af08c143090e9dd0
ad8fc86b0fa10f78f69a4505,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_bab_d098_m020_010.mbe/000_Sheet1.csv,9,2,string 2,{fc(57e4f1)But I couldn't stop.},{fc(57e4f1)Aber ich konnte nicht aufhören.},translate,translated,displayed-string:fc-repair,993d572efb260291104875c9c5e70df00db27013539da3a013ca2b9cbbcec9eb
98beffca242ec4389c152069,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_bab_d098_m020_010.mbe/000_Sheet1.csv,9,4,string 4,{fc(57e4f1)But I couldn't stop.},{fc(57e4f1)Aber ich konnte nicht aufhören.},translate,translated,displayed-string:fc-repair,993d572efb260291104875c9c5e70df00db27013539da3a013ca2b9cbbcec9eb
833915bb999cda4f140955d8,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_bab_d098_m020_010.mbe/000_Sheet1.csv,10,2,string 2,{fc(57e4f1)I summoned all my remaining strength.},{fc(57e4f1)Ich rief alle meine verbliebene Kraft herbei.},translate,translated,displayed-string:fc-repair,f423654cd97bcd9d556120be5ed8c6f9cd7bcc5615ec621447789882ac372220
