cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
d1f26e6d86c7a85918b199df,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/k_chr010sho_02.mbe/000_Sheet1.csv,1,2,string 2,"Takumi, you actually want to talk to a useless piece of muck like me again?","Takumi, willst du wirklich wieder mit einem nutzlosen Stück Dreck wie mir reden?",translate,translated,displayed-string,052e75a76cd49ce8c463afbd9a9a23be3ebc2a5be0d765862256e23629d15e91
04ecfa788248f96dd5b865f4,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/k_chr010sho_02.mbe/000_Sheet1.csv,1,3,string2 3,k_chr010SHO_02_0010,k_chr010SHO_02_0010,protected,protected,resource-or-id,959f1a0360a2b712b5fa316f9bfa0f8ad49ffcc2ff0574aa2d7275b073863cfd
5097c86f4dcb634294e04cf9,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/k_chr010sho_02.mbe/000_Sheet1.csv,1,4,string 4,"Takumi, you actually want to talk to a useless piece of muck like me again?","Takumi, willst du wirklich wieder mit einem nutzlosen Stück Dreck wie mir reden?",translate,translated,displayed-string,052e75a76cd49ce8c463afbd9a9a23be3ebc2a5be0d765862256e23629d15e91
9ea16826ba5b569b79d12dd6,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/k_chr010sho_02.mbe/000_Sheet1.csv,2,2,string 2,That's so nice of you... Nobody's ever paid me this much attention before!,Das ist so nett von dir... dass mir noch nie jemand so viel Aufmerksamkeit geschenkt hat!,translate,translated,displayed-string,5e1ccdd834bd6a0032ad3ba492dba1d09082489394836b3c7bee5f9f14e58550
f0c99fe576ede5a202a2b975,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/k_chr010sho_02.mbe/000_Sheet1.csv,2,3,string2 3,k_chr010SHO_02_0020,k_chr010SHO_02_0020,protected,protected,resource-or-id,0c68446bbbfe34df3aa5eb3a1f0b039b8d6bce9db16481990a9cf6279222703c
118300192cb93ee01d6195f3,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/k_chr010sho_02.mbe/000_Sheet1.csv,2,4,string 4,That's so nice of you... Nobody's ever paid me this much attention before!,Das ist so nett von dir... dass mir noch nie jemand so viel Aufmerksamkeit geschenkt hat!,translate,translated,displayed-string,5e1ccdd834bd6a0032ad3ba492dba1d09082489394836b3c7bee5f9f14e58550
de9f301d710bda5ce1cfa5da,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/k_chr010sho_02.mbe/000_Sheet1.csv,3,2,string 2,My parents and teachers pretend I don't exist. My dog Leo is the only one in my life willing to look me in the eye.,"Meine Eltern und Lehrer tun so, als gäbe es mich nicht. Mein Hund Leo ist der Einzige in meinem Leben, der mir in die Augen sehen will.",translate,translated,displayed-string,da35ecf7c7e16be160633b395d8c2a9e60c6b36be3d3a6c785a9943e0f1529c3
608d02264d3d5cd59e5b5f22,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/k_chr010sho_02.mbe/000_Sheet1.csv,3,3,string2 3,k_chr010SHO_02_0030,k_chr010SHO_02_0030,protected,protected,resource-or-id,9fa615eeab14c746c8272c7c88fa197d77e3fef029cefc3d06b58ddb951139e3
f10e4ddfe83284e7fa82defa,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/k_chr010sho_02.mbe/000_Sheet1.csv,3,4,string 4,My parents and teachers pretend I don't exist. My dog Leo is the only one in my life willing to look me in the eye.,"Meine Eltern und Lehrer tun so, als gäbe es mich nicht. Mein Hund Leo ist der Einzige in meinem Leben, der mir in die Augen sehen will.",translate,translated,displayed-string,da35ecf7c7e16be160633b395d8c2a9e60c6b36be3d3a6c785a9943e0f1529c3
8f0750d34054dd2bdfd1349d,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/k_chr010sho_02.mbe/000_Sheet1.csv,4,2,string 2,"Leo always makes me laugh. When we go on walks together, he runs away at top speed the moment I relax his leash.","Leo bringt mich immer zum Lachen. Wenn wir zusammen spazieren gehen, läuft er mit Höchstgeschwindigkeit davon, wenn ich seine Leine entspanne.",translate,translated,displayed-string,638bc111623bbad4c72495fe77993c7ccf2b1b9746dbea07cab6e615f0cce5ab
