cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
9ea7ebc0945d955aecf281f8,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/g_chr009kako_02.mbe/000_Sheet1.csv,1,2,string 2,"I'd really like to gamble at a casino like this, just once.","Ich würde gerne in so einem Casino spielen, nur einmal.",translate,translated,displayed-string,477836f25207cbd93a23a86faec3627d03f829d5822302b3698ec0b6077a0af5
1335560380d9ed74e99a6099,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/g_chr009kako_02.mbe/000_Sheet1.csv,1,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
a46dfeff36949c25908b5538,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/g_chr009kako_02.mbe/000_Sheet1.csv,1,4,string 4,"I'd really like to gamble at a casino like this, just once.","Ich würde gerne in so einem Casino spielen, nur einmal.",translate,translated,displayed-string,477836f25207cbd93a23a86faec3627d03f829d5822302b3698ec0b6077a0af5
74e12a47685740a52bdb96e1,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/g_chr009kako_02.mbe/000_Sheet1.csv,2,2,string 2,"Hehe, it makes me feel like a celebrity!","Hehe, ich fühle mich wie eine Berühmtheit!",translate,translated,displayed-string,cedead1f802328a025ba43519c8ad757c247bffdc79b5887ff66fc040ca5645b
6cae3f5d2c95213aea3d127d,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/g_chr009kako_02.mbe/000_Sheet1.csv,2,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
c7b392dc8cad7bb97d3931d3,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/g_chr009kako_02.mbe/000_Sheet1.csv,2,4,string 4,"Hehe, it makes me feel like a celebrity!","Hehe, ich fühle mich wie eine Berühmtheit!",translate,translated,displayed-string,cedead1f802328a025ba43519c8ad757c247bffdc79b5887ff66fc040ca5645b
c8357a7a89dee150da4c5d1c,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/g_chr009kako_02.mbe/000_Sheet1.csv,3,2,string 2,"Okay, Takumi... You're going to leave here flat broke!","Okay, Takumi, du wirst hier pleite gehen!",translate,translated,displayed-string,95808fdda390eb64fbeb50ba5a02d6c5670dec8e9e5c234be5d2d9ac26d8e735
c9435f6eb3097f067524286e,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/g_chr009kako_02.mbe/000_Sheet1.csv,3,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
cc9065d25dcc2f570101902b,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/g_chr009kako_02.mbe/000_Sheet1.csv,3,4,string 4,"Okay, Takumi... You're going to leave here flat broke!","Okay, Takumi, du wirst hier pleite gehen!",translate,translated,displayed-string,95808fdda390eb64fbeb50ba5a02d6c5670dec8e9e5c234be5d2d9ac26d8e735
c3c6f29f6930525fb004313b,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/g_chr009kako_02.mbe/000_Sheet1.csv,4,2,string 2,I don't want to be broke... I don't have any money in the first place.,"Ich will nicht pleite sein, ich habe überhaupt kein Geld.",translate,translated,displayed-string,400a4d0df42d6477cbbb126a33c618597a5989c081a6d30a595ab0305bd85f0e
0948ba2e29874c204900efb1,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/g_chr009kako_02.mbe/000_Sheet1.csv,4,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
b2aec401f34dd498cb967040,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/g_chr009kako_02.mbe/000_Sheet1.csv,4,4,string 4,I don't want to be broke... I don't have any money in the first place.,"Ich will nicht pleite sein, ich habe überhaupt kein Geld.",translate,translated,displayed-string,400a4d0df42d6477cbbb126a33c618597a5989c081a6d30a595ab0305bd85f0e
c238a05b814b66b2f0d968c6,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/g_chr009kako_02.mbe/000_Sheet1.csv,5,2,string 2,Ohohoho! Are you ready to face me?!,"Ohohoho! Bist du bereit, mich zu sehen?!",translate,translated,displayed-string,28e41140d8edcb875a272e068805070987979ae66bfc03020baf68b73be1506b
a22789d5583dbc84f8f2f2a7,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/g_chr009kako_02.mbe/000_Sheet1.csv,5,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
375e5a3b6b2db0aa290eea40,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/g_chr009kako_02.mbe/000_Sheet1.csv,5,4,string 4,Ohohoho! Are you ready to face me?!,"Ohohoho! Bist du bereit, mich zu sehen?!",translate,translated,displayed-string,28e41140d8edcb875a272e068805070987979ae66bfc03020baf68b73be1506b
ba825cbb360eda06154c9ced,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/g_chr009kako_02.mbe/000_Sheet1.csv,6,2,string 2,Wh-What kind of laugh is that?!,Was für ein Lachen ist das?!,translate,translated,displayed-string,5584e48d1f0138609cb2f6f60e6d441302c19146c78a991f7a48bb21ed058356
4f2b0b3fa52eb0df86915cc9,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/g_chr009kako_02.mbe/000_Sheet1.csv,6,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
3b9549cafaded60d7f41960b,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/g_chr009kako_02.mbe/000_Sheet1.csv,6,4,string 4,Wh-What kind of laugh is that?!,Was für ein Lachen ist das?!,translate,translated,displayed-string,5584e48d1f0138609cb2f6f60e6d441302c19146c78a991f7a48bb21ed058356
