cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
c37510f27d7605f5b7deaff7,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s05_0_ninshiki_00_d057_m020_010.mbe/000_Sheet1.csv,1,2,string 2,*huff...* *huff...*,* huff... * * huff... * * huff... * huff... * huff... *,translate,translated,displayed-string,169f433c3deefc9b27f1f487f7f76c4b82dd16706bbc5f68a6a14f8f48274509
10b02a29152b20cba2e7e3f7,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s05_0_ninshiki_00_d057_m020_010.mbe/000_Sheet1.csv,1,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
13afbc52914da01e714d5971,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s05_0_ninshiki_00_d057_m020_010.mbe/000_Sheet1.csv,1,4,string 4,*huff...* *huff...*,* huff... * * huff... * * huff... * huff... * huff... *,translate,translated,displayed-string,169f433c3deefc9b27f1f487f7f76c4b82dd16706bbc5f68a6a14f8f48274509
ef8b55848929362c68adda9f,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s05_0_ninshiki_00_d057_m020_010.mbe/000_Sheet1.csv,2,2,string 2,{fc(57e4f1)*thunk*},{fc(57e4f1)*Betrunken*},translate,translated,displayed-string:fc-repair,08496705d28346229bf2cca2bfcbc8c59595db851936fa002038bd4087bf1dac
d7d9b7af8742f32153338b34,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s05_0_ninshiki_00_d057_m020_010.mbe/000_Sheet1.csv,2,4,string 4,{fc(57e4f1)*thunk*},{fc(57e4f1)*Betrunken*},translate,translated,displayed-string:fc-repair,08496705d28346229bf2cca2bfcbc8c59595db851936fa002038bd4087bf1dac
19921629f2aa3855479d3089,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s05_0_ninshiki_00_d057_m020_010.mbe/000_Sheet1.csv,3,2,string 2,Nrgh...!,Nein!,translate,translated,displayed-string,4360a8b582c2dcb1c3711518ef7015af2b8669d485eff39b38f5cb10f6069650
61b4d4998057d309252c654a,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s05_0_ninshiki_00_d057_m020_010.mbe/000_Sheet1.csv,3,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
d81c26ce7e8422aae1870b96,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s05_0_ninshiki_00_d057_m020_010.mbe/000_Sheet1.csv,3,4,string 4,Nrgh...!,Nein!,translate,translated,displayed-string,4360a8b582c2dcb1c3711518ef7015af2b8669d485eff39b38f5cb10f6069650
9a23cb94af6f2d776179023e,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s05_0_ninshiki_00_d057_m020_010.mbe/000_Sheet1.csv,4,2,string 2,"Takumi, are you okay?","Takumi, alles in Ordnung?",translate,translated,displayed-string,be3db23405300e871425277c95b0920d9888286608a7a8362d56235a0f4aa860
6856aa79f266320b5dd49e35,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s05_0_ninshiki_00_d057_m020_010.mbe/000_Sheet1.csv,4,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
