cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
f06f25d8a80ce1abe934fac0,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_a_splatter_baa_d100_m020_010.mbe/000_Sheet1.csv,1,2,string 2,Gieee... Growr...,"Gieee, Großer...",translate,translated,displayed-string,a730543659f2afff448c597cf23b035fb5e07c0c46a4aeb700242f60386b1e53
131cb3c3c8fba12560bcea57,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_a_splatter_baa_d100_m020_010.mbe/000_Sheet1.csv,1,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
efc90c48541029da421aa46f,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_a_splatter_baa_d100_m020_010.mbe/000_Sheet1.csv,1,4,string 4,Gieee... Growr...,"Gieee, Großer...",translate,translated,displayed-string,a730543659f2afff448c597cf23b035fb5e07c0c46a4aeb700242f60386b1e53
20258cdfd532b0e359d79a4b,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_a_splatter_baa_d100_m020_010.mbe/000_Sheet1.csv,2,2,string 2,Vrooh... Groooooh...,Vrooh... Groooooooh...,translate,translated,displayed-string,586819f752c30d36b08ada8bfa4e55c142f6d99c5bcd3610255816e6602a2f5b
9c64c4bf78c783fb6272c5df,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_a_splatter_baa_d100_m020_010.mbe/000_Sheet1.csv,2,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
75eecc402f9eaecd793aaa71,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_a_splatter_baa_d100_m020_010.mbe/000_Sheet1.csv,2,4,string 4,Vrooh... Groooooh...,Vrooh... Groooooooh...,translate,translated,displayed-string,586819f752c30d36b08ada8bfa4e55c142f6d99c5bcd3610255816e6602a2f5b
294829f9d09fe20e23c5feee,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_a_splatter_baa_d100_m020_010.mbe/000_Sheet1.csv,3,2,string 2,Eek! Eeeeek... Stop it already!,"Eek, Eeeeek, hör schon auf!",translate,translated,displayed-string,7ecad6aa83cba642fc802e7c6873fb3e3e3a8a739e7b8547258dbbe79b70a689
84127214b124132d7d476971,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_a_splatter_baa_d100_m020_010.mbe/000_Sheet1.csv,3,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
47204f3a63c98653cb2153dc,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_a_splatter_baa_d100_m020_010.mbe/000_Sheet1.csv,3,4,string 4,Eek! Eeeeek... Stop it already!,"Eek, Eeeeek, hör schon auf!",translate,translated,displayed-string,7ecad6aa83cba642fc802e7c6873fb3e3e3a8a739e7b8547258dbbe79b70a689
05173e7d813008074af93d61,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_a_splatter_baa_d100_m020_010.mbe/000_Sheet1.csv,4,2,string 2,{fc(57e4f1)I must... Kurara... I must...I want...},{fc(57e4f1)Ich muss... Kurara... ich muss... ich will...},translate,translated,displayed-string:fc-repair,e9f6b23e29721a8f84ddbf95bda38ec1fa830f3e2a10af994b07642967c85c26
