cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
59245137f6cc84baa3f6d441,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/k_chr016iva_02.mbe/000_Sheet1.csv,1,2,string 2,Is there anything you would like me to do? I only wish to serve.,"Möchtest du, dass ich dir diene?",translate,translated,displayed-string,bb1b228b045cefc01221f194dd1ad5e65c4dacc7910052a8ea653cbff7ef2586
b28a26fc85d8711c54080b48,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/k_chr016iva_02.mbe/000_Sheet1.csv,1,3,string2 3,k_chr016IVA_02_0010,k_chr016IVA_02_0010,protected,protected,resource-or-id,5894bfb7612d22056cbb8292c70678be72197e776c848754f2847773c39ff4bb
8b0f31a5cd214d49079286f4,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/k_chr016iva_02.mbe/000_Sheet1.csv,1,4,string 4,Is there anything you would like me to do? I only wish to serve.,"Möchtest du, dass ich dir diene?",translate,translated,displayed-string,bb1b228b045cefc01221f194dd1ad5e65c4dacc7910052a8ea653cbff7ef2586
7fadbcc57b07898df67082cd,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/k_chr016iva_02.mbe/000_Sheet1.csv,2,2,string 2,I can help with any task you may want to complete. I've helped Miss Kawana with her machines before...,"Ich habe Miss Kawana mit ihren Maschinen geholfen, bevor...",translate,translated,displayed-string,54dfdead86ceff06de9223a5d36ec9d829f3110881b0cc4b76c1a2cc87d495e8
0bc5358d620de856723c8771,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/k_chr016iva_02.mbe/000_Sheet1.csv,2,3,string2 3,k_chr016IVA_02_0020,k_chr016IVA_02_0020,protected,protected,resource-or-id,edeecfa2752abf36840645ead0c4c5c39ebf23f1f7cdf52af3086c7b034748a1
8b5542531ed046f6ca94cd18,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/k_chr016iva_02.mbe/000_Sheet1.csv,2,4,string 4,I can help with any task you may want to complete. I've helped Miss Kawana with her machines before...,"Ich habe Miss Kawana mit ihren Maschinen geholfen, bevor...",translate,translated,displayed-string,54dfdead86ceff06de9223a5d36ec9d829f3110881b0cc4b76c1a2cc87d495e8
a090135f3ea82ecda93a2558,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/k_chr016iva_02.mbe/000_Sheet1.csv,3,2,string 2,It surprised me that I could do what she asked. Perhaps it was just muscle memory.,"Es überraschte mich, dass ich tun konnte, was sie verlangte. Vielleicht war es nur Muskelgedächtnis.",translate,translated,displayed-string,e75409330b0fba4603f9c2b71f8113483e15b5ab0ddefd96b07c581da9b2bd85
e361c99b1f354f2802067b1b,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/k_chr016iva_02.mbe/000_Sheet1.csv,3,3,string2 3,k_chr016IVA_02_0030,k_chr016IVA_02_0030,protected,protected,resource-or-id,cfa1c6bd1653959b1b81a0c8cf63f9d8b3b084f51e19f7e0344868d705c2023a
5d4c93d8cc29daa6655f418d,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/k_chr016iva_02.mbe/000_Sheet1.csv,3,4,string 4,It surprised me that I could do what she asked. Perhaps it was just muscle memory.,"Es überraschte mich, dass ich tun konnte, was sie verlangte. Vielleicht war es nur Muskelgedächtnis.",translate,translated,displayed-string,e75409330b0fba4603f9c2b71f8113483e15b5ab0ddefd96b07c581da9b2bd85
6473ae22883403da5579f133,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/k_chr016iva_02.mbe/000_Sheet1.csv,4,2,string 2,"I have also been helping some of the others out when they asked for it, sometimes after dark.","Ich habe auch einigen der anderen geholfen, wenn sie darum gebeten haben, manchmal nach Einbruch der Dunkelheit.",translate,translated,displayed-string,b0ac28dba96d9dff764abdc5a5f796d29f45e9e41aa3853ac9c5a2ab0fd2be74
6240318ee742e74e215f5afe,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/k_chr016iva_02.mbe/000_Sheet1.csv,4,3,string2 3,k_chr016IVA_02_0040,k_chr016IVA_02_0040,protected,protected,resource-or-id,85dd6a5cff1f3a9da61429ca498cb5cd63f468916447e72934af77e972175e9a
b054eb813b3985429fc092f2,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/k_chr016iva_02.mbe/000_Sheet1.csv,4,4,string 4,"I have also been helping some of the others out when they asked for it, sometimes after dark.","Ich habe auch einigen der anderen geholfen, wenn sie darum gebeten haben, manchmal nach Einbruch der Dunkelheit.",translate,translated,displayed-string,b0ac28dba96d9dff764abdc5a5f796d29f45e9e41aa3853ac9c5a2ab0fd2be74
6e6814c7015fae4a847587ca,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/k_chr016iva_02.mbe/000_Sheet1.csv,5,2,string 2,"Who did I help? I'm sorry, but I cannot say. I was ordered to keep it a secret.","Es tut mir leid, aber ich kann nicht sagen, dass man mir befohlen hat, es geheim zu halten.",translate,translated,displayed-string,2d6c4f96d5726b81f6d07f65a1ebc1275b07403fb11d284d9a259b3025c2293a
dea6e29493d8fd3b3996f14c,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/k_chr016iva_02.mbe/000_Sheet1.csv,5,3,string2 3,k_chr016IVA_02_0050,k_chr016IVA_02_0050,protected,protected,resource-or-id,59daa3d7ef8a225f64c1fdc5e5735acd3270b4cff99b0376f4b6467f8e7df6e3
5d93bb07d87865aceabfc579,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/k_chr016iva_02.mbe/000_Sheet1.csv,5,4,string 4,"Who did I help? I'm sorry, but I cannot say. I was ordered to keep it a secret.","Es tut mir leid, aber ich kann nicht sagen, dass man mir befohlen hat, es geheim zu halten.",translate,translated,displayed-string,2d6c4f96d5726b81f6d07f65a1ebc1275b07403fb11d284d9a259b3025c2293a
e8446355fb8f65c2c9462869,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/k_chr016iva_02.mbe/000_Sheet1.csv,6,2,string 2,"I'm just glad to be useful. As your possession, it is only right that everyone makes use of me.","Als dein Besitz ist es nur richtig, dass jeder von mir Gebrauch macht.",translate,translated,displayed-string,8568710c47a786295164895115af7df1c2b10cbd065a8e4f8e43b8c126242046
2b865c5ace36ed988dc50010,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/k_chr016iva_02.mbe/000_Sheet1.csv,6,3,string2 3,k_chr016IVA_02_0060,k_chr016IVA_02_0060,protected,protected,resource-or-id,6e457412013bd13fb350264f0f1cbc1e5496431d4f3a51ded9b1ac77b9a6eb21
b57794f2e40c0126af6c4607,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/k_chr016iva_02.mbe/000_Sheet1.csv,6,4,string 4,"I'm just glad to be useful. As your possession, it is only right that everyone makes use of me.","Als dein Besitz ist es nur richtig, dass jeder von mir Gebrauch macht.",translate,translated,displayed-string,8568710c47a786295164895115af7df1c2b10cbd065a8e4f8e43b8c126242046
