cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
dbc58db3cbc686fa402a6354,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/k_chr008ima_03.mbe/000_Sheet1.csv,1,2,string 2,"Do you have some time to spare, Mr. Sumino? Then allow me to tell you about the job that's left the deepest impression on me.","Haben Sie etwas Zeit, Mr. Sumino, dann lassen Sie mich Ihnen von dem Job erzählen, der mir den tiefsten Eindruck hinterlassen hat.",translate,translated,displayed-string,065acf5cb460ea05c1843a9bf2e4455ae6d3e6c9528bcaf754eb53fffb47d3c4
7dbbb71431d6009d3fb017cc,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/k_chr008ima_03.mbe/000_Sheet1.csv,1,3,string2 3,k_chr008IMA_03_0010,k_chr008IMA_03_0010,protected,protected,resource-or-id,9e1077e6d839053ab20f658fef63e0b24df17e48427ad725da99b7e8ed396a73
bbe9ea1edf45adbda714ff9c,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/k_chr008ima_03.mbe/000_Sheet1.csv,1,4,string 4,"Do you have some time to spare, Mr. Sumino? Then allow me to tell you about the job that's left the deepest impression on me.","Haben Sie etwas Zeit, Mr. Sumino, dann lassen Sie mich Ihnen von dem Job erzählen, der mir den tiefsten Eindruck hinterlassen hat.",translate,translated,displayed-string,065acf5cb460ea05c1843a9bf2e4455ae6d3e6c9528bcaf754eb53fffb47d3c4
64aff57f84728aab372d7bbb,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/k_chr008ima_03.mbe/000_Sheet1.csv,2,2,string 2,I was helping a financial firm that gave out black market loans with a ridiculous interest rate of 50% every ten days.,"Ich half einer Finanzfirma, die Schwarzmarktkredite mit einem lächerlichen Zinssatz von 50% every zehn Tage gab.",translate,translated,displayed-string,206728ab5c9ec2cae67e2aefa2a5cb026fa6898c95e06aae9737bcdb530c1d04
a37ea8b5797974c958d4a906,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/k_chr008ima_03.mbe/000_Sheet1.csv,2,3,string2 3,k_chr008IMA_03_0020,k_chr008IMA_03_0020,protected,protected,resource-or-id,ca56d9e5b279a4a0ef1cc3b9c177af171a3aa9dd63452fdf06f412be1e1e3b7b
39297fbce76b03383a32e166,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/k_chr008ima_03.mbe/000_Sheet1.csv,2,4,string 4,I was helping a financial firm that gave out black market loans with a ridiculous interest rate of 50% every ten days.,"Ich half einer Finanzfirma, die Schwarzmarktkredite mit einem lächerlichen Zinssatz von 50% every zehn Tage gab.",translate,translated,displayed-string,206728ab5c9ec2cae67e2aefa2a5cb026fa6898c95e06aae9737bcdb530c1d04
4d097c22b7db2f8fd2eae655,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/k_chr008ima_03.mbe/000_Sheet1.csv,3,2,string 2,"Needless to mention, only the truly desperate would ever approach a company like that.","Unnötig zu erwähnen, nur die wirklich verzweifelt würde jemals eine Firma wie diese nähern.",translate,translated,displayed-string,06f1e491ac04054be0cf489b6becb745f5d250b25c044f67b0d61292197a413c
274bf77c370755e6e57fd9a3,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/k_chr008ima_03.mbe/000_Sheet1.csv,3,3,string2 3,k_chr008IMA_03_0030,k_chr008IMA_03_0030,protected,protected,resource-or-id,b1e4865c6edd7bb7818b42a82ceccd5c0bbdca132a7aec65c6ffcb7d17307db1
d2040fcbc35e317cfd36c50d,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/k_chr008ima_03.mbe/000_Sheet1.csv,3,4,string 4,"Needless to mention, only the truly desperate would ever approach a company like that.","Unnötig zu erwähnen, nur die wirklich verzweifelt würde jemals eine Firma wie diese nähern.",translate,translated,displayed-string,06f1e491ac04054be0cf489b6becb745f5d250b25c044f67b0d61292197a413c
946815c748c4a6fc6d60ff1f,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/k_chr008ima_03.mbe/000_Sheet1.csv,4,2,string 2,"Gambling addicts, host club regulars, branded goods flaunters, and organizers of highly suspicious events, to name but a few.","Spielende Süchtige, Gastgeber Club Stammgäste, Markenwaren Flander, und Organisatoren von höchst verdächtigen Veranstaltungen, um nur einige zu nennen.",translate,translated,displayed-string,28a225d789c988ba673596766bc0a2b0f90a95e06696e1fe61b7ecc74a6fd9d0
7dc6ce33446cb3d91d8834a5,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/k_chr008ima_03.mbe/000_Sheet1.csv,4,3,string2 3,k_chr008IMA_03_0040,k_chr008IMA_03_0040,protected,protected,resource-or-id,54676ffa36f2053f38a393afe78bda9c3d2b7bdbbd7f4c591c4e1b141d743e5b
02c93a941b0e51bb7b5d684b,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/k_chr008ima_03.mbe/000_Sheet1.csv,4,4,string 4,"Gambling addicts, host club regulars, branded goods flaunters, and organizers of highly suspicious events, to name but a few.","Spielende Süchtige, Gastgeber Club Stammgäste, Markenwaren Flander, und Organisatoren von höchst verdächtigen Veranstaltungen, um nur einige zu nennen.",translate,translated,displayed-string,28a225d789c988ba673596766bc0a2b0f90a95e06696e1fe61b7ecc74a6fd9d0
f5d9598ae98af21d988b1c2c,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/k_chr008ima_03.mbe/000_Sheet1.csv,5,2,string 2,The CEO once said this of black market financing...,"Der CEO sagte einmal, dass dies der Schwarzmarktfinanzierung...",translate,translated,displayed-string,c5552a27e49649479c11d1d1468e1fb534ef7507fba3dd6716a8bea33fbe3631
1c06a6bb4ac94a20f6222593,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/k_chr008ima_03.mbe/000_Sheet1.csv,5,3,string2 3,k_chr008IMA_03_0050,k_chr008IMA_03_0050,protected,protected,resource-or-id,e767786563b93f9a46b721cb23eafa2e21027ee39580c38a66077869d95235f9
b678709666f7d4f0df00895d,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/k_chr008ima_03.mbe/000_Sheet1.csv,5,4,string 4,The CEO once said this of black market financing...,"Der CEO sagte einmal, dass dies der Schwarzmarktfinanzierung...",translate,translated,displayed-string,c5552a27e49649479c11d1d1468e1fb534ef7507fba3dd6716a8bea33fbe3631
cf38e961d2a2bec3c89955cb,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/k_chr008ima_03.mbe/000_Sheet1.csv,6,2,string 2,It's an occupation that puts an end to the life of human trash who pretend to be decent members of society.,"Es ist eine Beschäftigung, die dem Leben des menschlichen Mülls ein Ende setzt, der vorgibt, anständige Mitglieder der Gesellschaft zu sein.",translate,translated,displayed-string,aaa13be2a6359e8646e6bd563992e0cf9c66595cee9ccdb76220670cce0f812c
8ff25ce15d397d32cf02c78b,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/k_chr008ima_03.mbe/000_Sheet1.csv,6,3,string2 3,k_chr008IMA_03_0060,k_chr008IMA_03_0060,protected,protected,resource-or-id,7e78de0517536d40649aeda62bcbe1589f0eeb203c2f162a31dd1ee94a6057a5
