cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
981a641cd5d00be0570a9ed6,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s11_0_seisyunr_a0_d055_m010_010.mbe/000_Sheet1.csv,1,2,string 2,Day 55,Tag 55,translate,translated,displayed-string,2382559db642d974ec182add6a02f9b78f8164e96db373aa61866c20c4f02055
e5faaa0854eb3289b348b580,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s11_0_seisyunr_a0_d055_m010_010.mbe/000_Sheet1.csv,1,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
4c55dc48d5151eb53987226c,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s11_0_seisyunr_a0_d055_m010_010.mbe/000_Sheet1.csv,1,4,string 4,Day 55,Tag 55,translate,translated,displayed-string,2382559db642d974ec182add6a02f9b78f8164e96db373aa61866c20c4f02055
6fcdf976988d3ca39f47c045,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s11_0_seisyunr_a0_d055_m010_010.mbe/000_Sheet1.csv,2,2,string 2,"Up and at 'em, troops! Time to rise and shine!","Auf und auf, Truppen! Zeit, aufzustehen und zu glänzen!",translate,translated,displayed-string,a25c468ae6cead94370f7a1723f685616ff807b81f9d328bf37e18e1422265a9
9966ee9f930b4f2ad21d349f,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s11_0_seisyunr_a0_d055_m010_010.mbe/000_Sheet1.csv,2,3,string2 3,s11_0_SeisyunR_A0_d055_m010_010_0030,s11_0_SeisyunR_A0_d055_m010_010_0030,protected,protected,resource-or-id,7af872df3b557553acbbb3443ce87332f7c7638f576a17f7c676ab0c6d54c128
0d319122183123eb38aa0bae,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s11_0_seisyunr_a0_d055_m010_010.mbe/000_Sheet1.csv,2,4,string 4,"Up and at 'em, troops! Time to rise and shine!","Auf und auf, Truppen! Zeit, aufzustehen und zu glänzen!",translate,translated,displayed-string,a25c468ae6cead94370f7a1723f685616ff807b81f9d328bf37e18e1422265a9
eee05f864348eb057c0a5816,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s11_0_seisyunr_a0_d055_m010_010.mbe/000_Sheet1.csv,3,2,string 2,Get ready for your 55th day of active service here at Last Defense Academy!,Machen Sie sich bereit für Ihren 55. Tag aktiven Dienstes hier an der Last Defense Academy!,translate,translated,displayed-string,98994405443dcb42e4e81263bb0f6d9523682d051b8abc05a05fd0fab5e9f198
9f65441a74375fc67a843e1f,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s11_0_seisyunr_a0_d055_m010_010.mbe/000_Sheet1.csv,3,3,string2 3,s11_0_SeisyunR_A0_d055_m010_010_0040,s11_0_SeisyunR_A0_d055_m010_010_0040,protected,protected,resource-or-id,e820b6f2799dc2a01bca868576fc145217de64f3ab83974ff7da24d27bb99f78
ab0971a5fe879ac9bd77f518,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s11_0_seisyunr_a0_d055_m010_010.mbe/000_Sheet1.csv,3,4,string 4,Get ready for your 55th day of active service here at Last Defense Academy!,Machen Sie sich bereit für Ihren 55. Tag aktiven Dienstes hier an der Last Defense Academy!,translate,translated,displayed-string,98994405443dcb42e4e81263bb0f6d9523682d051b8abc05a05fd0fab5e9f198
f9401d411785b956a2c1f9e0,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s11_0_seisyunr_a0_d055_m010_010.mbe/000_Sheet1.csv,4,2,string 2,Prepare to spend another day enduring the unendurable and suffering the insufferable to pave the way for humanity's future greatness!,"Bereiten Sie sich darauf vor, einen weiteren Tag damit zu verbringen, das Unbedenkliche und Leidende zu ertragen, das unauslöschlich ist, um den Weg für die zukünftige Größe der Menschheit zu ebnen!",translate,translated,displayed-string,f0b3fc3b395b0c6e6b9e08fde24cf345fa26411cf1a8c309de332e6d9959973d
25bb85a98a9a2efad6fbed49,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s11_0_seisyunr_a0_d055_m010_010.mbe/000_Sheet1.csv,4,3,string2 3,s11_0_SeisyunR_A0_d055_m010_010_0050,s11_0_SeisyunR_A0_d055_m010_010_0050,protected,protected,resource-or-id,1d0948e521f98013dc166c49669cbbd383a0ca8a81aabf69c67453dae8c6c206
8d8317988ddfa754e9962f90,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s11_0_seisyunr_a0_d055_m010_010.mbe/000_Sheet1.csv,4,4,string 4,Prepare to spend another day enduring the unendurable and suffering the insufferable to pave the way for humanity's future greatness!,"Bereiten Sie sich darauf vor, einen weiteren Tag damit zu verbringen, das Unbedenkliche und Leidende zu ertragen, das unauslöschlich ist, um den Weg für die zukünftige Größe der Menschheit zu ebnen!",translate,translated,displayed-string,f0b3fc3b395b0c6e6b9e08fde24cf345fa26411cf1a8c309de332e6d9959973d
fd2bbcc7b05e2ab77f9ef090,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s11_0_seisyunr_a0_d055_m010_010.mbe/000_Sheet1.csv,5,2,string 2,Be ready to give your lives to protect our beloved school from the vile and barbaric enemy!,"Sei bereit, dein Leben zu geben, um unsere geliebte Schule vor dem widerlichen und barbarischen Feind zu schützen!",translate,translated,displayed-string,93e5f01b83f86de645249424e358f56be70be999706fe6304917ebffdd0728d0
