cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
28f3f49ce073ec3da0afe40b,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_a_boukenrt_baa_d094_m010_010.mbe/000_Sheet1.csv,1,2,string 2,"Be honest with yourself, Shouma. Face your feelings and do what you really wanna do.","Seien Sie ehrlich zu sich, Shouma, stellen Sie sich Ihren Gefühlen und tun Sie, was Sie wirklich wollen.",translate,translated,displayed-string,72b94c791ce14d5d01d68f6cb60232d36988bcde1acc38013cebe1b1e0022cd7
e24af39bcd45efd38f61ea83,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_a_boukenrt_baa_d094_m010_010.mbe/000_Sheet1.csv,1,3,string2 3,s09_A_BoukenRt_Baa_d094_m010_010_0010,s09_A_BoukenRt_Baa_d094_m010_010_0010,protected,protected,resource-or-id,cd9b43af59dda32108c1c7d78c6c79fe6eeec3025f7361da1bae33d0f061b155
9f026b7251fd38b8953e77fe,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_a_boukenrt_baa_d094_m010_010.mbe/000_Sheet1.csv,1,4,string 4,"Be honest with yourself, Shouma. Face your feelings and do what you really wanna do.","Seien Sie ehrlich zu sich, Shouma, stellen Sie sich Ihren Gefühlen und tun Sie, was Sie wirklich wollen.",translate,translated,displayed-string,72b94c791ce14d5d01d68f6cb60232d36988bcde1acc38013cebe1b1e0022cd7
a4a398a7c2a220e48df912bf,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_a_boukenrt_baa_d094_m010_010.mbe/000_Sheet1.csv,2,2,string 2,"Whatever you choose, I'll still be your friend. I'll still support you.","Was auch immer du wählst, ich werde immer noch dein Freund sein.",translate,translated,displayed-string,81d3b36981cfaeeb1b2ff6e7cee52e3857d027152b5aa3f973ae471aa663c9ac
d0ebe8cfa72958343e43bfd8,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_a_boukenrt_baa_d094_m010_010.mbe/000_Sheet1.csv,2,3,string2 3,s09_A_BoukenRt_Baa_d094_m010_010_0020,s09_A_BoukenRt_Baa_d094_m010_010_0020,protected,protected,resource-or-id,5283858992ddef8922cf86f105030b3055e029489a446299d96e79798c1ad4f7
bc7b4a91f15ff01537013366,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_a_boukenrt_baa_d094_m010_010.mbe/000_Sheet1.csv,2,4,string 4,"Whatever you choose, I'll still be your friend. I'll still support you.","Was auch immer du wählst, ich werde immer noch dein Freund sein.",translate,translated,displayed-string,81d3b36981cfaeeb1b2ff6e7cee52e3857d027152b5aa3f973ae471aa663c9ac
c808f1dcb642b763635799c1,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_a_boukenrt_baa_d094_m010_010.mbe/000_Sheet1.csv,3,2,string 2,"Once you've figured it all out, I hope we can get back to exploring this world together.","Sobald du alles herausgefunden hast, hoffe ich, dass wir diese Welt wieder gemeinsam erkunden können.",translate,translated,displayed-string,d53b8044b874086054711333caaa4d88eb6ca44836425886490d284f5d6cb274
44ed9a050c22db9ae7225a91,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_a_boukenrt_baa_d094_m010_010.mbe/000_Sheet1.csv,3,3,string2 3,s09_A_BoukenRt_Baa_d094_m010_010_0030,s09_A_BoukenRt_Baa_d094_m010_010_0030,protected,protected,resource-or-id,2fb907d3d6cafe71b4c6ad0acd293b4f8f8086dc8077bcc97e3117dda195a75b
f51ce333b301708ddcae1937,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_a_boukenrt_baa_d094_m010_010.mbe/000_Sheet1.csv,3,4,string 4,"Once you've figured it all out, I hope we can get back to exploring this world together.","Sobald du alles herausgefunden hast, hoffe ich, dass wir diese Welt wieder gemeinsam erkunden können.",translate,translated,displayed-string,d53b8044b874086054711333caaa4d88eb6ca44836425886490d284f5d6cb274
98b50a4ebf71ee0ca34abc26,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_a_boukenrt_baa_d094_m010_010.mbe/000_Sheet1.csv,4,2,string 2,{fc(57e4f1)I left things there for now. I had a feeling Shouma was going to need some time alone.},"{fc(57e4f1)Ich hatte das Gefühl, Shouma würde etwas Zeit allein brauchen.}",translate,translated,displayed-string:fc-repair,0f11343762d131a8316ecabf79e05d2d6615b61f2438f256fbad82100ef635f3
55e3d85a4f25a131a5d66272,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s09_a_boukenrt_baa_d094_m010_010.mbe/000_Sheet1.csv,4,4,string 4,{fc(57e4f1)I left things there for now. I had a feeling Shouma was going to need some time alone.},"{fc(57e4f1)Ich hatte das Gefühl, Shouma würde etwas Zeit allein brauchen.}",translate,translated,displayed-string:fc-repair,0f11343762d131a8316ecabf79e05d2d6615b61f2438f256fbad82100ef635f3
