cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
8c13ad249bd23949d8023512,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/g_chr010sho_03.mbe/000_Sheet1.csv,1,2,string 2,"Lately, there's been a ghost showing up in the school bathrooms.",In letzter Zeit tauchte ein Geist in den Schulbädern auf.,translate,translated,displayed-string,8368b763657c0b56c98019c36e0d2840dfff85435a3d3e0e7493f00f7380f3c3
ae2a44fee553dd1987857bec,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/g_chr010sho_03.mbe/000_Sheet1.csv,1,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
c9ab8f727232abcdd820c9aa,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/g_chr010sho_03.mbe/000_Sheet1.csv,1,4,string 4,"Lately, there's been a ghost showing up in the school bathrooms.",In letzter Zeit tauchte ein Geist in den Schulbädern auf.,translate,translated,displayed-string,8368b763657c0b56c98019c36e0d2840dfff85435a3d3e0e7493f00f7380f3c3
00faa1551f2c0d815003d7f3,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/g_chr010sho_03.mbe/000_Sheet1.csv,2,2,string 2,A ghost...?!,Ein Geist...?!,translate,translated,displayed-string,306955243eaa7b1e228d936c10e8c49175645d07e116700569b1600be6cd639d
7cc7239704273bb6fc24ed18,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/g_chr010sho_03.mbe/000_Sheet1.csv,2,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
5612b154b6be60923f89ab76,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/g_chr010sho_03.mbe/000_Sheet1.csv,2,4,string 4,A ghost...?!,Ein Geist...?!,translate,translated,displayed-string,306955243eaa7b1e228d936c10e8c49175645d07e116700569b1600be6cd639d
5ee1b94dfd1cb4368e0a555d,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/g_chr010sho_03.mbe/000_Sheet1.csv,3,2,string 2,"If you go to the boys' bathroom at night, a ghostly boy will creep up on you out of nowhere.","Wenn du nachts auf die Toilette der Jungs gehst, wird ein geisterhafter Junge dich aus dem Nichts erschrecken.",translate,translated,displayed-string,645e49116ddcd59f3f9e9d0d43cf336974e1a0fc2f11628d0e60b3e34944f848
a77aca9a9dfe9358be638a08,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/g_chr010sho_03.mbe/000_Sheet1.csv,3,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
effc1214fb82e2bac14800ec,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/g_chr010sho_03.mbe/000_Sheet1.csv,3,4,string 4,"If you go to the boys' bathroom at night, a ghostly boy will creep up on you out of nowhere.","Wenn du nachts auf die Toilette der Jungs gehst, wird ein geisterhafter Junge dich aus dem Nichts erschrecken.",translate,translated,displayed-string,645e49116ddcd59f3f9e9d0d43cf336974e1a0fc2f11628d0e60b3e34944f848
427410f664e8d50b6b803444,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/g_chr010sho_03.mbe/000_Sheet1.csv,4,2,string 2,"That's what Gaku says, anyway.",Das sagt Gaku jedenfalls.,translate,translated,displayed-string,ceede80271be33181bc689afaa7b44a66b06d55c70baaa59787b65a095f40fd9
