cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
9617204885dee37d90a9d74e,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/k_chr013kyo_05.mbe/000_Sheet1.csv,1,2,string 2,There are things in this life I must protect...,"Es gibt Dinge in diesem Leben, die ich beschützen muss...",translate,translated,displayed-string,c58c045f2852ce15337dd8187eb900684aa80b90f308994d65ec55cdcd25e360
7df8dd9fbff3020bab8503b4,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/k_chr013kyo_05.mbe/000_Sheet1.csv,1,3,string2 3,k_chr013KYO_05_0010,k_chr013KYO_05_0010,protected,protected,resource-or-id,709c7e88d4f3a43116cfa101390aa354aadf020b37d5c79cdef5492b53ad9e1c
4f7e28af100c1327a8db3865,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/k_chr013kyo_05.mbe/000_Sheet1.csv,1,4,string 4,There are things in this life I must protect...,"Es gibt Dinge in diesem Leben, die ich beschützen muss...",translate,translated,displayed-string,c58c045f2852ce15337dd8187eb900684aa80b90f308994d65ec55cdcd25e360
0e475e4f0d3e99d9ff316788,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/k_chr013kyo_05.mbe/000_Sheet1.csv,2,2,string 2,"That certainly includes my grandfather's legacy, who is my only blood relative. But there is more to it than that.","Das schließt sicherlich das Vermächtnis meines Großvaters ein, der mein einziger Blutsverwandter ist, aber es gibt mehr als das.",translate,translated,displayed-string,5c94614c39b43d5d21f166d38b9521c5fc8b2645207642d7d199cddc0d8c8e22
f8153cdfbf9e7e3e1bf76e00,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/k_chr013kyo_05.mbe/000_Sheet1.csv,2,3,string2 3,k_chr013KYO_05_0020,k_chr013KYO_05_0020,protected,protected,resource-or-id,48a06c9b2de80f38bd813f391487b83f080d16d741d17641a9852e10bbea873c
36080d5930ef59c4dbac4185,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/k_chr013kyo_05.mbe/000_Sheet1.csv,2,4,string 4,"That certainly includes my grandfather's legacy, who is my only blood relative. But there is more to it than that.","Das schließt sicherlich das Vermächtnis meines Großvaters ein, der mein einziger Blutsverwandter ist, aber es gibt mehr als das.",translate,translated,displayed-string,5c94614c39b43d5d21f166d38b9521c5fc8b2645207642d7d199cddc0d8c8e22
4ec456c93130bcafe566c3a4,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/k_chr013kyo_05.mbe/000_Sheet1.csv,3,2,string 2,"I wish to protect all who are seen as weaker. Whether they be young, elderly, male, female, animals, or even plants...","Ich möchte alle schützen, die als schwächer angesehen werden. Ob jung, alt, männlich, weiblich, Tiere oder sogar Pflanzen...",translate,translated,displayed-string,53dbc6b74921d78f80c306d4cb11adfb15319f3200d601ed0036c106b2085b24
b9095368655dee5f48ca67d9,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/k_chr013kyo_05.mbe/000_Sheet1.csv,3,3,string2 3,k_chr013KYO_05_0030,k_chr013KYO_05_0030,protected,protected,resource-or-id,3d1596c5f9df07f69a3fd1879236a74aa6de50ebf7163e4df78a2fa51872aa92
734e96516a779695406bc2df,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/k_chr013kyo_05.mbe/000_Sheet1.csv,3,4,string 4,"I wish to protect all who are seen as weaker. Whether they be young, elderly, male, female, animals, or even plants...","Ich möchte alle schützen, die als schwächer angesehen werden. Ob jung, alt, männlich, weiblich, Tiere oder sogar Pflanzen...",translate,translated,displayed-string,53dbc6b74921d78f80c306d4cb11adfb15319f3200d601ed0036c106b2085b24
6427baaab241846ebb23bcb9,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/k_chr013kyo_05.mbe/000_Sheet1.csv,4,2,string 2,I will fight for those who cannot fight for themselves...and let the Holy Jumonji Sword feast on the blood of the wicked.,"Ich werde für diejenigen kämpfen, die nicht für sich selbst kämpfen können... und das Heilige Jumonji-Schwert an dem Blut der Bösen mahlen lassen.",translate,translated,displayed-string,e7e882d59297066f6f14f78274f4bb411bc4a267728dcbed42bcd9d94ff5840e
785671bb243d86c0c5327fa7,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/k_chr013kyo_05.mbe/000_Sheet1.csv,4,3,string2 3,k_chr013KYO_05_0040,k_chr013KYO_05_0040,protected,protected,resource-or-id,d4efa420af29660a89fc63355da13b78b60fc895d2914bf4720cecd4d4c10609
