cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
b4560a72822f8f7fefa6be4d,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_b_occultrt_ba_d073_m040_010.mbe/000_Sheet1.csv,1,2,string 2,"Up and at 'em, troops! Time to rise and shine!","Auf und auf, Truppen! Zeit, aufzustehen und zu glänzen!",translate,translated,displayed-string,a25c468ae6cead94370f7a1723f685616ff807b81f9d328bf37e18e1422265a9
7bfea42736a9002d7c873673,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_b_occultrt_ba_d073_m040_010.mbe/000_Sheet1.csv,1,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
7febeadfbbf0f15278ecbcb4,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_b_occultrt_ba_d073_m040_010.mbe/000_Sheet1.csv,1,4,string 4,"Up and at 'em, troops! Time to rise and shine!","Auf und auf, Truppen! Zeit, aufzustehen und zu glänzen!",translate,translated,displayed-string,a25c468ae6cead94370f7a1723f685616ff807b81f9d328bf37e18e1422265a9
c858de04efc337fc1c32e0e1,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_b_occultrt_ba_d073_m040_010.mbe/000_Sheet1.csv,2,2,string 2,Get ready for your 73rd day of active service here at Last Defense Academy!,Machen Sie sich bereit für Ihren 73. Tag des aktiven Dienstes hier an der Last Defense Academy!,translate,translated,displayed-string,a4ae03c47552e1d7999a2b980757248eef453af9870e0fd7abf78ad3b38f1fc1
02fd9c9dedcce3547643ff8a,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_b_occultrt_ba_d073_m040_010.mbe/000_Sheet1.csv,2,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
257dcbae99aa46cbb7a5496c,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_b_occultrt_ba_d073_m040_010.mbe/000_Sheet1.csv,2,4,string 4,Get ready for your 73rd day of active service here at Last Defense Academy!,Machen Sie sich bereit für Ihren 73. Tag des aktiven Dienstes hier an der Last Defense Academy!,translate,translated,displayed-string,a4ae03c47552e1d7999a2b980757248eef453af9870e0fd7abf78ad3b38f1fc1
eb15b42e3bdbc6953565b02b,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_b_occultrt_ba_d073_m040_010.mbe/000_Sheet1.csv,3,2,string 2,Prepare to spend another day enduring the unendurable and suffering the insufferable to pave the way for humanity's future greatness!,"Bereiten Sie sich darauf vor, einen weiteren Tag damit zu verbringen, das Unbedenkliche und Leidende zu ertragen, das unauslöschlich ist, um den Weg für die zukünftige Größe der Menschheit zu ebnen!",translate,translated,displayed-string,f0b3fc3b395b0c6e6b9e08fde24cf345fa26411cf1a8c309de332e6d9959973d
3f9f141e4ce8dae75f751bd7,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_b_occultrt_ba_d073_m040_010.mbe/000_Sheet1.csv,3,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
cdfdcfc7c1a4957da4f7f6de,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_b_occultrt_ba_d073_m040_010.mbe/000_Sheet1.csv,3,4,string 4,Prepare to spend another day enduring the unendurable and suffering the insufferable to pave the way for humanity's future greatness!,"Bereiten Sie sich darauf vor, einen weiteren Tag damit zu verbringen, das Unbedenkliche und Leidende zu ertragen, das unauslöschlich ist, um den Weg für die zukünftige Größe der Menschheit zu ebnen!",translate,translated,displayed-string,f0b3fc3b395b0c6e6b9e08fde24cf345fa26411cf1a8c309de332e6d9959973d
b4ed16b62acfc710d938e620,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_b_occultrt_ba_d073_m040_010.mbe/000_Sheet1.csv,4,2,string 2,Be ready to give your lives to protect our beloved school from the vile and barbaric enemy!,"Sei bereit, dein Leben zu geben, um unsere geliebte Schule vor dem widerlichen und barbarischen Feind zu schützen!",translate,translated,displayed-string,93e5f01b83f86de645249424e358f56be70be999706fe6304917ebffdd0728d0
04e20daeb08fc97b9484eadb,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_b_occultrt_ba_d073_m040_010.mbe/000_Sheet1.csv,4,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
4e1ec55b4e5f613b2a585d58,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_b_occultrt_ba_d073_m040_010.mbe/000_Sheet1.csv,4,4,string 4,Be ready to give your lives to protect our beloved school from the vile and barbaric enemy!,"Sei bereit, dein Leben zu geben, um unsere geliebte Schule vor dem widerlichen und barbarischen Feind zu schützen!",translate,translated,displayed-string,93e5f01b83f86de645249424e358f56be70be999706fe6304917ebffdd0728d0
5e2c8f215933b3a156cc6f92,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_b_occultrt_ba_d073_m040_010.mbe/000_Sheet1.csv,5,2,string 2,"I see, Ima tried to kill Takumi in the middle of the night...","Ich verstehe, Ima hat versucht, Takumi mitten in der Nacht zu töten...",translate,translated,displayed-string,105a31e489988f48715fbcd988f693d32714c10f37d305080c27d08f5a73baf9
d4458689b76cab5c497c53eb,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_b_occultrt_ba_d073_m040_010.mbe/000_Sheet1.csv,5,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
ec84953874b9161ba9dc88d0,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_b_occultrt_ba_d073_m040_010.mbe/000_Sheet1.csv,5,4,string 4,"I see, Ima tried to kill Takumi in the middle of the night...","Ich verstehe, Ima hat versucht, Takumi mitten in der Nacht zu töten...",translate,translated,displayed-string,105a31e489988f48715fbcd988f693d32714c10f37d305080c27d08f5a73baf9
16828450381ba68c64e090ef,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_b_occultrt_ba_d073_m040_010.mbe/000_Sheet1.csv,6,2,string 2,That happened while I was sleeping.,"Das geschah, während ich schlief.",translate,translated,displayed-string,7ed4691ba6526260e2e6fd9b05e9251f0bdcdbb4703d541f6da3efdda2f3ac5c
b139da5ddff360a737f08f78,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_b_occultrt_ba_d073_m040_010.mbe/000_Sheet1.csv,6,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
317f2dec49ebdde2949efb56,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_b_occultrt_ba_d073_m040_010.mbe/000_Sheet1.csv,6,4,string 4,That happened while I was sleeping.,"Das geschah, während ich schlief.",translate,translated,displayed-string,7ed4691ba6526260e2e6fd9b05e9251f0bdcdbb4703d541f6da3efdda2f3ac5c
94376acf69dd4bbb32a4dbf0,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s09_b_occultrt_ba_d073_m040_010.mbe/000_Sheet1.csv,7,2,string 2,Don't you think this situation requires a little more urgency? Do you even know where he is now?!,"Glauben Sie nicht, dass diese Situation ein wenig mehr Dringlichkeit erfordert? Wissen Sie überhaupt, wo er jetzt ist?!",translate,translated,displayed-string,bc0d42dc8d1b690c2a677a8ee5534cdf9b186009157fecaf5883ddfecc6f89bc
