cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
77ff9b0b0de4fda47b67464b,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_1_splacome_00_d007_m140_010.mbe/000_Sheet1.csv,1,2,string 2,Ahahaha! Serves you right! Writhe on your knees in the dirt until you die!,"Ahahaha! Dient dir recht! Write auf den Knien in den Schmutz, bis du stirbst!",translate,translated,displayed-string,950ddde15e87dfbb28c8c1bb53b619839a73e614766361747ad21cc86a7ddb4d
b2fe2f2264b119a386ce44bc,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_1_splacome_00_d007_m140_010.mbe/000_Sheet1.csv,1,3,string2 3,s14_1_SplaCome_00_d007_m140_010_0010,s14_1_SplaCome_00_d007_m140_010_0010,protected,protected,resource-or-id,a9be8542d358e11c032771ff0afe754923ceef460695142d71025cc84c9457a2
e51201a8803882f093723c7a,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_1_splacome_00_d007_m140_010.mbe/000_Sheet1.csv,1,4,string 4,Ahahaha! Serves you right! Writhe on your knees in the dirt until you die!,"Ahahaha! Dient dir recht! Write auf den Knien in den Schmutz, bis du stirbst!",translate,translated,displayed-string,950ddde15e87dfbb28c8c1bb53b619839a73e614766361747ad21cc86a7ddb4d
e0dfe029610490ed1bcd7bd4,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_1_splacome_00_d007_m140_010.mbe/000_Sheet1.csv,2,2,string 2,I-It's...harder when...hurk...! When they look like people...,"Es ist... härter, wenn... hurk...! Wenn sie wie Menschen aussehen...",translate,translated,displayed-string,d944fe786ad4fd83d57c362f8c78cc1ce924c181cdd6638c76b2a12cc4f732fa
b3bb36a60cbe6f553fd82a9a,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_1_splacome_00_d007_m140_010.mbe/000_Sheet1.csv,2,3,string2 3,s14_1_SplaCome_00_d007_m140_010_0020,s14_1_SplaCome_00_d007_m140_010_0020,protected,protected,resource-or-id,6f4dbff3fadad5d6924520650979dd7c771d55ec3a9ab6e687d814f9a2cbb161
fd3711fdc282d8a74ee7bddf,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_1_splacome_00_d007_m140_010.mbe/000_Sheet1.csv,2,4,string 4,I-It's...harder when...hurk...! When they look like people...,"Es ist... härter, wenn... hurk...! Wenn sie wie Menschen aussehen...",translate,translated,displayed-string,d944fe786ad4fd83d57c362f8c78cc1ce924c181cdd6638c76b2a12cc4f732fa
b58c3986a972156fe6f28c70,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_1_splacome_00_d007_m140_010.mbe/000_Sheet1.csv,3,2,string 2,"Yeah, I mean they even use hemoanima like us...","Ja, ich meine, sie benutzen sogar Hämoanima wie uns...",translate,translated,displayed-string,a9619b4b44326ea2d83c0a1ca7f21f5b61b02588d4338575117515b401eca3f5
5942ecdb442e3f8737af1c14,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_1_splacome_00_d007_m140_010.mbe/000_Sheet1.csv,3,3,string2 3,s14_1_SplaCome_00_d007_m140_010_0030,s14_1_SplaCome_00_d007_m140_010_0030,protected,protected,resource-or-id,a131d676e029818498874dceb99517f5e82964223256d04a0adb131df266a4ad
080243a7a70ce2250ff18460,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_1_splacome_00_d007_m140_010.mbe/000_Sheet1.csv,3,4,string 4,"Yeah, I mean they even use hemoanima like us...","Ja, ich meine, sie benutzen sogar Hämoanima wie uns...",translate,translated,displayed-string,a9619b4b44326ea2d83c0a1ca7f21f5b61b02588d4338575117515b401eca3f5
1bdc96fd9179b7be6219a77c,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_1_splacome_00_d007_m140_010.mbe/000_Sheet1.csv,4,2,string 2,"Hey, Takumi! It's your fault these monsters are stronger now, is it?! Pay with your life!","Hey, Takumi! Es ist deine Schuld, dass diese Monster jetzt stärker sind, oder?! Zahle mit deinem Leben!",translate,translated,displayed-string,59ad91761723dab6f9f44ef7683694782a001d21f01d770c33f50311f9a6c53f
20977117191c58096e898b8c,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_1_splacome_00_d007_m140_010.mbe/000_Sheet1.csv,4,3,string2 3,s14_1_SplaCome_00_d007_m140_010_0040,s14_1_SplaCome_00_d007_m140_010_0040,protected,protected,resource-or-id,6f6f55e23856e80f9ca5934815ad2863e918494d06452e68f0a1c1da4bb8d2ce
b7aa3f4ec17726c337b1cd8d,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_1_splacome_00_d007_m140_010.mbe/000_Sheet1.csv,4,4,string 4,"Hey, Takumi! It's your fault these monsters are stronger now, is it?! Pay with your life!","Hey, Takumi! Es ist deine Schuld, dass diese Monster jetzt stärker sind, oder?! Zahle mit deinem Leben!",translate,translated,displayed-string,59ad91761723dab6f9f44ef7683694782a001d21f01d770c33f50311f9a6c53f
f885d4bee18c6a9693e91ba5,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_1_splacome_00_d007_m140_010.mbe/000_Sheet1.csv,5,2,string 2,"I told you, I had no idea that'd happen. I didn't even know it would do anything to your powers.","Ich hatte keine Ahnung, dass das passieren würde, ich wusste nicht mal, dass es etwas mit deinen Kräften tun würde.",translate,translated,displayed-string,d08e4170d29084a26d42f97440a29d29e0007cf941202d4939e64acbdf8fbd5d
0a6feeb6330a27799ec293f8,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_1_splacome_00_d007_m140_010.mbe/000_Sheet1.csv,5,3,string2 3,s14_1_SplaCome_00_d007_m140_010_0050,s14_1_SplaCome_00_d007_m140_010_0050,protected,protected,resource-or-id,68023f0a7b0988ab8c4a0203f3daea3659e184f0e2be1a112530e7fae628df85
2b5062e0f9a2eb011a24dc21,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_1_splacome_00_d007_m140_010.mbe/000_Sheet1.csv,5,4,string 4,"I told you, I had no idea that'd happen. I didn't even know it would do anything to your powers.","Ich hatte keine Ahnung, dass das passieren würde, ich wusste nicht mal, dass es etwas mit deinen Kräften tun würde.",translate,translated,displayed-string,d08e4170d29084a26d42f97440a29d29e0007cf941202d4939e64acbdf8fbd5d
04f36a9aaa1e5debaa1d171c,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_1_splacome_00_d007_m140_010.mbe/000_Sheet1.csv,6,2,string 2,Hemoanima sure is mysterious... Not even the time traveler can explain it.,Hämoanima ist sicher geheimnisvoll... nicht einmal der Zeitreisende kann es erklären.,translate,translated,displayed-string,5ee1d86987e03d62268c0280b36d8b20ee5511bf15874792d714095a5f9c05a9
e3dfc8d3237d8b34a0f159b7,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_1_splacome_00_d007_m140_010.mbe/000_Sheet1.csv,6,3,string2 3,s14_1_SplaCome_00_d007_m140_010_0060,s14_1_SplaCome_00_d007_m140_010_0060,protected,protected,resource-or-id,3a817eab2475c6113f7d22f454cfcdcb082fc4b44fbdd18a40426dcc51f25556
7af60564e3c29ce994473d2c,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_1_splacome_00_d007_m140_010.mbe/000_Sheet1.csv,6,4,string 4,Hemoanima sure is mysterious... Not even the time traveler can explain it.,Hämoanima ist sicher geheimnisvoll... nicht einmal der Zeitreisende kann es erklären.,translate,translated,displayed-string,5ee1d86987e03d62268c0280b36d8b20ee5511bf15874792d714095a5f9c05a9
02305adf28207cc9f0f1194a,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_1_splacome_00_d007_m140_010.mbe/000_Sheet1.csv,7,2,string 2,"Dang! I thought Takumi was gonna be our cheat code, man!","Ich dachte, Takumi wäre unser Cheat Code, Mann!",translate,translated,displayed-string,0a31dfd714e35b4a5c298a1d2cb4553c69c4bd6ccbe8e27a141a53a5c7fe0897
906e34832737f581e2a1a4b5,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_1_splacome_00_d007_m140_010.mbe/000_Sheet1.csv,7,3,string2 3,s14_1_SplaCome_00_d007_m140_010_0070,s14_1_SplaCome_00_d007_m140_010_0070,protected,protected,resource-or-id,365bc2d54d658d969f3e49b4391ec153bacd4c088fd7203097bb37cb20c54058
a329cf54837ece87acad14e6,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_1_splacome_00_d007_m140_010.mbe/000_Sheet1.csv,7,4,string 4,"Dang! I thought Takumi was gonna be our cheat code, man!","Ich dachte, Takumi wäre unser Cheat Code, Mann!",translate,translated,displayed-string,0a31dfd714e35b4a5c298a1d2cb4553c69c4bd6ccbe8e27a141a53a5c7fe0897
dae6ff5aef5ec95307c1882d,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_1_splacome_00_d007_m140_010.mbe/000_Sheet1.csv,8,2,string 2,I suppose it's fitting that a war as bizarre as this should be fought using powers that are just as strange.,"Ich nehme an, es ist passend, dass ein Krieg so bizarr wie dieser mit ebenso seltsamen Kräften bekämpft werden sollte.",translate,translated,displayed-string,23ff74083b901c31bdd415058ebf8d14e60f03559785875d4a2e7bf8fcacce7a
