cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
7ea49d81b9e06b19afdf2934,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_a_splatter_a0_d047_m050_010.mbe/000_Sheet1.csv,1,2,string 2,"I'm the {fc(ff635b)Paragon of Reverie}, Turamtammi! Oh, you don't have to worry about remembering my name!","Ich bin der {fc(ff635b)Paragon der Reverie}, Turamtammi! Oh, du musst dir keine Sorgen machen, dich an meinen Namen zu erinnern!",translate,translated,displayed-string:fc-repair,9cd5b46434b147fcdcd3d5d7a9ca28448d43d0e7ca2d16e0e1dc37787d26d9b9
2ec8c9da1968758801f1d674,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_a_splatter_a0_d047_m050_010.mbe/000_Sheet1.csv,1,3,string2 3,s14_A_Splatter_A0_d047_m050_010_0010,s14_A_Splatter_A0_d047_m050_010_0010,protected,protected,resource-or-id,cbd7da2a3b09f9aae48c29a9e841eecf2d1073f9c0d5af1145607d8978b95c7c
01c3915323f088dccb243e3e,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_a_splatter_a0_d047_m050_010.mbe/000_Sheet1.csv,1,4,string 4,"I'm the {fc(ff635b)Paragon of Reverie}, Turamtammi! Oh, you don't have to worry about remembering my name!","Ich bin der {fc(ff635b)Paragon der Reverie}, Turamtammi! Oh, du musst dir keine Sorgen machen, dich an meinen Namen zu erinnern!",translate,translated,displayed-string:fc-repair,9cd5b46434b147fcdcd3d5d7a9ca28448d43d0e7ca2d16e0e1dc37787d26d9b9
661b08832f5bddb8ba5215eb,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_a_splatter_a0_d047_m050_010.mbe/000_Sheet1.csv,2,2,string 2,"Your little story ends here, after all! So, I kindly request you leave the stage.","Deine kleine Geschichte endet doch hier! Also bitte ich dich, die Bühne zu verlassen.",translate,translated,displayed-string,3ad82dc1c6a4308ecb422cb7d65d6345fcba7bbd800aca7349bf7ac7b1d13401
0b85a1a9360f14e55fcf5694,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_a_splatter_a0_d047_m050_010.mbe/000_Sheet1.csv,2,3,string2 3,s14_A_Splatter_A0_d047_m050_010_0020,s14_A_Splatter_A0_d047_m050_010_0020,protected,protected,resource-or-id,00ca2b8a906ba0272bf10e18808695eccaa6e931ae117b9505b3c89a62c80381
4a958d459d6cede6ae5a8cb0,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_a_splatter_a0_d047_m050_010.mbe/000_Sheet1.csv,2,4,string 4,"Your little story ends here, after all! So, I kindly request you leave the stage.","Deine kleine Geschichte endet doch hier! Also bitte ich dich, die Bühne zu verlassen.",translate,translated,displayed-string,3ad82dc1c6a4308ecb422cb7d65d6345fcba7bbd800aca7349bf7ac7b1d13401
9bcd50ea60859e4ca5bae444,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_a_splatter_a0_d047_m050_010.mbe/000_Sheet1.csv,3,2,string 2,"Hey... You don't seem to be enjoying my dreamy, magical show at all.","Du scheinst meine verträumte, magische Show überhaupt nicht zu genießen.",translate,translated,displayed-string,871f9742c5881d069f5d73add6c35f27e0efd537fb9227e789d60333ce3ef786
f36e804e788ae6d45c898884,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_a_splatter_a0_d047_m050_010.mbe/000_Sheet1.csv,3,3,string2 3,s14_A_Splatter_A0_d047_m050_010_0030,s14_A_Splatter_A0_d047_m050_010_0030,protected,protected,resource-or-id,280b077602d84efc7269b1fe0fc7e199ec85821bb1b672e8750470c00eeb6d8f
ab910c0fc6e9bbc360dbbfaf,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_a_splatter_a0_d047_m050_010.mbe/000_Sheet1.csv,3,4,string 4,"Hey... You don't seem to be enjoying my dreamy, magical show at all.","Du scheinst meine verträumte, magische Show überhaupt nicht zu genießen.",translate,translated,displayed-string,871f9742c5881d069f5d73add6c35f27e0efd537fb9227e789d60333ce3ef786
18170a644eafaed8b242dbdd,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_a_splatter_a0_d047_m050_010.mbe/000_Sheet1.csv,4,2,string 2,Then let me switch up the program and put on a performance of hellish agony and death!,Dann lassen Sie mich das Programm wechseln und eine Aufführung von höllischen Qualen und Tod anziehen!,translate,translated,displayed-string,9bfa2edf64725466f146f787609ebba2040f828712ac75b023110db747bea26c
2506a5b98abdd1248e57ad83,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_a_splatter_a0_d047_m050_010.mbe/000_Sheet1.csv,4,3,string2 3,s14_A_Splatter_A0_d047_m050_010_0040,s14_A_Splatter_A0_d047_m050_010_0040,protected,protected,resource-or-id,5c89475cb7351951798d8cd35dfdd57319a27584ffd813b876d86739456abdef
7bca2a7f7335a894303294c5,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_a_splatter_a0_d047_m050_010.mbe/000_Sheet1.csv,4,4,string 4,Then let me switch up the program and put on a performance of hellish agony and death!,Dann lassen Sie mich das Programm wechseln und eine Aufführung von höllischen Qualen und Tod anziehen!,translate,translated,displayed-string,9bfa2edf64725466f146f787609ebba2040f828712ac75b023110db747bea26c
