cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
d1a7c0f48907fba4239a9209,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s15_a_deathgam_aaaa_d057_m060_040.mbe/000_Sheet1.csv,1,2,string 2,"I am Zen'ta, the {fc(ff635b)Paragon of Harmony}... Even if my flesh is destroyed here...","Ich bin Zen'ta, der {fc(ff635b)Paragon der Harmonie}... auch wenn mein Fleisch hier zerstört wird...",translate,translated,displayed-string:fc-repair,61c0ff9e188f19e858c9c02b0f6884b264743286c53efc6a658a60d9e8a66cbc
2529b8eaf9c7d258c7762c6a,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s15_a_deathgam_aaaa_d057_m060_040.mbe/000_Sheet1.csv,1,3,string2 3,s15_A_DeathGam_Aaaa_d057_m060_040_0010,s15_A_DeathGam_Aaaa_d057_m060_040_0010,protected,protected,resource-or-id,f2e8531e54416c3d95ef0449dbcafbf23a09f2d4ea26e215990bb4d6bf5fcbcf
5ffd431e18cb64ad416f9c5b,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s15_a_deathgam_aaaa_d057_m060_040.mbe/000_Sheet1.csv,1,4,string 4,"I am Zen'ta, the {fc(ff635b)Paragon of Harmony}... Even if my flesh is destroyed here...","Ich bin Zen'ta, der {fc(ff635b)Paragon der Harmonie}... auch wenn mein Fleisch hier zerstört wird...",translate,translated,displayed-string:fc-repair,61c0ff9e188f19e858c9c02b0f6884b264743286c53efc6a658a60d9e8a66cbc
c0bed6eb8cb66d51b063ce64,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s15_a_deathgam_aaaa_d057_m060_040.mbe/000_Sheet1.csv,2,2,string 2,My soul shall live on eternally... And it will...destroy you all...,Meine Seele wird ewig weiterleben... und sie wird euch alle zerstören...,translate,translated,displayed-string,356e313984d72960b33f0709d723c9b190897cffe8bedace082aadd27bcd0b49
cc8814bf5cf7098832db6fb1,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s15_a_deathgam_aaaa_d057_m060_040.mbe/000_Sheet1.csv,2,3,string2 3,s15_A_DeathGam_Aaaa_d057_m060_040_0020,s15_A_DeathGam_Aaaa_d057_m060_040_0020,protected,protected,resource-or-id,26d8e1cb36dbc1e661a869e8a9831bb6c565e723cc32b440a28bf068eaa83ebc
ca084768b6ca0eebe5707659,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s15_a_deathgam_aaaa_d057_m060_040.mbe/000_Sheet1.csv,2,4,string 4,My soul shall live on eternally... And it will...destroy you all...,Meine Seele wird ewig weiterleben... und sie wird euch alle zerstören...,translate,translated,displayed-string,356e313984d72960b33f0709d723c9b190897cffe8bedace082aadd27bcd0b49
06505c728347e5b49886e4bf,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s15_a_deathgam_aaaa_d057_m060_040.mbe/000_Sheet1.csv,3,2,string 2,"{fc(57e4f1)With those final words, something strange happened to Zen'ta's body.}",{fc(57e4f1)Mit diesen letzten Worten ist etwas Seltsames mit Zen'tas Körper passiert.},translate,translated,displayed-string:fc-repair,bee2ba62deaae26070b88a945ec902feb38901e80339667ed00dea8c09ccc859
15b25755f6aa68af97715bea,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s15_a_deathgam_aaaa_d057_m060_040.mbe/000_Sheet1.csv,3,4,string 4,"{fc(57e4f1)With those final words, something strange happened to Zen'ta's body.}",{fc(57e4f1)Mit diesen letzten Worten ist etwas Seltsames mit Zen'tas Körper passiert.},translate,translated,displayed-string:fc-repair,bee2ba62deaae26070b88a945ec902feb38901e80339667ed00dea8c09ccc859
f63a633812298737707f62d5,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s15_a_deathgam_aaaa_d057_m060_040.mbe/000_Sheet1.csv,4,2,string 2,"{fc(57e4f1)It splintered all over and burst into tiny pieces, disappearing in a plume of smoke.}","{fc(57e4f1)Sie zersplitterte sich überall und platzte in winzige Stücke, die in einer Rauchwolke verschwanden.}",translate,translated,displayed-string:fc-repair,4f5a35031f56eb261c27060c6681088ce0cb2e9c0c2a83667c18e88692bc2a59
f94172f1d873ccbdc6b20224,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s15_a_deathgam_aaaa_d057_m060_040.mbe/000_Sheet1.csv,4,4,string 4,"{fc(57e4f1)It splintered all over and burst into tiny pieces, disappearing in a plume of smoke.}","{fc(57e4f1)Sie zersplitterte sich überall und platzte in winzige Stücke, die in einer Rauchwolke verschwanden.}",translate,translated,displayed-string:fc-repair,4f5a35031f56eb261c27060c6681088ce0cb2e9c0c2a83667c18e88692bc2a59
