cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
8b91fe232488c89f693a3e5c,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/k_chr017yure_03.mbe/000_Sheet1.csv,1,2,string 2,"I've lived my whole life in that capsule, not being able to come out for anything.","Ich habe mein ganzes Leben in dieser Kapsel gelebt, weil ich nicht in der Lage war, für irgendetwas herauszukommen.",translate,translated,displayed-string,3ea6980dbf0796281a27bcb9e8e471b69e865c861566e6e6802b7d6e169646fc
00fd189a35531ca5c16fcc96,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/k_chr017yure_03.mbe/000_Sheet1.csv,1,3,string2 3,k_chr017YURE_03_0010,k_chr017YURE_03_0010,protected,protected,resource-or-id,05a67ad487c528ecd49943140544d35cbf7d561f703a7bb4a7bd3392c44aa99a
fe4052d0c275d2d6bf91dcd3,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/k_chr017yure_03.mbe/000_Sheet1.csv,1,4,string 4,"I've lived my whole life in that capsule, not being able to come out for anything.","Ich habe mein ganzes Leben in dieser Kapsel gelebt, weil ich nicht in der Lage war, für irgendetwas herauszukommen.",translate,translated,displayed-string,3ea6980dbf0796281a27bcb9e8e471b69e865c861566e6e6802b7d6e169646fc
8c4b29736732aefb937ec64d,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/k_chr017yure_03.mbe/000_Sheet1.csv,2,2,string 2,"But while I couldn't move or speak, I could still think.","Aber während ich mich weder bewegen noch sprechen konnte, konnte ich immer noch denken.",translate,translated,displayed-string,efd133e14149aed80da545ee4f0ccff192b8840ba924bb538bd818c716643001
c65cd6bfe4af9a57d644e8c3,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/k_chr017yure_03.mbe/000_Sheet1.csv,2,3,string2 3,k_chr017YURE_03_0020,k_chr017YURE_03_0020,protected,protected,resource-or-id,be5fe4b93a366c5bb4ab5bd5d132ff4834933cac7cfb2e5bcbf555b9d9cd27e4
d7d5e6426e6375767f0527c2,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/k_chr017yure_03.mbe/000_Sheet1.csv,2,4,string 4,"But while I couldn't move or speak, I could still think.","Aber während ich mich weder bewegen noch sprechen konnte, konnte ich immer noch denken.",translate,translated,displayed-string,efd133e14149aed80da545ee4f0ccff192b8840ba924bb538bd818c716643001
0fa6da3964119b2ec6d7ad11,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/k_chr017yure_03.mbe/000_Sheet1.csv,3,2,string 2,They used some special audio equipment to educate me.,"Sie benutzten spezielle Audiogeräte, um mich zu erziehen.",translate,translated,displayed-string,c13c018d1f59a06107246ba3a2d03747dbce384e61fa73af3484c2037185401e
64437baacd789e1610b6c62d,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/k_chr017yure_03.mbe/000_Sheet1.csv,3,3,string2 3,k_chr017YURE_03_0030,k_chr017YURE_03_0030,protected,protected,resource-or-id,5d374b6e47a4c2f96b82531118fd2f6ebe9923407d29fb7f754c456621a00485
f1ccd647ae3a5575d1cba676,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/k_chr017yure_03.mbe/000_Sheet1.csv,3,4,string 4,They used some special audio equipment to educate me.,"Sie benutzten spezielle Audiogeräte, um mich zu erziehen.",translate,translated,displayed-string,c13c018d1f59a06107246ba3a2d03747dbce384e61fa73af3484c2037185401e
421caabb5eb2af68d1a9eb19,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/k_chr017yure_03.mbe/000_Sheet1.csv,4,2,string 2,"Everything I know about the TRC and the people I'm meant to protect, I learned from those lessons.","Alles, was ich über die TRC und die Leute weiß, die ich beschützen soll, habe ich aus diesen Lektionen gelernt.",translate,translated,displayed-string,262c383c4269a792b65c016a00488deb0f1aec48c188ca7fa45ff36685317c9d
3d5f7328bd5f24f1ec2bea74,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/k_chr017yure_03.mbe/000_Sheet1.csv,4,3,string2 3,k_chr017YURE_03_0040,k_chr017YURE_03_0040,protected,protected,resource-or-id,eaf951d44d397361632455e0692aef84badaeff37893397994058a24c812b9c3
69c104943d413879ab8ac57e,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/k_chr017yure_03.mbe/000_Sheet1.csv,4,4,string 4,"Everything I know about the TRC and the people I'm meant to protect, I learned from those lessons.","Alles, was ich über die TRC und die Leute weiß, die ich beschützen soll, habe ich aus diesen Lektionen gelernt.",translate,translated,displayed-string,262c383c4269a792b65c016a00488deb0f1aec48c188ca7fa45ff36685317c9d
