cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
5f18ff38a1bbb351daf4cd01,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,text/skill_name.mbe/000_Sheet1.csv,1,1,string 1,Side Slash,seitlicher Schrägstrich,translate,translated,displayed-string,f6b8df2c037667deae43ee2a1e76303e3922221cd77e2a5d45a26574969f1d7a
dd03f473086bb261f1de222f,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,text/skill_name.mbe/000_Sheet1.csv,2,1,string 1,Side Slash Lv.2,Seitenstrich Lv.2,translate,translated,displayed-string,77728d97578c993e98316c7e0f5c7fd6e97f42cda0991311ea3e424f12223b79
d2fd97fb57ccd97c1b4a1aa9,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,text/skill_name.mbe/000_Sheet1.csv,3,1,string 1,Side Slash Lv.3,Seitenstrich Lv.3,translate,translated,displayed-string,61d567575fb0c9faf07404f3af79676be7befdf2e9b58db5d056061167fa62dd
bf3ee94fe2a37cc25aeb47d6,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,text/skill_name.mbe/000_Sheet1.csv,4,1,string 1,Side Slash Lv.4,Seitenstrich Lv.4,translate,translated,displayed-string,0233c9b2ea2c240d96689390d7d4e92d03cbd9cd7d99935c0066147b8943743c
a23280dead2d87a538bb305a,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,text/skill_name.mbe/000_Sheet1.csv,5,1,string 1,Side Slash MAX,Seitenstrich MAX,translate,translated,displayed-string,29e08a13d869d2d15a9a64d5c0baef7ebec73026bc2c8fb14cd98bf51258b59d
21e8ebe7a870a8b78c9def32,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,text/skill_name.mbe/000_Sheet1.csv,6,1,string 1,Impact Stab,Impact Stab,translate,translated,displayed-string,3794595a7f8ffe59dd31af701de5483b841be862a05ed55d3b50dc3b02e3e80a
f1d5d7a60beebaa1fc0e5809,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,text/skill_name.mbe/000_Sheet1.csv,7,1,string 1,Impact Stab Lv.2,Impact Stab Lv.2,translate,translated,displayed-string,50b6b1121cc916b39b8de349a960ce0331742ab489e8ef48028554be24cb4a11
918b53bb5aa48e90289376ce,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,text/skill_name.mbe/000_Sheet1.csv,8,1,string 1,Impact Stab Lv.3,Impact Stab Lv.3,translate,translated,displayed-string,f844cbc08a65f8c777ac403f2944bd0346b9e72950b4b26f26df1e6d6bc1121e
c5dba031c60cdc1b93472b44,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,text/skill_name.mbe/000_Sheet1.csv,9,1,string 1,Impact Stab Lv.4,Impact Stab Lv.4,translate,translated,displayed-string,447e1c5a10bd9e649b2bbc371d4083190494b763c80274980f9a8fbee018493e
89303b000cf0695c7c5bf9e8,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,text/skill_name.mbe/000_Sheet1.csv,10,1,string 1,Impact Stab MAX,Impact Stab MAX,translate,translated,displayed-string,f08f96cb219773b9453ba827749844e31c5698f3775ffe05c4f4f5ae9cdef82f
