cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
f7f0c586ca92137d40e3114a,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_a_splatter_00_d038_m010_010.mbe/000_Sheet1.csv,1,2,string 2,Day 38,Tag 38,translate,translated,displayed-string,58fa9b8d90d075b584f91709e2c418f80ef3e60691cdf965ef338344f3175d0d
2356bbc4190e910576551e04,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_a_splatter_00_d038_m010_010.mbe/000_Sheet1.csv,1,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
ff0a24af995e33547833b888,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_a_splatter_00_d038_m010_010.mbe/000_Sheet1.csv,1,4,string 4,Day 38,Tag 38,translate,translated,displayed-string,58fa9b8d90d075b584f91709e2c418f80ef3e60691cdf965ef338344f3175d0d
509dc7c4cb0c474a25fc8328,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_a_splatter_00_d038_m010_010.mbe/000_Sheet1.csv,2,2,string 2,"{fc(57e4f1)After several days of fruitless searching, a new development occurred on the evening of Day 38.}",{fc(57e4f1)Nach mehreren Tagen der fruchtlosen Suche kam es am Abend des Tages 38 zu einer Neuentwicklung.},translate,translated,displayed-string:fc-repair,e0a6df54f89a19bb088501c454cb36dd6862201c6870ba9fc2751d68bdf7c9aa
a4a9ffe087178c91107927d8,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_a_splatter_00_d038_m010_010.mbe/000_Sheet1.csv,2,4,string 4,"{fc(57e4f1)After several days of fruitless searching, a new development occurred on the evening of Day 38.}",{fc(57e4f1)Nach mehreren Tagen der fruchtlosen Suche kam es am Abend des Tages 38 zu einer Neuentwicklung.},translate,translated,displayed-string:fc-repair,e0a6df54f89a19bb088501c454cb36dd6862201c6870ba9fc2751d68bdf7c9aa
7fc326cf799ec1b0a698bfc4,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_a_splatter_00_d038_m010_010.mbe/000_Sheet1.csv,3,2,string 2,Knock it off...! Let me go!,Lass mich los!,translate,translated,displayed-string,1f0796c33e3d05bd72c95a9a71f1abf537370693628eed9a2e399e13cf2b9ddf
447d38d23c360889e1a3b602,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_a_splatter_00_d038_m010_010.mbe/000_Sheet1.csv,3,3,string2 3,s14_A_Splatter_00_d038_m010_010_0030,s14_A_Splatter_00_d038_m010_010_0030,protected,protected,resource-or-id,6f7a63b81d15c2b07069b15c6a817481a8ad6b8e786c262061eab7fb027b805e
2846c1df5ce45a061102cc73,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_a_splatter_00_d038_m010_010.mbe/000_Sheet1.csv,3,4,string 4,Knock it off...! Let me go!,Lass mich los!,translate,translated,displayed-string,1f0796c33e3d05bd72c95a9a71f1abf537370693628eed9a2e399e13cf2b9ddf
b05cd0782caa2df4447d76e3,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_a_splatter_00_d038_m010_010.mbe/000_Sheet1.csv,4,2,string 2,...,...,protected,protected,non-linguistic,ab5df625bc76dbd4e163bed2dd888df828f90159bb93556525c31821b6541d46
831f1226b6ba96f141e2f7f7,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_a_splatter_00_d038_m010_010.mbe/000_Sheet1.csv,4,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
