cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
ff25598968bc9dd6ca81216e,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s06_0_jigokurt_b0_d100_m010_010.mbe/000_Sheet1.csv,1,2,string 2,No... It's not over...,Nein... es ist noch nicht vorbei...,translate,translated,displayed-string,fed6032df19479f5430d22063827e1ec55821eb1f66844fd911327ebec1243f7
eb726042809cb9d16356534f,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s06_0_jigokurt_b0_d100_m010_010.mbe/000_Sheet1.csv,1,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
d9e6731248840cb7cc2f0575,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s06_0_jigokurt_b0_d100_m010_010.mbe/000_Sheet1.csv,1,4,string 4,No... It's not over...,Nein... es ist noch nicht vorbei...,translate,translated,displayed-string,fed6032df19479f5430d22063827e1ec55821eb1f66844fd911327ebec1243f7
e3ee60d200f659f58b7749a7,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s06_0_jigokurt_b0_d100_m010_010.mbe/000_Sheet1.csv,2,2,string 2,Huh...?,Wie...?,translate,translated,displayed-string,9176f8a3d9eef25fd99d603ca1ee2be389d84cfdd2220633c064f82a25b7d0b3
bc8532ac682b667514e9275c,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s06_0_jigokurt_b0_d100_m010_010.mbe/000_Sheet1.csv,2,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
14a8bcda27369a81df97d0f1,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s06_0_jigokurt_b0_d100_m010_010.mbe/000_Sheet1.csv,2,4,string 4,Huh...?,Wie...?,translate,translated,displayed-string,9176f8a3d9eef25fd99d603ca1ee2be389d84cfdd2220633c064f82a25b7d0b3
547b4487acf0710ac6ec2296,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s06_0_jigokurt_b0_d100_m010_010.mbe/000_Sheet1.csv,3,2,string 2,There are still people I didn't manage to save.,"Es gibt immer noch Leute, die ich nicht retten konnte.",translate,translated,displayed-string,e44503d10102374673f794f432f7f1c63a694afd44ab5e4f7c51d6b7d5af62d1
98676e189612ae87e0554af8,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s06_0_jigokurt_b0_d100_m010_010.mbe/000_Sheet1.csv,3,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
942bbd6374440fa29eeaeb20,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s06_0_jigokurt_b0_d100_m010_010.mbe/000_Sheet1.csv,3,4,string 4,There are still people I didn't manage to save.,"Es gibt immer noch Leute, die ich nicht retten konnte.",translate,translated,displayed-string,e44503d10102374673f794f432f7f1c63a694afd44ab5e4f7c51d6b7d5af62d1
fecf7b566cfa9eb1a14a0f14,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s06_0_jigokurt_b0_d100_m010_010.mbe/000_Sheet1.csv,4,2,string 2,"Darumi, Kyoshika, and Kurara... They're not here with us.","Darumi, Kyoshika und Kurara sind nicht bei uns.",translate,translated,displayed-string,267e80c325f16ad1bcef4d98ab1f0d2cc7384e2f35a9bf31106b6b261e1e5101
fffc2d008042b5b76f034e44,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s06_0_jigokurt_b0_d100_m010_010.mbe/000_Sheet1.csv,4,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
944596d95ea2fb9548cfeef9,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s06_0_jigokurt_b0_d100_m010_010.mbe/000_Sheet1.csv,4,4,string 4,"Darumi, Kyoshika, and Kurara... They're not here with us.","Darumi, Kyoshika und Kurara sind nicht bei uns.",translate,translated,displayed-string,267e80c325f16ad1bcef4d98ab1f0d2cc7384e2f35a9bf31106b6b261e1e5101
18c4a68b2054b2dd9b5deac2,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s06_0_jigokurt_b0_d100_m010_010.mbe/000_Sheet1.csv,5,2,string 2,And {fc(ff635b)him}... That boy who couldn't join the team because of me...,"Und {fc(ff635b)ihn.}... der Junge, der wegen mir nicht ins Team kommen konnte...",translate,translated,displayed-string:fc-repair,6bb60d02ce6d91a7b4f3209bd8bc111011eb44b3059ff526fe7254fbb0de4ec4
46a382f9fbf27866582c28f4,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s06_0_jigokurt_b0_d100_m010_010.mbe/000_Sheet1.csv,5,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
02ea3132dca2d4a3a51d2a73,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s06_0_jigokurt_b0_d100_m010_010.mbe/000_Sheet1.csv,5,4,string 4,And {fc(ff635b)him}... That boy who couldn't join the team because of me...,"Und {fc(ff635b)ihn.}... der Junge, der wegen mir nicht ins Team kommen konnte...",translate,translated,displayed-string:fc-repair,6bb60d02ce6d91a7b4f3209bd8bc111011eb44b3059ff526fe7254fbb0de4ec4
1d623361300d34bcd80b56ed,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s06_0_jigokurt_b0_d100_m010_010.mbe/000_Sheet1.csv,6,2,string 2,That's why...I'm going to {fc(ff635b)redo} it.,Deshalb... gehe ich zu {fc(ff635b)Wiedereinsetzen}.,translate,translated,displayed-string:fc-repair,a4987e52c49e63c7908f464dd6cd32bdf504d86846f6bfa30014240f0cf48d1a
b44bc16f1948e37fca75b0fe,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s06_0_jigokurt_b0_d100_m010_010.mbe/000_Sheet1.csv,6,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
