cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
9f4323dc3b9f3a39d831977c,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/k_chr006tuba_01.mbe/000_Sheet1.csv,1,2,string 2,"Remember how I told you my grandpa runs a workshop? He works on all kinds of stuff there, but mainly cars.","Weißt du noch, wie ich dir gesagt habe, dass mein Opa eine Werkstatt betreibt?",translate,translated,displayed-string,568b7e90b63943ee40b5cb82baa67275cc94dba06207f49419933355a43eee22
f94bc01e96cb6a138b0a7614,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/k_chr006tuba_01.mbe/000_Sheet1.csv,1,3,string2 3,k_chr006TUBA_01_0010,k_chr006TUBA_01_0010,protected,protected,resource-or-id,e9917d1aec93952ce9288a86d062ce776a6a88ddc2165ba5d526f567a37b5491
9531ddb1a7337478dc93dfb1,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/k_chr006tuba_01.mbe/000_Sheet1.csv,1,4,string 4,"Remember how I told you my grandpa runs a workshop? He works on all kinds of stuff there, but mainly cars.","Weißt du noch, wie ich dir gesagt habe, dass mein Opa eine Werkstatt betreibt?",translate,translated,displayed-string,568b7e90b63943ee40b5cb82baa67275cc94dba06207f49419933355a43eee22
9059122c9618e0342c2c17cb,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/k_chr006tuba_01.mbe/000_Sheet1.csv,2,2,string 2,"His hobby is making his own custom cars! And before you ask, no, he doesn't race them on the highway or anything.","Sein Hobby ist seine eigenen Custom Cars! Und bevor Sie fragen, nein, er fährt sie nicht auf der Autobahn oder so.",translate,translated,displayed-string,6a966a4a3bb7b98eb5ea8a1ef13ec256b075d95c445a1d30076337489de5f2a3
2c46a13c1fa91e0f19ce7b83,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/k_chr006tuba_01.mbe/000_Sheet1.csv,2,3,string2 3,k_chr006TUBA_01_0020,k_chr006TUBA_01_0020,protected,protected,resource-or-id,7124bc3b0f2ffd330f23fe96ad0e30ddb134a1801622cddb2186cb11d5df568d
574df1f368cb645c76700e8c,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/k_chr006tuba_01.mbe/000_Sheet1.csv,2,4,string 4,"His hobby is making his own custom cars! And before you ask, no, he doesn't race them on the highway or anything.","Sein Hobby ist seine eigenen Custom Cars! Und bevor Sie fragen, nein, er fährt sie nicht auf der Autobahn oder so.",translate,translated,displayed-string,6a966a4a3bb7b98eb5ea8a1ef13ec256b075d95c445a1d30076337489de5f2a3
127fd64e841b45c35927a85d,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/k_chr006tuba_01.mbe/000_Sheet1.csv,3,2,string 2,"But he does test drive them someplace else. I eventually got to help with them as well. My folks got super mad about it when they found out, though.","Aber er testet sie irgendwo anders. Ich habe schließlich auch mit ihnen zu helfen. Meine Leute wurden super wütend darüber, wenn sie es herausfanden, aber.",translate,translated,displayed-string,0f5798d45047ee4ab1b5951bfaeb0a4c15c81ec0f2cdb862c3484313d888f0cd
951946597ec61e2d544c446f,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/k_chr006tuba_01.mbe/000_Sheet1.csv,3,3,string2 3,k_chr006TUBA_01_0030,k_chr006TUBA_01_0030,protected,protected,resource-or-id,df5663fbb5a628be94385f471af021c92c8fc38d032666462071f185fbcdc6f4
7a3b9b6d5a0b09283a4df4b3,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/k_chr006tuba_01.mbe/000_Sheet1.csv,3,4,string 4,"But he does test drive them someplace else. I eventually got to help with them as well. My folks got super mad about it when they found out, though.","Aber er testet sie irgendwo anders. Ich habe schließlich auch mit ihnen zu helfen. Meine Leute wurden super wütend darüber, wenn sie es herausfanden, aber.",translate,translated,displayed-string,0f5798d45047ee4ab1b5951bfaeb0a4c15c81ec0f2cdb862c3484313d888f0cd
178edb1a947acb3538077e49,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/k_chr006tuba_01.mbe/000_Sheet1.csv,4,2,string 2,"I wish I could get my license and start driving for real... If I start dating, I want it to be with someone who owns a ton of awesome cars!","Ich wünschte, ich könnte meinen Führerschein bekommen und anfangen zu fahren für echte... Wenn ich mit dem Dating anfange, möchte ich, dass es mit jemandem zusammen ist, der eine Tonne tolle Autos besitzt!",translate,translated,displayed-string,37ba81c9dac5699968a47bc340d899d62f22585c5acd25fe6192454ffcf665af
8ea9b141017c106614f8f468,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/k_chr006tuba_01.mbe/000_Sheet1.csv,4,3,string2 3,k_chr006TUBA_01_0040,k_chr006TUBA_01_0040,protected,protected,resource-or-id,6eaec6435ba0fa227b32e4939ffbeac31fa507035ce0b24b01dd1cba38e5b154
74662ffb6afba4b74075fcb1,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/k_chr006tuba_01.mbe/000_Sheet1.csv,4,4,string 4,"I wish I could get my license and start driving for real... If I start dating, I want it to be with someone who owns a ton of awesome cars!","Ich wünschte, ich könnte meinen Führerschein bekommen und anfangen zu fahren für echte... Wenn ich mit dem Dating anfange, möchte ich, dass es mit jemandem zusammen ist, der eine Tonne tolle Autos besitzt!",translate,translated,displayed-string,37ba81c9dac5699968a47bc340d899d62f22585c5acd25fe6192454ffcf665af
6a53573298cc8432b62acd4e,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/k_chr006tuba_01.mbe/000_Sheet1.csv,5,2,string 2,"Oh, wait. People like that are usually on the wrong side of the law... Or am I being prejudiced when I say that?","Solche Leute sind normalerweise auf der falschen Seite des Gesetzes... oder bin ich voreingenommen, wenn ich das sage?",translate,translated,displayed-string,0b76a8c68a55c243baaa67d7b4dedca64f475b66a6e49bc954866091f490a44e
b4dc9f8d08fa928dbe07cab3,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/k_chr006tuba_01.mbe/000_Sheet1.csv,5,3,string2 3,k_chr006TUBA_01_0050,k_chr006TUBA_01_0050,protected,protected,resource-or-id,3cee10b9f2956a1e5fe2600e22e4525511c74b71c7ff55c31369adbde893b91f
cbf58b58cca69757db812ba4,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/k_chr006tuba_01.mbe/000_Sheet1.csv,5,4,string 4,"Oh, wait. People like that are usually on the wrong side of the law... Or am I being prejudiced when I say that?","Solche Leute sind normalerweise auf der falschen Seite des Gesetzes... oder bin ich voreingenommen, wenn ich das sage?",translate,translated,displayed-string,0b76a8c68a55c243baaa67d7b4dedca64f475b66a6e49bc954866091f490a44e
66fb00429af91174c7e7beea,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/k_chr006tuba_01.mbe/000_Sheet1.csv,6,2,string 2,"Whatever, I'll just buy my own cars. All I gotta do is win the lottery first!","Was auch immer, ich kaufe mir meine eigenen Autos. Alles, was ich tun muss, ist zuerst die Lotterie zu gewinnen!",translate,translated,displayed-string,f74470e517bdf1e2cadcbf755d35e3080423c4f38443ea5341e3ca9188b883b4
85008941c71c9d61e2d550de,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/k_chr006tuba_01.mbe/000_Sheet1.csv,6,3,string2 3,k_chr006TUBA_01_0060,k_chr006TUBA_01_0060,protected,protected,resource-or-id,9d2ce87aea8e56b7633b15a2169d0eba1bec4c087675689289d2f3ece2b10e61
0652cc036a2ce5444e856214,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/k_chr006tuba_01.mbe/000_Sheet1.csv,6,4,string 4,"Whatever, I'll just buy my own cars. All I gotta do is win the lottery first!","Was auch immer, ich kaufe mir meine eigenen Autos. Alles, was ich tun muss, ist zuerst die Lotterie zu gewinnen!",translate,translated,displayed-string,f74470e517bdf1e2cadcbf755d35e3080423c4f38443ea5341e3ca9188b883b4
