cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
6448b08636b9f3fb2a4c0823,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_b_lovelove_bbba_d098_m010_010.mbe/000_Sheet1.csv,1,2,string 2,Yeah...,"Ja, das ist gut.",translate,translated,displayed-string,08a70054f59e703ae5ee2bb185ba6951a0ee7e3798cd17e527fbf15e8bc6a586
2f241fb1443bf2cc7089527e,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_b_lovelove_bbba_d098_m010_010.mbe/000_Sheet1.csv,1,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
3435fdbd1a5fb88c507653ff,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_b_lovelove_bbba_d098_m010_010.mbe/000_Sheet1.csv,1,4,string 4,Yeah...,"Ja, das ist gut.",translate,translated,displayed-string,08a70054f59e703ae5ee2bb185ba6951a0ee7e3798cd17e527fbf15e8bc6a586
6ffe80d53849e55152fe2c3e,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_b_lovelove_bbba_d098_m010_010.mbe/000_Sheet1.csv,2,2,string 2,I...,Ich...,translate,translated,displayed-string,fc7ed7b68999fdae4a99b38a1554db08f6835cb60bb3ce062649fd33935219dd
5b1a45f85c8fbe3ad5c25bf7,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_b_lovelove_bbba_d098_m010_010.mbe/000_Sheet1.csv,2,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
762c413c57cf35cd5b5ba12c,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_b_lovelove_bbba_d098_m010_010.mbe/000_Sheet1.csv,2,4,string 4,I...,Ich...,translate,translated,displayed-string,fc7ed7b68999fdae4a99b38a1554db08f6835cb60bb3ce062649fd33935219dd
0ab1f8436f707af7cb764518,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_b_lovelove_bbba_d098_m010_010.mbe/000_Sheet1.csv,3,2,string 2,"{fc(57e4f1)I'd constantly denied that my feelings for her were romantic, but...}","{fc(57e4f1)Ich hatte ständig geleugnet, dass meine Gefühle für sie romantisch waren, aber...}",translate,translated,displayed-string:fc-repair,c3d7bc0724ab960ea5c1fce97b232549f94a4d5a51ad429a457b09bd83ae30a5
27cf31740fa2af7b3384e2a4,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_b_lovelove_bbba_d098_m010_010.mbe/000_Sheet1.csv,3,4,string 4,"{fc(57e4f1)I'd constantly denied that my feelings for her were romantic, but...}","{fc(57e4f1)Ich hatte ständig geleugnet, dass meine Gefühle für sie romantisch waren, aber...}",translate,translated,displayed-string:fc-repair,c3d7bc0724ab960ea5c1fce97b232549f94a4d5a51ad429a457b09bd83ae30a5
f9809797cf380e8159132771,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_b_lovelove_bbba_d098_m010_010.mbe/000_Sheet1.csv,4,2,string 2,{fc(57e4f1)Who was I fooling?},{fc(57e4f1)Wen habe ich reingelegt?},translate,translated,displayed-string:fc-repair,595cfa1fddda18a44c4c9e3b9cf998b6c0b70c279139956ff7d8c10ba020941f
d525fb45f60872b9889590c3,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_b_lovelove_bbba_d098_m010_010.mbe/000_Sheet1.csv,4,4,string 4,{fc(57e4f1)Who was I fooling?},{fc(57e4f1)Wen habe ich reingelegt?},translate,translated,displayed-string:fc-repair,595cfa1fddda18a44c4c9e3b9cf998b6c0b70c279139956ff7d8c10ba020941f
354d925bd8142af9e122b384,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_b_lovelove_bbba_d098_m010_010.mbe/000_Sheet1.csv,5,2,string 2,I like Nozomi.,Ich mag Nozomi.,translate,translated,displayed-string,10d2fbd1f927c0e154422a0a228f46801ed31bf1f7237d407812c4e9f69fea17
106a3a9dd012d4cc365118c1,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_b_lovelove_bbba_d098_m010_010.mbe/000_Sheet1.csv,5,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
4855a61846fb119baff8d015,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_b_lovelove_bbba_d098_m010_010.mbe/000_Sheet1.csv,5,4,string 4,I like Nozomi.,Ich mag Nozomi.,translate,translated,displayed-string,10d2fbd1f927c0e154422a0a228f46801ed31bf1f7237d407812c4e9f69fea17
2376031aaba99b3d869f3753,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_b_lovelove_bbba_d098_m010_010.mbe/000_Sheet1.csv,6,2,string 2,I see...,Ich verstehe...,translate,translated,displayed-string,1168336fb2a0dd18bcc36308fbff6e38555ba352c5c404d03fc84f5c1fb1e800
eb433222cd48b95af5093a03,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_b_lovelove_bbba_d098_m010_010.mbe/000_Sheet1.csv,6,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
4da27ea30b1eaef14e1bb52e,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_b_lovelove_bbba_d098_m010_010.mbe/000_Sheet1.csv,6,4,string 4,I see...,Ich verstehe...,translate,translated,displayed-string,1168336fb2a0dd18bcc36308fbff6e38555ba352c5c404d03fc84f5c1fb1e800
19b4a00caf2108756c524a5d,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_b_lovelove_bbba_d098_m010_010.mbe/000_Sheet1.csv,7,2,string 2,I really wish you'd said something sooner.,"Ich wünschte, du hättest etwas früher gesagt.",translate,translated,displayed-string,30cc8085ec6a8c4e2a500e0c9838b921f9395769f058046d071a84ee361ac69f
00386f55760955b66d7d3f9e,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_b_lovelove_bbba_d098_m010_010.mbe/000_Sheet1.csv,7,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
f8f4a937c308d67845716e8f,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_b_lovelove_bbba_d098_m010_010.mbe/000_Sheet1.csv,7,4,string 4,I really wish you'd said something sooner.,"Ich wünschte, du hättest etwas früher gesagt.",translate,translated,displayed-string,30cc8085ec6a8c4e2a500e0c9838b921f9395769f058046d071a84ee361ac69f
c579738126a69f5e6ef92cfe,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_b_lovelove_bbba_d098_m010_010.mbe/000_Sheet1.csv,8,2,string 2,"Then I could have changed the game, or stopped it, or something else, even...","Dann hätte ich das Spiel ändern oder es stoppen können, oder etwas anderes, sogar...",translate,translated,displayed-string,5377ca06efe04c90002724ebdd41d827845b0d5527ad5c820697be38e99adf93
4ef104fa3cb74cbee4da7bb7,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_b_lovelove_bbba_d098_m010_010.mbe/000_Sheet1.csv,8,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
c368bd80a34f849c47bb405a,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_b_lovelove_bbba_d098_m010_010.mbe/000_Sheet1.csv,8,4,string 4,"Then I could have changed the game, or stopped it, or something else, even...","Dann hätte ich das Spiel ändern oder es stoppen können, oder etwas anderes, sogar...",translate,translated,displayed-string,5377ca06efe04c90002724ebdd41d827845b0d5527ad5c820697be38e99adf93
871e48a1824f273098a87bc6,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_b_lovelove_bbba_d098_m010_010.mbe/000_Sheet1.csv,9,2,string 2,I'm sorry.,Es tut mir leid.,translate,translated,displayed-string,eb86bd79d9a9c072c03c586de6e151783e90572aad7b3c1761cdd1ec396352ab
703375d04d1d0944b69775e0,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s13_b_lovelove_bbba_d098_m010_010.mbe/000_Sheet1.csv,9,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
