cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
09b09de0030505c6e9f7568b,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s08_0_mattarir_00_d049_m020_010.mbe/000_Sheet1.csv,1,2,string 2,"{fc(57e4f1)First things first, I needed to assess Takemaru's skills for myself.}",{fc(57e4f1)Zuerst einmal musste ich Takemarus Fähigkeiten für mich selbst einschätzen.},translate,translated,displayed-string:fc-repair,c71395cb2d4c46f2e170cfd313484454e65aa189a21b4d94b0b475675f9d57bc
5437d5da7844c9eaf79d5575,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s08_0_mattarir_00_d049_m020_010.mbe/000_Sheet1.csv,1,4,string 4,"{fc(57e4f1)First things first, I needed to assess Takemaru's skills for myself.}",{fc(57e4f1)Zuerst einmal musste ich Takemarus Fähigkeiten für mich selbst einschätzen.},translate,translated,displayed-string:fc-repair,c71395cb2d4c46f2e170cfd313484454e65aa189a21b4d94b0b475675f9d57bc
f7cdf507483c0d16297cbcce,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s08_0_mattarir_00_d049_m020_010.mbe/000_Sheet1.csv,2,2,string 2,"{fc(57e4f1)We had a casual match so I could see where he was at, but...}","{fc(57e4f1)Wir hatten ein lockeres Spiel, damit ich sehen konnte, wo er war, aber...}",translate,translated,displayed-string:fc-repair,b8f2be452db063b30fb42ff2e84e2a57227daa01ff66fbc7017eee834193a009
504aa268819b8758ed5a4e97,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s08_0_mattarir_00_d049_m020_010.mbe/000_Sheet1.csv,2,4,string 4,"{fc(57e4f1)We had a casual match so I could see where he was at, but...}","{fc(57e4f1)Wir hatten ein lockeres Spiel, damit ich sehen konnte, wo er war, aber...}",translate,translated,displayed-string:fc-repair,b8f2be452db063b30fb42ff2e84e2a57227daa01ff66fbc7017eee834193a009
2755fbd86b0eb16197f25f4f,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s08_0_mattarir_00_d049_m020_010.mbe/000_Sheet1.csv,3,2,string 2,I-I got nothin' to show for myself...!,Ich habe nichts für mich zu zeigen...!,translate,translated,displayed-string,265901db03e5a966b920578dda506af4731b3e23b860b85b65b641e50943a363
85ef13dfca5c5a2240c0f627,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s08_0_mattarir_00_d049_m020_010.mbe/000_Sheet1.csv,3,3,string2 3,s08_0_MattariR_00_d049_m020_010_0030,s08_0_MattariR_00_d049_m020_010_0030,protected,protected,resource-or-id,db1a76ce601c554802653c704d08a3f687cc8ab1b42731d0ce609134f11c9a49
4c3c6aab70ec50f73fae3161,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s08_0_mattarir_00_d049_m020_010.mbe/000_Sheet1.csv,3,4,string 4,I-I got nothin' to show for myself...!,Ich habe nichts für mich zu zeigen...!,translate,translated,displayed-string,265901db03e5a966b920578dda506af4731b3e23b860b85b65b641e50943a363
09498ccdf9d346f89a8da672,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s08_0_mattarir_00_d049_m020_010.mbe/000_Sheet1.csv,4,2,string 2,"Takumi, you gotta be a gangster to be this good... Which crew do you play for, huh?!","Takumi, du musst ein Gangster sein, um so gut zu sein... für welche Crew spielst du?",translate,translated,displayed-string,8badbb8d3356be0aa3b775a84c42c39721e2349a58a9ad9400d49347eb83bd92
2c0bf55e086aaf00196c6583,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s08_0_mattarir_00_d049_m020_010.mbe/000_Sheet1.csv,4,3,string2 3,s08_0_MattariR_00_d049_m020_010_0040,s08_0_MattariR_00_d049_m020_010_0040,protected,protected,resource-or-id,bcff502bb7234acda1b237e2e5de96e68d6657c607ee9e89e4b6a499b5b4fe6a
cae779345ed106c364b9a9d9,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s08_0_mattarir_00_d049_m020_010.mbe/000_Sheet1.csv,4,4,string 4,"Takumi, you gotta be a gangster to be this good... Which crew do you play for, huh?!","Takumi, du musst ein Gangster sein, um so gut zu sein... für welche Crew spielst du?",translate,translated,displayed-string,8badbb8d3356be0aa3b775a84c42c39721e2349a58a9ad9400d49347eb83bd92
