cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
f5605ca87aeebe2e7989b1df,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,text/option_dialog_name.mbe/000_option_dialog_name.csv,1,1,string 1,0.5s,"0,5 s",translate,translated,displayed-string,1320940ec18109a3761885925dd8af6f72ec3b2ba29a9c2ac8cd2a58dbcadc5b
c89421f56ac3edd2b136ccb7,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,text/option_dialog_name.mbe/000_option_dialog_name.csv,2,1,string 1,1.0s,"1,0 s",translate,translated,displayed-string,87f581149efcec2c9138120a8c6243401bc85ade72a5e54d6243a8b2d1dd106c
00e2f517ec368e3787173c61,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,text/option_dialog_name.mbe/000_option_dialog_name.csv,3,1,string 1,1.5s,"1,5 s",translate,translated,displayed-string,51349957916f1315c080961f45c43fde8155a50cfed912c9a215d98a7dc7c184
939dc3ad8636d2b3c40389dd,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,text/option_dialog_name.mbe/000_option_dialog_name.csv,4,1,string 1,2.0s,"2,0 s",translate,translated,displayed-string,7afb49d3039aacfe83f0b2f68d62aa7362f82d592dcdf2f9dfe719c104e76586
eb360b0cc20f0e488f3720b4,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,text/option_dialog_name.mbe/000_option_dialog_name.csv,5,1,string 1,2.5s,2.5s,translate,translated,displayed-string,57e66774542740ca9b4aab2e335b85aa513f6995a578a56235c7af3fa1de399c
e1bf3f74f1444fc732dccc31,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,text/option_dialog_name.mbe/000_option_dialog_name.csv,6,1,string 1,3.0s,3.0s,translate,translated,displayed-string,ee8038dac0a53427f6280cf15ef4d9cda56178169830e168a23cb45297badb17
057ddddd5345d0ecfdae00dc,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,text/option_dialog_name.mbe/000_option_dialog_name.csv,7,1,string 1,Show All,Alle anzeigen,translate,translated,displayed-string,e1c32645f2f85a25ae64e38f306ded9b82771ab8ac4595e769f9410e632584f4
228cc45e99a229322c8324dd,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,text/option_dialog_name.mbe/000_option_dialog_name.csv,8,1,string 1,Movement & Range Only,Nur Bewegung & Reichweite,translate,translated,displayed-string,fc591c9c7f5ef6634642d88e6111dc10df18e50b15df8251d1098c2097e1aa3b
bc7ba5b9c8b92509e26a68a4,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,text/option_dialog_name.mbe/000_option_dialog_name.csv,9,1,string 1,Movement Only,Nur Bewegung,translate,translated,displayed-string,3e92d635664aabdb5db02ee751fb32ef7f92c1eb216312ca62e682065316f675
bb6be1cb68e032f10f3c5c3d,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,text/option_dialog_name.mbe/000_option_dialog_name.csv,10,1,string 1,Japanese,Japanese,review,pending,ambiguous-single-token,be4ee906d3efecfc34a94a6cd378633a67f7f35d5abbc3f498715ac5dcbee54f
