cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
dc03151bd98d938c8d85e72d,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_a_splatter_ba_d099_m040_010.mbe/000_Sheet1.csv,1,2,string 2,"Us five are the only ones left, huh...","Wir fünf sind die Einzigen, die noch übrig sind, huh...",translate,translated,displayed-string,fb287aa702090e234c1f690d3ec4ed88b0549cac67315eaf948e172bba6f8e12
42ecfe0331b314a0c523559f,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_a_splatter_ba_d099_m040_010.mbe/000_Sheet1.csv,1,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
9fc7d9dfc72fd528e94537b3,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_a_splatter_ba_d099_m040_010.mbe/000_Sheet1.csv,1,4,string 4,"Us five are the only ones left, huh...","Wir fünf sind die Einzigen, die noch übrig sind, huh...",translate,translated,displayed-string,fb287aa702090e234c1f690d3ec4ed88b0549cac67315eaf948e172bba6f8e12
cc546f415fd935ade3562ce5,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_a_splatter_ba_d099_m040_010.mbe/000_Sheet1.csv,2,2,string 2,Will the zombies be burned up by the missiles along with the invaders?,Werden die Zombies zusammen mit den Invasoren von den Raketen verbrannt werden?,translate,translated,displayed-string,92bf3446b103bbffe4ed9526e18a07e80983e9d0c2796b9b5a6af10bafeb9ce1
bb85c523d2397ca503a046fa,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_a_splatter_ba_d099_m040_010.mbe/000_Sheet1.csv,2,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
cc1f12546c7f99b9f8238cee,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_a_splatter_ba_d099_m040_010.mbe/000_Sheet1.csv,2,4,string 4,Will the zombies be burned up by the missiles along with the invaders?,Werden die Zombies zusammen mit den Invasoren von den Raketen verbrannt werden?,translate,translated,displayed-string,92bf3446b103bbffe4ed9526e18a07e80983e9d0c2796b9b5a6af10bafeb9ce1
9551a33dc7d3f1e80ee868c2,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_a_splatter_ba_d099_m040_010.mbe/000_Sheet1.csv,3,2,string 2,What...?,Was denn?,translate,translated,displayed-string,1d17b9ac4ee43ee37cd955f6fce3863c89c29198a6763d51043114d817ec7395
f418438d46fa5c97f594a462,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_a_splatter_ba_d099_m040_010.mbe/000_Sheet1.csv,3,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
5b9f9d7dcb1ade81a1889460,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_a_splatter_ba_d099_m040_010.mbe/000_Sheet1.csv,3,4,string 4,What...?,Was denn?,translate,translated,displayed-string,1d17b9ac4ee43ee37cd955f6fce3863c89c29198a6763d51043114d817ec7395
47955730bfe97e5b3bd10000,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_a_splatter_ba_d099_m040_010.mbe/000_Sheet1.csv,4,2,string 2,"Hey, wait... Look over there!","Hey, warte... schau da drüben!",translate,translated,displayed-string,04f1609a8f178f8ecb8f721f8b8bebf69ee3c9ac6eb025630895f039575c782e
d6c081cdcf02915fa3794e5d,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_a_splatter_ba_d099_m040_010.mbe/000_Sheet1.csv,4,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
