cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
bb81f54c90e478e5cd71e18f,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s04_0_ivachanr_a0_d099_m030_010.mbe/000_Sheet1.csv,1,2,string 2,*huff...* *huff...*,* huff... * * huff... * * huff... * huff... * huff... *,translate,translated,displayed-string,169f433c3deefc9b27f1f487f7f76c4b82dd16706bbc5f68a6a14f8f48274509
c7518b967e62aa1b59e70209,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s04_0_ivachanr_a0_d099_m030_010.mbe/000_Sheet1.csv,1,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
ed171d3ba23036f90c8a8d39,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s04_0_ivachanr_a0_d099_m030_010.mbe/000_Sheet1.csv,1,4,string 4,*huff...* *huff...*,* huff... * * huff... * * huff... * huff... * huff... *,translate,translated,displayed-string,169f433c3deefc9b27f1f487f7f76c4b82dd16706bbc5f68a6a14f8f48274509
04c903e8ff3db1463d36d249,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s04_0_ivachanr_a0_d099_m030_010.mbe/000_Sheet1.csv,2,2,string 2,Nrgh... To think someone like you could push me this far...,"Um zu denken, jemand wie du könnte mich so weit treiben...",translate,translated,displayed-string,c77032ece541c3c9f34e542647df37661065ea274b993f9e6cc068550f406e80
62bce1e87af118bccb726f43,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s04_0_ivachanr_a0_d099_m030_010.mbe/000_Sheet1.csv,2,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
2e354e170d02a02fb454441a,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s04_0_ivachanr_a0_d099_m030_010.mbe/000_Sheet1.csv,2,4,string 4,Nrgh... To think someone like you could push me this far...,"Um zu denken, jemand wie du könnte mich so weit treiben...",translate,translated,displayed-string,c77032ece541c3c9f34e542647df37661065ea274b993f9e6cc068550f406e80
28435702565295d626456c53,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s04_0_ivachanr_a0_d099_m030_010.mbe/000_Sheet1.csv,3,2,string 2,"I underestimated you, Sister. You've shown real ambition and gained great power...",Ich verstehe es nicht.imaSie zeigten großen Ehrgeiz und erlangten große Macht.,translate,translated,displayed-string,79fb36577d76f46fc9784b31958c22caa2d8ad458ebe5f43966276789aae9fa0
dc88712d7fc81cf99c3b6eaf,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s04_0_ivachanr_a0_d099_m030_010.mbe/000_Sheet1.csv,3,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
3508d83036695ca9ec582714,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s04_0_ivachanr_a0_d099_m030_010.mbe/000_Sheet1.csv,3,4,string 4,"I underestimated you, Sister. You've shown real ambition and gained great power...",Ich verstehe es nicht.imaSie zeigten großen Ehrgeiz und erlangten große Macht.,translate,translated,displayed-string,79fb36577d76f46fc9784b31958c22caa2d8ad458ebe5f43966276789aae9fa0
ae5526abae57d45c53440e80,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s04_0_ivachanr_a0_d099_m030_010.mbe/000_Sheet1.csv,4,2,string 2,But I think you know your ambition can't match mine... I've sworn to become a god and rule over this planet forevermore...,"Aber ich glaube, du weißt, dass dein Ehrgeiz nicht zu meinem passen kann... ich habe geschworen, ein Gott zu werden und für immer mehr über diesen Planeten zu herrschen...",translate,translated,displayed-string,e8a769058b790217421ca531f19784ad8fe3162b7f08039fe336348516ee3f4e
45ac9919a285e53bb0761f79,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s04_0_ivachanr_a0_d099_m030_010.mbe/000_Sheet1.csv,4,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
db19fa23397f796e0894b666,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s04_0_ivachanr_a0_d099_m030_010.mbe/000_Sheet1.csv,4,4,string 4,But I think you know your ambition can't match mine... I've sworn to become a god and rule over this planet forevermore...,"Aber ich glaube, du weißt, dass dein Ehrgeiz nicht zu meinem passen kann... ich habe geschworen, ein Gott zu werden und für immer mehr über diesen Planeten zu herrschen...",translate,translated,displayed-string,e8a769058b790217421ca531f19784ad8fe3162b7f08039fe336348516ee3f4e
d827fd5e4f64f28fa95a009a,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s04_0_ivachanr_a0_d099_m030_010.mbe/000_Sheet1.csv,5,2,string 2,Ambition...? Don't be ridiculous... I'm not like you.,"Sei nicht albern, ich bin nicht wie du.",translate,translated,displayed-string,d9a4bfaa57a0ee8aa510065cc2fa006e7482ecbd2bfd452270d6feb9df8d97af
d7affa21010afb141f83d4b1,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s04_0_ivachanr_a0_d099_m030_010.mbe/000_Sheet1.csv,5,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
34c9ad2d1c49b1400e595031,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s04_0_ivachanr_a0_d099_m030_010.mbe/000_Sheet1.csv,5,4,string 4,Ambition...? Don't be ridiculous... I'm not like you.,"Sei nicht albern, ich bin nicht wie du.",translate,translated,displayed-string,d9a4bfaa57a0ee8aa510065cc2fa006e7482ecbd2bfd452270d6feb9df8d97af
fb65a923908822beb8b20a33,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s04_0_ivachanr_a0_d099_m030_010.mbe/000_Sheet1.csv,6,2,string 2,"{fc(57e4f1)The two of them were exhausted, but no one dared to step between them.}","{fc(57e4f1)Die beiden waren erschöpft, aber niemand wagte, zwischen sie zu treten.}",translate,translated,displayed-string:fc-repair,956bfa6d209ecb6d4582ab4ee8276ed8b9adec27220f8725de8f3dccc95c91e4
ec12227503232527d33f764b,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s04_0_ivachanr_a0_d099_m030_010.mbe/000_Sheet1.csv,6,4,string 4,"{fc(57e4f1)The two of them were exhausted, but no one dared to step between them.}","{fc(57e4f1)Die beiden waren erschöpft, aber niemand wagte, zwischen sie zu treten.}",translate,translated,displayed-string:fc-repair,956bfa6d209ecb6d4582ab4ee8276ed8b9adec27220f8725de8f3dccc95c91e4
4f487fb822ec619aca2ccb1d,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s04_0_ivachanr_a0_d099_m030_010.mbe/000_Sheet1.csv,7,2,string 2,"{fc(57e4f1)Their movements were sluggish, but as they raised their weapons once more, they were still every bit as intimidating.}","{fc(57e4f1)Ihre Bewegungen waren träge, aber als sie wieder ihre Waffen erhoben, waren sie immer noch so einschüchternd.}",translate,translated,displayed-string:fc-repair,de9f6e8849bc91553944a10b9eda8c7d9a9453b3553be1eebf3a348891f40888
f72a256629478975d1878119,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s04_0_ivachanr_a0_d099_m030_010.mbe/000_Sheet1.csv,7,4,string 4,"{fc(57e4f1)Their movements were sluggish, but as they raised their weapons once more, they were still every bit as intimidating.}","{fc(57e4f1)Ihre Bewegungen waren träge, aber als sie wieder ihre Waffen erhoben, waren sie immer noch so einschüchternd.}",translate,translated,displayed-string:fc-repair,de9f6e8849bc91553944a10b9eda8c7d9a9453b3553be1eebf3a348891f40888
fb97ad424386cefa3be4980f,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s04_0_ivachanr_a0_d099_m030_010.mbe/000_Sheet1.csv,8,2,string 2,Now... We end this...,Jetzt... beenden wir das...,translate,translated,displayed-string,2c77c751738f3175f85ce82c1875cec1c97f9d1beb359c8c6820ac405087df3b
0974dbcb3b0ede62c7e3630d,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s04_0_ivachanr_a0_d099_m030_010.mbe/000_Sheet1.csv,8,3,string2 3,s04_0_IvaChanR_A0_d099_m030_010_0080,s04_0_IvaChanR_A0_d099_m030_010_0080,protected,protected,resource-or-id,7aea64de3a9109852a8b2e8f247c353801d4083e37ff15b975cd18e6a7ee7729
fd19cbb791cbfb59a433af2c,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s04_0_ivachanr_a0_d099_m030_010.mbe/000_Sheet1.csv,8,4,string 4,Now... We end this...,Jetzt... beenden wir das...,translate,translated,displayed-string,2c77c751738f3175f85ce82c1875cec1c97f9d1beb359c8c6820ac405087df3b
bcb359b07d4b5cf06abbe915,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s04_0_ivachanr_a0_d099_m030_010.mbe/000_Sheet1.csv,9,2,string 2,Yes... Once and for all...,"Ja, ein für alle Mal...",translate,translated,displayed-string,9d9aaa41e8fbc8d143cb402bfc05121e73990de59802f4d0ef635904be821774
f72e7141b9340cee6da23c8a,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s04_0_ivachanr_a0_d099_m030_010.mbe/000_Sheet1.csv,9,3,string2 3,s04_0_IvaChanR_A0_d099_m030_010_0090,s04_0_IvaChanR_A0_d099_m030_010_0090,protected,protected,resource-or-id,18458778bee5013f230526f0ecad02c841a8e26743f4ea1a73cfcf20242b55de
1b0bdb61980799605f5e878e,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s04_0_ivachanr_a0_d099_m030_010.mbe/000_Sheet1.csv,9,4,string 4,Yes... Once and for all...,"Ja, ein für alle Mal...",translate,translated,displayed-string,9d9aaa41e8fbc8d143cb402bfc05121e73990de59802f4d0ef635904be821774
7654a9b03fe0198dc4233045,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s04_0_ivachanr_a0_d099_m030_010.mbe/000_Sheet1.csv,10,2,string 2,{fc(57e4f1)Eva and V'ehxness lunged toward each other in one final clash.},{fc(57e4f1)Eva und V'ehxness strömten in einem letzten Kampf aufeinander zu.},translate,translated,displayed-string:fc-repair,f42f91c8095931c08867f770e4bb99eb7556bda15f3fca384e1854a1b4cc49d4
