cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
f2c9c3c9ec7364f51bf45063,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_aab_d095_m020_010.mbe/000_Sheet1.csv,1,2,string 2,"{fc(57e4f1)After the morning announcement, I headed for the Cafeteria.}",{fc(57e4f1)Nach der Morgenankündigung ging ich in die Cafeteria.},translate,translated,displayed-string:fc-repair,efcd24c8bcb8a349180bf60a4316a83b6dd3be1a5e31a11abfaf1f9d49dbb478
bb3421a15e7c8272bb79e8bf,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_aab_d095_m020_010.mbe/000_Sheet1.csv,1,4,string 4,"{fc(57e4f1)After the morning announcement, I headed for the Cafeteria.}",{fc(57e4f1)Nach der Morgenankündigung ging ich in die Cafeteria.},translate,translated,displayed-string:fc-repair,efcd24c8bcb8a349180bf60a4316a83b6dd3be1a5e31a11abfaf1f9d49dbb478
3baad4b1f49a66505fda218b,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_aab_d095_m020_010.mbe/000_Sheet1.csv,2,2,string 2,"{fc(57e4f1)I had the feeling I wouldn't have much of an appetite, but I wanted to see everyone.}","{fc(57e4f1)Ich hatte das Gefühl, ich hätte nicht viel Appetit, aber ich wollte alle sehen.}",translate,translated,displayed-string:fc-repair,cf3dce156f8c8209750477125ad1e2dcac087f06de55645da3191727b6c18e88
a35723e2ead501dca19b8758,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_aab_d095_m020_010.mbe/000_Sheet1.csv,2,4,string 4,"{fc(57e4f1)I had the feeling I wouldn't have much of an appetite, but I wanted to see everyone.}","{fc(57e4f1)Ich hatte das Gefühl, ich hätte nicht viel Appetit, aber ich wollte alle sehen.}",translate,translated,displayed-string:fc-repair,cf3dce156f8c8209750477125ad1e2dcac087f06de55645da3191727b6c18e88
4fcfb34c2783b244cc3152a3,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_aab_d095_m020_010.mbe/000_Sheet1.csv,3,2,string 2,{fc(57e4f1)They were all there already when I arrived.},"{fc(57e4f1)Sie waren schon alle da, als ich ankam.}",translate,translated,displayed-string:fc-repair,6da79f002c6d58bf044b361a82f52ac07bb458e43e7da0cfb4576b7f7caa7604
2998d2a690f02c3ffe8eabd9,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_aab_d095_m020_010.mbe/000_Sheet1.csv,3,4,string 4,{fc(57e4f1)They were all there already when I arrived.},"{fc(57e4f1)Sie waren schon alle da, als ich ankam.}",translate,translated,displayed-string:fc-repair,6da79f002c6d58bf044b361a82f52ac07bb458e43e7da0cfb4576b7f7caa7604
0f6075cd84a83b9fe0e244f0,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_aab_d095_m020_010.mbe/000_Sheet1.csv,4,2,string 2,"{fc(57e4f1)Well, not all of them. One person was missing.}","{fc(57e4f1)Nun, nicht alle von ihnen. Eine Person wurde vermisst.}",translate,translated,displayed-string:fc-repair,f013d3efeb5042d9f6fb40420a098e0e26a39f82bf55af5b3eed42f39ae69805
332a32e60b29616c1f99d0dd,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_aab_d095_m020_010.mbe/000_Sheet1.csv,4,4,string 4,"{fc(57e4f1)Well, not all of them. One person was missing.}","{fc(57e4f1)Nun, nicht alle von ihnen. Eine Person wurde vermisst.}",translate,translated,displayed-string:fc-repair,f013d3efeb5042d9f6fb40420a098e0e26a39f82bf55af5b3eed42f39ae69805
f133c93343a22a56f6ba73b1,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_aab_d095_m020_010.mbe/000_Sheet1.csv,5,2,string 2,Is Tsubasa in the Garage?,Ist Tsubasa in der Garage?,translate,translated,displayed-string,78bae0fbc3afe46569bf679bcbc0af3c3210c634b718ecf0c84259e79884d943
712d00c1c9dbbd408997ecf2,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s13_a_sfsfsfsf_aab_d095_m020_010.mbe/000_Sheet1.csv,5,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
