cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
20d4c0fb8e8a7b2893407d7c,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s15_a_deathgam_aaa_d056_m020_020.mbe/000_Sheet1.csv,1,2,string 2,"The engine's good to go! The tires are ready for the road! Hop on board, everyone!","Der Motor ist gut zu gehen! Die Reifen sind bereit für die Straße! Hop an Bord, alle!",translate,translated,displayed-string,da07ff7548bba5bc9a94d6919aa45ab1bdacacdd45d4789e1cda1e03d9c14f9e
f45eae237bcb6351f8339347,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s15_a_deathgam_aaa_d056_m020_020.mbe/000_Sheet1.csv,1,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
e2cea32c5dc7d2eecd08a40f,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s15_a_deathgam_aaa_d056_m020_020.mbe/000_Sheet1.csv,1,4,string 4,"The engine's good to go! The tires are ready for the road! Hop on board, everyone!","Der Motor ist gut zu gehen! Die Reifen sind bereit für die Straße! Hop an Bord, alle!",translate,translated,displayed-string,da07ff7548bba5bc9a94d6919aa45ab1bdacacdd45d4789e1cda1e03d9c14f9e
28f13913d3795b3b6bc2a0e6,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s15_a_deathgam_aaa_d056_m020_020.mbe/000_Sheet1.csv,2,2,string 2,{fc(57e4f1)As we were climbing on the bus...},{fc(57e4f1)Als wir im Bus kletterten...},translate,translated,displayed-string:fc-repair,3b05fb8da0fbb9d6db9e8d46aa4cbc9dee65b85812557db31de676540bd2618c
1da77a049e4759905d060289,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s15_a_deathgam_aaa_d056_m020_020.mbe/000_Sheet1.csv,2,4,string 4,{fc(57e4f1)As we were climbing on the bus...},{fc(57e4f1)Als wir im Bus kletterten...},translate,translated,displayed-string:fc-repair,3b05fb8da0fbb9d6db9e8d46aa4cbc9dee65b85812557db31de676540bd2618c
5ed25492664124c22668b4f0,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s15_a_deathgam_aaa_d056_m020_020.mbe/000_Sheet1.csv,3,2,string 2,"Where the hell do you think yer goin', Takumi?!","Wo zum Teufel denkst du, wo du hingehst, Takumi?!",translate,translated,displayed-string,56e87466c80a2dce3e05280752c8bb1bba9a4c31ea940868744fee1d963a636d
62d006c84b8887ac9cf2dbd1,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s15_a_deathgam_aaa_d056_m020_020.mbe/000_Sheet1.csv,3,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
4aed1e4b5f71c6f7ce679e39,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s15_a_deathgam_aaa_d056_m020_020.mbe/000_Sheet1.csv,3,4,string 4,"Where the hell do you think yer goin', Takumi?!","Wo zum Teufel denkst du, wo du hingehst, Takumi?!",translate,translated,displayed-string,56e87466c80a2dce3e05280752c8bb1bba9a4c31ea940868744fee1d963a636d
a62177d101a5c5ff974d584f,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s15_a_deathgam_aaa_d056_m020_020.mbe/000_Sheet1.csv,4,2,string 2,Takemaru! What're you doing here?!,Was machst du denn hier?,translate,translated,displayed-string,09e6d1424a311208538312d59650245e49365b6b5228b3e300e4ae229cffed2b
f94f37e775bef6a8c5fc3e7a,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s15_a_deathgam_aaa_d056_m020_020.mbe/000_Sheet1.csv,4,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
e675399c3046017d9571f320,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s15_a_deathgam_aaa_d056_m020_020.mbe/000_Sheet1.csv,4,4,string 4,Takemaru! What're you doing here?!,Was machst du denn hier?,translate,translated,displayed-string,09e6d1424a311208538312d59650245e49365b6b5228b3e300e4ae229cffed2b
c0c7a149ef4b0197f1554a3b,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s15_a_deathgam_aaa_d056_m020_020.mbe/000_Sheet1.csv,5,2,string 2,Saw y'all runnin' around like chickens with ya heads cut off!,"Ich sah, wie ihr herumlieft wie Hühner mit abgeschnittenen Köpfen!",translate,translated,displayed-string,c5cb0f8c60ef8dd6942ed515361132ba1d0b816cb49e9fba3a0f1b12539eb745
f66fc6463fe30eface5f517f,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s15_a_deathgam_aaa_d056_m020_020.mbe/000_Sheet1.csv,5,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
4d1b28e0087ab10872b27351,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s15_a_deathgam_aaa_d056_m020_020.mbe/000_Sheet1.csv,5,4,string 4,Saw y'all runnin' around like chickens with ya heads cut off!,"Ich sah, wie ihr herumlieft wie Hühner mit abgeschnittenen Köpfen!",translate,translated,displayed-string,c5cb0f8c60ef8dd6942ed515361132ba1d0b816cb49e9fba3a0f1b12539eb745
3bc549809b844144a0f49ac6,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s15_a_deathgam_aaa_d056_m020_020.mbe/000_Sheet1.csv,6,2,string 2,Knew ya had to be up to somethin' so I watched you...and here I am.,"Ich wusste, dass du etwas tun musstest, also habe ich dich beobachtet... und hier bin ich.",translate,translated,displayed-string,86fcbf365e9369c9a2cfc12564be16eb68afd002e0e45026ab7c92a6ed25fcd6
2d5c8d8db2e2cac601270ea4,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s15_a_deathgam_aaa_d056_m020_020.mbe/000_Sheet1.csv,6,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
191e5c67cc2fef30a3af68f8,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s15_a_deathgam_aaa_d056_m020_020.mbe/000_Sheet1.csv,6,4,string 4,Knew ya had to be up to somethin' so I watched you...and here I am.,"Ich wusste, dass du etwas tun musstest, also habe ich dich beobachtet... und hier bin ich.",translate,translated,displayed-string,86fcbf365e9369c9a2cfc12564be16eb68afd002e0e45026ab7c92a6ed25fcd6
c8111d91ac76a444b2879d2e,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s15_a_deathgam_aaa_d056_m020_020.mbe/000_Sheet1.csv,7,2,string 2,"So where the hell're y'all headed? Where there's a commander, I bet?",Wo zum Teufel wollt ihr hin?,translate,translated,displayed-string,da50ecd391e2603497aaa1c138fac3551d3e02540bca528e725e12057e5c7143
75b97193e05f013f265fffd9,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s15_a_deathgam_aaa_d056_m020_020.mbe/000_Sheet1.csv,7,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
e0c3f45cf7fe6398d07f6785,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s15_a_deathgam_aaa_d056_m020_020.mbe/000_Sheet1.csv,7,4,string 4,"So where the hell're y'all headed? Where there's a commander, I bet?",Wo zum Teufel wollt ihr hin?,translate,translated,displayed-string,da50ecd391e2603497aaa1c138fac3551d3e02540bca528e725e12057e5c7143
a55903b741ff5314cf962919,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s15_a_deathgam_aaa_d056_m020_020.mbe/000_Sheet1.csv,8,2,string 2,Take us with you! I ain't lettin' you guys hog all the points for yourselves!,Nehmt uns mit! Ich lasse euch nicht alle Punkte für euch selbst nerven!,translate,translated,displayed-string,364e2a911dd39deaf69afc0611d3f8e88346291ec6170c17c5b85aef3aa51cf1
e7239d486a03f9a4ef2ccbcc,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s15_a_deathgam_aaa_d056_m020_020.mbe/000_Sheet1.csv,8,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
ebad3e317178981b82bb8625,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s15_a_deathgam_aaa_d056_m020_020.mbe/000_Sheet1.csv,8,4,string 4,Take us with you! I ain't lettin' you guys hog all the points for yourselves!,Nehmt uns mit! Ich lasse euch nicht alle Punkte für euch selbst nerven!,translate,translated,displayed-string,364e2a911dd39deaf69afc0611d3f8e88346291ec6170c17c5b85aef3aa51cf1
f8a6b8ac25c122d121e0a81e,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s15_a_deathgam_aaa_d056_m020_020.mbe/000_Sheet1.csv,9,2,string 2,"Buzz off, Takemaru... Unless you want me to kill you again?","Verschwinde, Takemaru, es sei denn, ich soll dich wieder töten?",translate,translated,displayed-string,ef581e34816ce30e9dab0c07f553786a660336fabba6e4d415778c03f363f88c
8cbc6e7152e083986a108645,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s15_a_deathgam_aaa_d056_m020_020.mbe/000_Sheet1.csv,9,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
fd4001614c3458728f7d45f3,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s15_a_deathgam_aaa_d056_m020_020.mbe/000_Sheet1.csv,9,4,string 4,"Buzz off, Takemaru... Unless you want me to kill you again?","Verschwinde, Takemaru, es sei denn, ich soll dich wieder töten?",translate,translated,displayed-string,ef581e34816ce30e9dab0c07f553786a660336fabba6e4d415778c03f363f88c
b580ac8635ca440565071f9e,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s15_a_deathgam_aaa_d056_m020_020.mbe/000_Sheet1.csv,10,2,string 2,"Max capacity for this bus is five, so I'm afraid we can't take more passengers.","Maximale Kapazität für diesen Bus ist fünf, also können wir leider nicht mehr Passagiere mitnehmen.",translate,translated,displayed-string,e887e213abae551b5240c9734a57d0ad1c2274f97bf15066195d7d84e39f8d71
f4b484c22ed29d0672227305,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s15_a_deathgam_aaa_d056_m020_020.mbe/000_Sheet1.csv,10,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
3e842b5d54c09033f8b6ae9d,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s15_a_deathgam_aaa_d056_m020_020.mbe/000_Sheet1.csv,10,4,string 4,"Max capacity for this bus is five, so I'm afraid we can't take more passengers.","Maximale Kapazität für diesen Bus ist fünf, also können wir leider nicht mehr Passagiere mitnehmen.",translate,translated,displayed-string,e887e213abae551b5240c9734a57d0ad1c2274f97bf15066195d7d84e39f8d71
7fd932d4519bd9c73f810e7d,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s15_a_deathgam_aaa_d056_m020_020.mbe/000_Sheet1.csv,11,2,string 2,"Begone, foul fools! Your wretched feet would pollute the floor of this bus!",Ihr miesen Füße würdet den Boden dieses Busses verschmutzen!,translate,translated,displayed-string,9c5a0de4d35d4aa2cedd498409c3c8fe2f8c04b9c2d573b1c27b39676d233401
bde8767f9240827ac9dcd0e3,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s15_a_deathgam_aaa_d056_m020_020.mbe/000_Sheet1.csv,11,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
