cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
b5427f5b37b8ac1d601d473e,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s07_0_panicxrt_a0_d034_m010_010.mbe/000_Sheet1.csv,1,2,string 2,...I'll take the pill.,...ich nehme die Pille.,translate,translated,displayed-string,346fbfe66b2ec34572c5691a245c63ade05b2e119f96f3e37560b6e318a61560
2bf902ad30eaf871c58b61d2,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s07_0_panicxrt_a0_d034_m010_010.mbe/000_Sheet1.csv,1,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
4f4940166e7d1ab0f856abaa,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s07_0_panicxrt_a0_d034_m010_010.mbe/000_Sheet1.csv,1,4,string 4,...I'll take the pill.,...ich nehme die Pille.,translate,translated,displayed-string,346fbfe66b2ec34572c5691a245c63ade05b2e119f96f3e37560b6e318a61560
ca0cc20bfe92d2eb2208a5d9,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s07_0_panicxrt_a0_d034_m010_010.mbe/000_Sheet1.csv,2,2,string 2,{fc(57e4f1)I took the pill from Gotoh and put it in my mouth.},{fc(57e4f1)Ich nahm die Pille von Gotoh und steckte sie in meinen Mund.},translate,translated,displayed-string:fc-repair,4494e47ffb7b8f289ba57ed7eb855a35966521480cfdd849cd5a313cc5ddde94
a380cf66b50cc456bcf14d43,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s07_0_panicxrt_a0_d034_m010_010.mbe/000_Sheet1.csv,2,4,string 4,{fc(57e4f1)I took the pill from Gotoh and put it in my mouth.},{fc(57e4f1)Ich nahm die Pille von Gotoh und steckte sie in meinen Mund.},translate,translated,displayed-string:fc-repair,4494e47ffb7b8f289ba57ed7eb855a35966521480cfdd849cd5a313cc5ddde94
5c5630616237bca311e56cd5,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s07_0_panicxrt_a0_d034_m010_010.mbe/000_Sheet1.csv,3,2,string 2,{fc(cfff3f)*gulp*},"{fc(cfff3f)- Nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein.}",translate,translated,displayed-string:fc-repair,fc3ca3eb0f75b9c8efc24ee46870260453d846160ec9f3f04365ebd66b5df719
26d3ef62650aa4b1f50aeb83,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s07_0_panicxrt_a0_d034_m010_010.mbe/000_Sheet1.csv,3,4,string 4,{fc(cfff3f)*gulp*},"{fc(cfff3f)- Nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein.}",translate,translated,displayed-string:fc-repair,fc3ca3eb0f75b9c8efc24ee46870260453d846160ec9f3f04365ebd66b5df719
836c7c7284d449a03a562de3,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s07_0_panicxrt_a0_d034_m010_010.mbe/000_Sheet1.csv,4,2,string 2,So?,Und?,translate,translated,displayed-string,a55dbaa51933842c5d941e4a87e1db94d61d06e1e517ab03e5901f70416a275c
4598b9fcc17093765eaddb1b,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s07_0_panicxrt_a0_d034_m010_010.mbe/000_Sheet1.csv,4,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
7c84ac5a32b64bfcd52ca2df,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s07_0_panicxrt_a0_d034_m010_010.mbe/000_Sheet1.csv,4,4,string 4,So?,Und?,translate,translated,displayed-string,a55dbaa51933842c5d941e4a87e1db94d61d06e1e517ab03e5901f70416a275c
