cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
f42c5ee215bc3346e80e1d9c,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/g_chr008ima_02.mbe/000_Sheet1.csv,1,2,string 2,"Ima, what are you doing here?","Ima, was machst du hier?",translate,translated,displayed-string,d0667584aa5d853ed92dfb09c4d56bfc601d42fd6af7bf7fa5af6b10c1d7430e
66e0a76a484788dc8f83dc16,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/g_chr008ima_02.mbe/000_Sheet1.csv,1,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
56164ef6de6aa9895d397ff1,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/g_chr008ima_02.mbe/000_Sheet1.csv,1,4,string 4,"Ima, what are you doing here?","Ima, was machst du hier?",translate,translated,displayed-string,d0667584aa5d853ed92dfb09c4d56bfc601d42fd6af7bf7fa5af6b10c1d7430e
43931c27f4fdc34660b90b8c,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/g_chr008ima_02.mbe/000_Sheet1.csv,2,2,string 2,"I'm taking in the sweet, sweet particles emitting from Sister Dearest's room!","Ich nehme die süßen, süßen Partikel auf, die aus Schwester Dearests Zimmer emittieren!",translate,translated,displayed-string,152d797aa30d08b87bf9d03808094d03407a29bd76251fea7311730296463aff
43c1eb0d9f4b5af32fe835b3,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/g_chr008ima_02.mbe/000_Sheet1.csv,2,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
4f7fa7189dee592183e2119c,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/g_chr008ima_02.mbe/000_Sheet1.csv,2,4,string 4,"I'm taking in the sweet, sweet particles emitting from Sister Dearest's room!","Ich nehme die süßen, süßen Partikel auf, die aus Schwester Dearests Zimmer emittieren!",translate,translated,displayed-string,152d797aa30d08b87bf9d03808094d03407a29bd76251fea7311730296463aff
cb7327da55c5b420b93486a8,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/g_chr008ima_02.mbe/000_Sheet1.csv,3,2,string 2,"I'm taking in the sweet, sweet particles emitting from my dear sister's room!","Ich nehme die süßen, süßen Partikel auf, die aus dem Zimmer meiner lieben Schwester emittieren!",translate,translated,displayed-string,970ca6191904d3ec0c9bf335096845550ca0da629dae5e297860603124366666
e256455665d1ca3d25264cb0,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/g_chr008ima_02.mbe/000_Sheet1.csv,3,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
d082dbbcde1e5d4de4d2432f,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/g_chr008ima_02.mbe/000_Sheet1.csv,3,4,string 4,"I'm taking in the sweet, sweet particles emitting from my dear sister's room!","Ich nehme die süßen, süßen Partikel auf, die aus dem Zimmer meiner lieben Schwester emittieren!",translate,translated,displayed-string,970ca6191904d3ec0c9bf335096845550ca0da629dae5e297860603124366666
475b9f29d5375247cfde54fb,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/g_chr008ima_02.mbe/000_Sheet1.csv,4,2,string 2,Particles...?,Partikel...?,translate,translated,displayed-string,5a0d534d94798ccaf710d40b31a901d94b981a5fe7e59df059f609958d65d708
3bf40cb937aac7c4f9508f7c,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/g_chr008ima_02.mbe/000_Sheet1.csv,4,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
ecb1a8f511615ffd12135b49,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/g_chr008ima_02.mbe/000_Sheet1.csv,4,4,string 4,Particles...?,Partikel...?,translate,translated,displayed-string,5a0d534d94798ccaf710d40b31a901d94b981a5fe7e59df059f609958d65d708
fe9cca1f81aa6676dbb97af6,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/g_chr008ima_02.mbe/000_Sheet1.csv,5,2,string 2,A guy like me can sniff out Sister Dearest's sweetness even when she's not around.,"Ein Typ wie ich kann Schwester Dearests Süße ausschnüffeln, auch wenn sie nicht da ist.",translate,translated,displayed-string,72e3be6b8f014f4a1c9cc6dca0aa9ce1364f048f87080e5c005c4eb83778f81c
ace7f8a086ec6e9f7a5e0547,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/g_chr008ima_02.mbe/000_Sheet1.csv,5,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
60bbd4b5a8531f1c1dd3ebc4,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/g_chr008ima_02.mbe/000_Sheet1.csv,5,4,string 4,A guy like me can sniff out Sister Dearest's sweetness even when she's not around.,"Ein Typ wie ich kann Schwester Dearests Süße ausschnüffeln, auch wenn sie nicht da ist.",translate,translated,displayed-string,72e3be6b8f014f4a1c9cc6dca0aa9ce1364f048f87080e5c005c4eb83778f81c
a6d854a9bd75fd145c4d9a3c,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/g_chr008ima_02.mbe/000_Sheet1.csv,6,2,string 2,A guy like me can sniff out Kako's sweetness even when she's not around.,"Ein Typ wie ich kann Kakos Süße ausschnüffeln, auch wenn sie nicht da ist.",translate,translated,displayed-string,20ca1340601ff5a736f82aab2c07b41fd766909705c1dd91517a7e1ece522a32
a0159e7998837b50078e0dca,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/g_chr008ima_02.mbe/000_Sheet1.csv,6,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
6ae5d16ae768a6d36882fc89,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/g_chr008ima_02.mbe/000_Sheet1.csv,6,4,string 4,A guy like me can sniff out Kako's sweetness even when she's not around.,"Ein Typ wie ich kann Kakos Süße ausschnüffeln, auch wenn sie nicht da ist.",translate,translated,displayed-string,20ca1340601ff5a736f82aab2c07b41fd766909705c1dd91517a7e1ece522a32
