cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
4264f39c869f0d1ed6fc9984,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s07_0_panicxrt_a0_d034_m010_010.mbe/000_Sheet1.csv,1,2,string 2,...I'll take the pill.,...ich nehme die Pille.,translate,translated,displayed-string,346fbfe66b2ec34572c5691a245c63ade05b2e119f96f3e37560b6e318a61560
cce9382a3ec76554eb0785c5,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s07_0_panicxrt_a0_d034_m010_010.mbe/000_Sheet1.csv,1,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
64db22e1405ad8bfc4f1e86f,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s07_0_panicxrt_a0_d034_m010_010.mbe/000_Sheet1.csv,1,4,string 4,...I'll take the pill.,...ich nehme die Pille.,translate,translated,displayed-string,346fbfe66b2ec34572c5691a245c63ade05b2e119f96f3e37560b6e318a61560
792ae8523851249b771e4e8b,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s07_0_panicxrt_a0_d034_m010_010.mbe/000_Sheet1.csv,2,2,string 2,{fc(57e4f1)I took the pill from Gotoh and put it in my mouth.},{fc(57e4f1)Ich nahm die Pille von Gotoh und steckte sie in meinen Mund.},translate,translated,displayed-string:fc-repair,4494e47ffb7b8f289ba57ed7eb855a35966521480cfdd849cd5a313cc5ddde94
8acb5f7cbc742000c66127d9,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s07_0_panicxrt_a0_d034_m010_010.mbe/000_Sheet1.csv,2,4,string 4,{fc(57e4f1)I took the pill from Gotoh and put it in my mouth.},{fc(57e4f1)Ich nahm die Pille von Gotoh und steckte sie in meinen Mund.},translate,translated,displayed-string:fc-repair,4494e47ffb7b8f289ba57ed7eb855a35966521480cfdd849cd5a313cc5ddde94
a780201c41fc78eb9bd64cc3,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s07_0_panicxrt_a0_d034_m010_010.mbe/000_Sheet1.csv,3,2,string 2,{fc(cfff3f)*gulp*},"{fc(cfff3f)- Nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein.}",translate,translated,displayed-string:fc-repair,fc3ca3eb0f75b9c8efc24ee46870260453d846160ec9f3f04365ebd66b5df719
4a33355fd31f6949b7b40331,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s07_0_panicxrt_a0_d034_m010_010.mbe/000_Sheet1.csv,3,4,string 4,{fc(cfff3f)*gulp*},"{fc(cfff3f)- Nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein.}",translate,translated,displayed-string:fc-repair,fc3ca3eb0f75b9c8efc24ee46870260453d846160ec9f3f04365ebd66b5df719
66565cd2935a605bd71f7ee5,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s07_0_panicxrt_a0_d034_m010_010.mbe/000_Sheet1.csv,4,2,string 2,So?,Und?,translate,translated,displayed-string,a55dbaa51933842c5d941e4a87e1db94d61d06e1e517ab03e5901f70416a275c
c49e380f65635f9cedfc2814,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s07_0_panicxrt_a0_d034_m010_010.mbe/000_Sheet1.csv,4,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
7f37c7cb1268ae736fdbf57c,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s07_0_panicxrt_a0_d034_m010_010.mbe/000_Sheet1.csv,4,4,string 4,So?,Und?,translate,translated,displayed-string,a55dbaa51933842c5d941e4a87e1db94d61d06e1e517ab03e5901f70416a275c
a48a19bfff5ccccf3ebede71,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s07_0_panicxrt_a0_d034_m010_010.mbe/000_Sheet1.csv,5,2,string 2,Well...,Na dann...,translate,translated,displayed-string,5af35db6f8fe39ad7419a02803f002172cf4eb9530b21188e2c81497136783d2
f859ceb5566b7eef2ccc84a8,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s07_0_panicxrt_a0_d034_m010_010.mbe/000_Sheet1.csv,5,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
b947b7e68c8ed5f7cda94fb8,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s07_0_panicxrt_a0_d034_m010_010.mbe/000_Sheet1.csv,5,4,string 4,Well...,Na dann...,translate,translated,displayed-string,5af35db6f8fe39ad7419a02803f002172cf4eb9530b21188e2c81497136783d2
9a9725117edc9ffebd6351b6,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s07_0_panicxrt_a0_d034_m010_010.mbe/000_Sheet1.csv,6,2,string 2,"I think my stomach feels a little warm, but that's it.","Ich glaube, mein Magen fühlt sich etwas warm an, aber das war's.",translate,translated,displayed-string,fe7096545e8b2c0c5e7cc60c30f5714d8b3605ec06c714da7bb365e4f17a43e7
84316f31ac6a79f4b6bc91b3,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s07_0_panicxrt_a0_d034_m010_010.mbe/000_Sheet1.csv,6,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
e174a4a7e171f4367e8c4641,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s07_0_panicxrt_a0_d034_m010_010.mbe/000_Sheet1.csv,6,4,string 4,"I think my stomach feels a little warm, but that's it.","Ich glaube, mein Magen fühlt sich etwas warm an, aber das war's.",translate,translated,displayed-string,fe7096545e8b2c0c5e7cc60c30f5714d8b3605ec06c714da7bb365e4f17a43e7
1d6ca62653867da874b3c717,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s07_0_panicxrt_a0_d034_m010_010.mbe/000_Sheet1.csv,7,2,string 2,That's not what I mean.,Das meine ich nicht.,translate,translated,displayed-string,dcc9735ed0710ee24b7363942d7edc82035baa3d8d7ac94b9716c6a28cbd0cf3
7f075490045d4b25aaf31206,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s07_0_panicxrt_a0_d034_m010_010.mbe/000_Sheet1.csv,7,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
946f43df5fd8502b2248e4bd,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s07_0_panicxrt_a0_d034_m010_010.mbe/000_Sheet1.csv,7,4,string 4,That's not what I mean.,Das meine ich nicht.,translate,translated,displayed-string,dcc9735ed0710ee24b7363942d7edc82035baa3d8d7ac94b9716c6a28cbd0cf3
5a2922ad4527c30f400a01c3,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s07_0_panicxrt_a0_d034_m010_010.mbe/000_Sheet1.csv,8,2,string 2,Has your head stopped feeling fuzzy now?,Fühlt sich dein Kopf jetzt nicht mehr fuzzy?,translate,translated,displayed-string,6b784fb1b5bc2380e1bd230df4495ec885395d29faaeecf1a3749eaa95dfeb07
