cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
a16a6b411b460677234a31ae,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_b_comedyrt_ab_d093_m040_030.mbe/000_Sheet1.csv,1,2,string 2,He's here...,Er ist hier...,translate,translated,displayed-string,9a2aaed427b61bc07968c95c54b1f6beebada708ddc97f1b75dffa6734d613b7
ef01e04aecf27d314f57040a,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_b_comedyrt_ab_d093_m040_030.mbe/000_Sheet1.csv,1,3,string2 3,s14_B_ComedyRt_Ab_d093_m040_030_0010,s14_B_ComedyRt_Ab_d093_m040_030_0010,protected,protected,resource-or-id,f3a06fd8f9b042a3554574dbe105fddb8174514f7121e5bc303cdb63054b84fb
fe9f524d2676c47394cd25a5,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_b_comedyrt_ab_d093_m040_030.mbe/000_Sheet1.csv,1,4,string 4,He's here...,Er ist hier...,translate,translated,displayed-string,9a2aaed427b61bc07968c95c54b1f6beebada708ddc97f1b75dffa6734d613b7
6e382f717be081b0d5c4240c,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_b_comedyrt_ab_d093_m040_030.mbe/000_Sheet1.csv,2,2,string 2,He's absolutely brimming with the will to fight. Unlike us.,"Er ist absolut voller Kampfwillen, im Gegensatz zu uns.",translate,translated,displayed-string,cb2d92acb873e3f96c5b819bb50a416691d12aef730a7121295ecc7b864c68dd
c46f9ac89db89d05b31a8881,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_b_comedyrt_ab_d093_m040_030.mbe/000_Sheet1.csv,2,3,string2 3,s14_B_ComedyRt_Ab_d093_m040_030_0020,s14_B_ComedyRt_Ab_d093_m040_030_0020,protected,protected,resource-or-id,e613549c5abd403d16b4386307969e3f780a47f8391ee2c846f09d697365fbfc
18df1a1a6aa6072f871cf4c0,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_b_comedyrt_ab_d093_m040_030.mbe/000_Sheet1.csv,2,4,string 4,He's absolutely brimming with the will to fight. Unlike us.,"Er ist absolut voller Kampfwillen, im Gegensatz zu uns.",translate,translated,displayed-string,cb2d92acb873e3f96c5b819bb50a416691d12aef730a7121295ecc7b864c68dd
b3b330752b372c25965132d3,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_b_comedyrt_ab_d093_m040_030.mbe/000_Sheet1.csv,3,2,string 2,Time for my ultra-top-secret device! Take a look at the invention I worked so hard to make!,"Zeit für mein ultra-top-geheimes Gerät! Werfen Sie einen Blick auf die Erfindung, die ich so hart gearbeitet zu machen!",translate,translated,displayed-string,89f7c77b0913b4f820d734cfd02b48e928da93360627284cbf0cdc82b6fe3d32
c1f0c4df494691a661273ddf,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_b_comedyrt_ab_d093_m040_030.mbe/000_Sheet1.csv,3,3,string2 3,s14_B_ComedyRt_Ab_d093_m040_030_0030,s14_B_ComedyRt_Ab_d093_m040_030_0030,protected,protected,resource-or-id,02e7445020e7570b606a557a72e685a10df6ea49fcd6f377225b3f4b18f33f19
f821956f7da12306cdfe8c59,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_b_comedyrt_ab_d093_m040_030.mbe/000_Sheet1.csv,3,4,string 4,Time for my ultra-top-secret device! Take a look at the invention I worked so hard to make!,"Zeit für mein ultra-top-geheimes Gerät! Werfen Sie einen Blick auf die Erfindung, die ich so hart gearbeitet zu machen!",translate,translated,displayed-string,89f7c77b0913b4f820d734cfd02b48e928da93360627284cbf0cdc82b6fe3d32
af3ee5f5e1105337ae1b84ef,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s14_b_comedyrt_ab_d093_m040_030.mbe/000_Sheet1.csv,4,2,string 2,Stop with the suspense and get on with it. What kind of weapon did you make?,Was für eine Waffe hast du gemacht?,translate,translated,displayed-string,5e209b131397bf768491b2b6c06feb6562160269779d726b6430e28da5330823
