cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
8d22cd2a4ca9686fb3191b58,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s11_0_seisyunr_ab_d065_m010_010.mbe/000_Sheet1.csv,1,2,string 2,Day 65,Tag 65,translate,translated,displayed-string,fc60329894ca47a26c16a7e817c63704003ee09bfe6489331ecfe2d205e979fd
2901b8a5cfe435d19493b6d1,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s11_0_seisyunr_ab_d065_m010_010.mbe/000_Sheet1.csv,1,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
833ef163c8bba2aec8066a21,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s11_0_seisyunr_ab_d065_m010_010.mbe/000_Sheet1.csv,1,4,string 4,Day 65,Tag 65,translate,translated,displayed-string,fc60329894ca47a26c16a7e817c63704003ee09bfe6489331ecfe2d205e979fd
fc74885b8f1c5707110ff607,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s11_0_seisyunr_ab_d065_m010_010.mbe/000_Sheet1.csv,2,2,string 2,{fc(57e4f1)The next day...},{fc(57e4f1)Am nächsten Tag...},translate,translated,displayed-string:fc-repair,a61620a2cc4990304b2e9508b83fbbcfdd0a6c6261e1152920212a269f96fa4e
25c62bee0d21f9c6f0aee718,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s11_0_seisyunr_ab_d065_m010_010.mbe/000_Sheet1.csv,2,4,string 4,{fc(57e4f1)The next day...},{fc(57e4f1)Am nächsten Tag...},translate,translated,displayed-string:fc-repair,a61620a2cc4990304b2e9508b83fbbcfdd0a6c6261e1152920212a269f96fa4e
a17a3951f31e8642723171ee,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s11_0_seisyunr_ab_d065_m010_010.mbe/000_Sheet1.csv,3,2,string 2,{fc(57e4f1)We built a coffin and buried Nozomi.},{fc(57e4f1)Wir bauten einen Sarg und begruben Nozomi.},translate,translated,displayed-string:fc-repair,cfb4915e31593295ebc8a666a9b4b33c9643807ecc7059c8459cd34d0196ed3d
1171041167c7fc4f665ec20a,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s11_0_seisyunr_ab_d065_m010_010.mbe/000_Sheet1.csv,3,4,string 4,{fc(57e4f1)We built a coffin and buried Nozomi.},{fc(57e4f1)Wir bauten einen Sarg und begruben Nozomi.},translate,translated,displayed-string:fc-repair,cfb4915e31593295ebc8a666a9b4b33c9643807ecc7059c8459cd34d0196ed3d
0f7c61a78f754047c10524a4,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s11_0_seisyunr_ab_d065_m010_010.mbe/000_Sheet1.csv,4,2,string 2,{fc(57e4f1)She got to die young and beautiful. Maybe she was lucky that way.},"{fc(57e4f1)Sie musste jung und schön sterben, vielleicht hatte sie so Glück.}",translate,translated,displayed-string:fc-repair,a0dee7bbaf857b59943731d849975faf4a8d047720e9fff038f5c13ac28de7a1
e52295bc4c299c789f4f1b10,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s11_0_seisyunr_ab_d065_m010_010.mbe/000_Sheet1.csv,4,4,string 4,{fc(57e4f1)She got to die young and beautiful. Maybe she was lucky that way.},"{fc(57e4f1)Sie musste jung und schön sterben, vielleicht hatte sie so Glück.}",translate,translated,displayed-string:fc-repair,a0dee7bbaf857b59943731d849975faf4a8d047720e9fff038f5c13ac28de7a1
932d2bc020d786970f0ef024,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s11_0_seisyunr_ab_d065_m010_010.mbe/000_Sheet1.csv,5,2,string 2,{fc(57e4f1)I was completely repulsed at myself for trying to find comfort in a thought like that.},"{fc(57e4f1)Ich war völlig abgestoßen, weil ich versuchte, Trost in einem solchen Gedanken zu finden.}",translate,translated,displayed-string:fc-repair,986755a382c95dbb721a96be5f5c2f22f08e24ffe3c263bf483ed9340d91f049
9f4951c53998452a6e92e334,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s11_0_seisyunr_ab_d065_m010_010.mbe/000_Sheet1.csv,5,4,string 4,{fc(57e4f1)I was completely repulsed at myself for trying to find comfort in a thought like that.},"{fc(57e4f1)Ich war völlig abgestoßen, weil ich versuchte, Trost in einem solchen Gedanken zu finden.}",translate,translated,displayed-string:fc-repair,986755a382c95dbb721a96be5f5c2f22f08e24ffe3c263bf483ed9340d91f049
0842c73c1e987f448b90f870,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s11_0_seisyunr_ab_d065_m010_010.mbe/000_Sheet1.csv,6,2,string 2,"{fc(57e4f1)In the end, I never got to share any of it with her.}",{fc(57e4f1)Am Ende konnte ich nichts davon mit ihr teilen.},translate,translated,displayed-string:fc-repair,662e314a66a4e636f5de710026e5c6ca7615810657aa575ce87a0daf13dcc386
418419e183e2043edfc3ea2d,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s11_0_seisyunr_ab_d065_m010_010.mbe/000_Sheet1.csv,6,4,string 4,"{fc(57e4f1)In the end, I never got to share any of it with her.}",{fc(57e4f1)Am Ende konnte ich nichts davon mit ihr teilen.},translate,translated,displayed-string:fc-repair,662e314a66a4e636f5de710026e5c6ca7615810657aa575ce87a0daf13dcc386
7a303d3bff318a2ecb0dc07e,patch_text01.dx11.mvgl,patch_text04.dx11.mvgl,message/s11_0_seisyunr_ab_d065_m010_010.mbe/000_Sheet1.csv,7,2,string 2,"{fc(57e4f1)My feelings for her, the things I wanted to say to her... None of it.}","{fc(57e4f1)Meine Gefühle für sie, die Dinge, die ich ihr sagen wollte... nichts davon.}",translate,translated,displayed-string:fc-repair,f4630fc003466069f738369b8fc56030e16af60984ea46f13c41645084a7ae03
