cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
435264da0d99a7a90735643a,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_a_splatter_ba_d099_m040_010.mbe/000_Sheet1.csv,1,2,string 2,"Us five are the only ones left, huh...","Wir fünf sind die Einzigen, die noch übrig sind, huh...",translate,translated,displayed-string,fb287aa702090e234c1f690d3ec4ed88b0549cac67315eaf948e172bba6f8e12
df69bd8c243a3b37bbe2e5d0,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_a_splatter_ba_d099_m040_010.mbe/000_Sheet1.csv,1,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
dd764d409256333fcc17462c,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_a_splatter_ba_d099_m040_010.mbe/000_Sheet1.csv,1,4,string 4,"Us five are the only ones left, huh...","Wir fünf sind die Einzigen, die noch übrig sind, huh...",translate,translated,displayed-string,fb287aa702090e234c1f690d3ec4ed88b0549cac67315eaf948e172bba6f8e12
70575ced2db286698cd3c48a,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_a_splatter_ba_d099_m040_010.mbe/000_Sheet1.csv,2,2,string 2,Will the zombies be burned up by the missiles along with the invaders?,Werden die Zombies zusammen mit den Invasoren von den Raketen verbrannt werden?,translate,translated,displayed-string,92bf3446b103bbffe4ed9526e18a07e80983e9d0c2796b9b5a6af10bafeb9ce1
36ec961c067875d1e55b6423,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_a_splatter_ba_d099_m040_010.mbe/000_Sheet1.csv,2,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
b385295cebc3840ffa6468a5,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_a_splatter_ba_d099_m040_010.mbe/000_Sheet1.csv,2,4,string 4,Will the zombies be burned up by the missiles along with the invaders?,Werden die Zombies zusammen mit den Invasoren von den Raketen verbrannt werden?,translate,translated,displayed-string,92bf3446b103bbffe4ed9526e18a07e80983e9d0c2796b9b5a6af10bafeb9ce1
8b491ccb620373b35237b5d1,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_a_splatter_ba_d099_m040_010.mbe/000_Sheet1.csv,3,2,string 2,What...?,Was denn?,translate,translated,displayed-string,1d17b9ac4ee43ee37cd955f6fce3863c89c29198a6763d51043114d817ec7395
b76f63cf6a0af49e571baf30,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_a_splatter_ba_d099_m040_010.mbe/000_Sheet1.csv,3,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
1f07f20ed7259f558d4694dc,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_a_splatter_ba_d099_m040_010.mbe/000_Sheet1.csv,3,4,string 4,What...?,Was denn?,translate,translated,displayed-string,1d17b9ac4ee43ee37cd955f6fce3863c89c29198a6763d51043114d817ec7395
2cc82fb857a4868932c510f2,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_a_splatter_ba_d099_m040_010.mbe/000_Sheet1.csv,4,2,string 2,"Hey, wait... Look over there!","Hey, warte... schau da drüben!",translate,translated,displayed-string,04f1609a8f178f8ecb8f721f8b8bebf69ee3c9ac6eb025630895f039575c782e
af6d63c6068eff427c172fcc,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_a_splatter_ba_d099_m040_010.mbe/000_Sheet1.csv,4,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
39986ff801c653cbc3f7b634,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_a_splatter_ba_d099_m040_010.mbe/000_Sheet1.csv,4,4,string 4,"Hey, wait... Look over there!","Hey, warte... schau da drüben!",translate,translated,displayed-string,04f1609a8f178f8ecb8f721f8b8bebf69ee3c9ac6eb025630895f039575c782e
c20bb398af89fb1991b903ae,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_a_splatter_ba_d099_m040_010.mbe/000_Sheet1.csv,5,2,string 2,What? What's there?,Was gibt's da?,translate,translated,displayed-string,51b9b5392778c880a61a14a9624ece452739dc51ec3fcdf99650eac1ee73f991
22a382aaa303362354631143,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_a_splatter_ba_d099_m040_010.mbe/000_Sheet1.csv,5,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
87cb623e2e1409b80a6666a8,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_a_splatter_ba_d099_m040_010.mbe/000_Sheet1.csv,5,4,string 4,What? What's there?,Was gibt's da?,translate,translated,displayed-string,51b9b5392778c880a61a14a9624ece452739dc51ec3fcdf99650eac1ee73f991
cbe15d274199ebf89a9f63d5,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_a_splatter_ba_d099_m040_010.mbe/000_Sheet1.csv,6,2,string 2,Whoa... Whaaaat?!,Was soll das?,translate,translated,displayed-string,ef018b4168a6615d9c928879f0d5f2e72070fdc53900af08e87679632dad6431
9662492d68d4a8d6553bac9e,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_a_splatter_ba_d099_m040_010.mbe/000_Sheet1.csv,6,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
c1b826444410bce4d6a9e12e,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_a_splatter_ba_d099_m040_010.mbe/000_Sheet1.csv,6,4,string 4,Whoa... Whaaaat?!,Was soll das?,translate,translated,displayed-string,ef018b4168a6615d9c928879f0d5f2e72070fdc53900af08e87679632dad6431
a0400d125f3bdfe041ebeccc,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_a_splatter_ba_d099_m040_010.mbe/000_Sheet1.csv,7,2,string 2,{fc(57e4f1)Everyone turned to look at me before I could call out to them.},"{fc(57e4f1)Alle schauten mich an, bevor ich sie anrufen konnte.}",translate,translated,displayed-string:fc-repair,cf650789eb5c6e8879e10acc71b7dafc2a960278ec3a99473fdd67c6d8c54d01
d490ad24fa96705dc387839e,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_a_splatter_ba_d099_m040_010.mbe/000_Sheet1.csv,7,4,string 4,{fc(57e4f1)Everyone turned to look at me before I could call out to them.},"{fc(57e4f1)Alle schauten mich an, bevor ich sie anrufen konnte.}",translate,translated,displayed-string:fc-repair,cf650789eb5c6e8879e10acc71b7dafc2a960278ec3a99473fdd67c6d8c54d01
fcaf7152930c0e69e2edb7ea,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_a_splatter_ba_d099_m040_010.mbe/000_Sheet1.csv,8,2,string 2,No... It can't be...,"Nein, das kann nicht sein...",translate,translated,displayed-string,d66351cb4178619046f6382b35c54cf45076b527fb7a86b65194094b35243517
77554791527acebeac25472a,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_a_splatter_ba_d099_m040_010.mbe/000_Sheet1.csv,8,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
5be98c6d212413b94b670837,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_a_splatter_ba_d099_m040_010.mbe/000_Sheet1.csv,8,4,string 4,No... It can't be...,"Nein, das kann nicht sein...",translate,translated,displayed-string,d66351cb4178619046f6382b35c54cf45076b527fb7a86b65194094b35243517
3727ad595b524a4fc53bd39a,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_a_splatter_ba_d099_m040_010.mbe/000_Sheet1.csv,9,2,string 2,"{fc(57e4f1)I was taken aback by how astonished they seemed, but I was too happy to mention anything about it.}","{fc(57e4f1)Ich war überrascht, wie erstaunt sie schienen, aber ich war zu glücklich, etwas darüber zu erwähnen.}",translate,translated,displayed-string:fc-repair,de95c987042d92182eee2c85722ac131e020add0c593a355ba538e1e28fc948a
618e535b79fd1d35f82d1280,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_a_splatter_ba_d099_m040_010.mbe/000_Sheet1.csv,9,4,string 4,"{fc(57e4f1)I was taken aback by how astonished they seemed, but I was too happy to mention anything about it.}","{fc(57e4f1)Ich war überrascht, wie erstaunt sie schienen, aber ich war zu glücklich, etwas darüber zu erwähnen.}",translate,translated,displayed-string:fc-repair,de95c987042d92182eee2c85722ac131e020add0c593a355ba538e1e28fc948a
5791b802bb7e54dc761e572f,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_a_splatter_ba_d099_m040_010.mbe/000_Sheet1.csv,10,2,string 2,"{fc(57e4f1)In sheer relief, I started running as fast as I could toward them.}",{fc(57e4f1)In aller Erleichterung lief ich so schnell wie möglich auf sie zu.},translate,translated,displayed-string:fc-repair,389decd1855fa31478e27764ba830674e16fbf1cab4fb20e036892587486644e
f367aa1941a578ad13eee62e,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_a_splatter_ba_d099_m040_010.mbe/000_Sheet1.csv,10,4,string 4,"{fc(57e4f1)In sheer relief, I started running as fast as I could toward them.}",{fc(57e4f1)In aller Erleichterung lief ich so schnell wie möglich auf sie zu.},translate,translated,displayed-string:fc-repair,389decd1855fa31478e27764ba830674e16fbf1cab4fb20e036892587486644e
d28ad326865127d4a950c32b,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_a_splatter_ba_d099_m040_010.mbe/000_Sheet1.csv,11,2,string 2,Speak of the zombies and they show up right away!,"Wenn man von den Zombies spricht, taucht sie sofort auf!",translate,translated,displayed-string,5e01ba6a43a2e014679bd06932a3ba62b76897fc9a3207b18d7fb3afd9cf535b
