cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
968ac7b8d3e24d7c44335863,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_b_comedyrt_aa_d067_m020_010.mbe/000_Sheet1.csv,1,2,string 2,"{fc(57e4f1)That morning, the Cafeteria was rather noisy.}",{fc(57e4f1)An diesem Morgen war die Cafeteria ziemlich laut.},translate,translated,displayed-string:fc-repair,6c1e92860c3b8b45fb17e5af7c7f835fe6c4de29e51a242dc0bd232522d761b3
d76e582adf372d12d4d9aeb3,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_b_comedyrt_aa_d067_m020_010.mbe/000_Sheet1.csv,1,4,string 4,"{fc(57e4f1)That morning, the Cafeteria was rather noisy.}",{fc(57e4f1)An diesem Morgen war die Cafeteria ziemlich laut.},translate,translated,displayed-string:fc-repair,6c1e92860c3b8b45fb17e5af7c7f835fe6c4de29e51a242dc0bd232522d761b3
a61a028ec58efad08a395ba1,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_b_comedyrt_aa_d067_m020_010.mbe/000_Sheet1.csv,2,2,string 2,"Hey, Sumino! You came at a great time!","Hey, Sumino, du bist zu einer tollen Zeit gekommen!",translate,translated,displayed-string,73d10c507142695839026dfcf97db103ca88c72c4ce1335fc4464cfbdf3d6405
2589f6c776329d307ae12f4c,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_b_comedyrt_aa_d067_m020_010.mbe/000_Sheet1.csv,2,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
1d7496ebe1e17f7c07f3b200,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_b_comedyrt_aa_d067_m020_010.mbe/000_Sheet1.csv,2,4,string 4,"Hey, Sumino! You came at a great time!","Hey, Sumino, du bist zu einer tollen Zeit gekommen!",translate,translated,displayed-string,73d10c507142695839026dfcf97db103ca88c72c4ce1335fc4464cfbdf3d6405
e8ef105002015279f12940af,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_b_comedyrt_aa_d067_m020_010.mbe/000_Sheet1.csv,3,2,string 2,What is it? What's happening?,Was ist los?,translate,translated,displayed-string,1435ff4c7fdb2af63b777b42170d7e9632f0cb5d7979ffbdbc1607954c457401
b34cddb8449caf0feaa75647,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_b_comedyrt_aa_d067_m020_010.mbe/000_Sheet1.csv,3,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
c33cac6cf5cd6a7318a14ac5,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_b_comedyrt_aa_d067_m020_010.mbe/000_Sheet1.csv,3,4,string 4,What is it? What's happening?,Was ist los?,translate,translated,displayed-string,1435ff4c7fdb2af63b777b42170d7e9632f0cb5d7979ffbdbc1607954c457401
578f24ab990e8650ecb6f0b9,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_b_comedyrt_aa_d067_m020_010.mbe/000_Sheet1.csv,4,2,string 2,Just come here. You might get hit if you stay over there.,"Du könntest getroffen werden, wenn du da drüben bleibst.",translate,translated,displayed-string,2f3059d40444c4a5bb5ae1170c634b8558aa52ac9dbf06efab6f31a2f894b755
96e278880baeda4ae30dc459,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_b_comedyrt_aa_d067_m020_010.mbe/000_Sheet1.csv,4,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
941b760b6f786ef5ae27a92b,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_b_comedyrt_aa_d067_m020_010.mbe/000_Sheet1.csv,4,4,string 4,Just come here. You might get hit if you stay over there.,"Du könntest getroffen werden, wenn du da drüben bleibst.",translate,translated,displayed-string,2f3059d40444c4a5bb5ae1170c634b8558aa52ac9dbf06efab6f31a2f894b755
6dddbbb818a56948edbc05f4,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_b_comedyrt_aa_d067_m020_010.mbe/000_Sheet1.csv,5,2,string 2,Hit? By what...?,Hit? Wodurch was...?,translate,translated,displayed-string,e6f003a93d456ace78403fbed463dd3f2038f0e5156cb458a68c679e7d8569c2
e9bb25bd14d80490639457a9,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_b_comedyrt_aa_d067_m020_010.mbe/000_Sheet1.csv,5,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
c00f55c4a46651ee040f3cad,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_b_comedyrt_aa_d067_m020_010.mbe/000_Sheet1.csv,5,4,string 4,Hit? By what...?,Hit? Wodurch was...?,translate,translated,displayed-string,e6f003a93d456ace78403fbed463dd3f2038f0e5156cb458a68c679e7d8569c2
119184b8672b06c4a4c01235,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_b_comedyrt_aa_d067_m020_010.mbe/000_Sheet1.csv,6,2,string 2,Hwafafah... I was just about to administer one of my punishments.,Hwafafah... ich wollte gerade eine meiner Strafen verabreichen.,translate,translated,displayed-string,5e7c166712f56f110d545a6053d0982f0c8d042f7fd86681a2643a435c92c6d2
3bc7b5edb5f750a6f9673fea,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_b_comedyrt_aa_d067_m020_010.mbe/000_Sheet1.csv,6,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
6a0bf8a431d5da78784355bb,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_b_comedyrt_aa_d067_m020_010.mbe/000_Sheet1.csv,6,4,string 4,Hwafafah... I was just about to administer one of my punishments.,Hwafafah... ich wollte gerade eine meiner Strafen verabreichen.,translate,translated,displayed-string,5e7c166712f56f110d545a6053d0982f0c8d042f7fd86681a2643a435c92c6d2
c0de9431aa912949bb993993,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_b_comedyrt_aa_d067_m020_010.mbe/000_Sheet1.csv,7,2,string 2,Again?! Who is it this time?,Wieder?! Wer ist es diesmal?,translate,translated,displayed-string,0cc5f622d66324b608ca576168aeda8b6a9f5f3b9ebaecbd548ec4b8d1667b85
dad64389921f3d3cc910d562,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_b_comedyrt_aa_d067_m020_010.mbe/000_Sheet1.csv,7,3,string2 3,pic_voice,pic_voice,protected,protected,resource-or-id,cab7b17cba7f601c1eccfd3be53c8e051c4ae21bfa05a8b49ea8a2e976e30cff
9987988f1ceb5d3a4c6c20da,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_b_comedyrt_aa_d067_m020_010.mbe/000_Sheet1.csv,7,4,string 4,Again?! Who is it this time?,Wieder?! Wer ist es diesmal?,translate,translated,displayed-string,0cc5f622d66324b608ca576168aeda8b6a9f5f3b9ebaecbd548ec4b8d1667b85
fe85b5b2eaebd7e4b5833938,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/s14_b_comedyrt_aa_d067_m020_010.mbe/000_Sheet1.csv,8,2,string 2,BAP!,Scheiße!,translate,translated,displayed-string,1e86e1027d59a7969436b8722609864b481df2b581a155509c73349b7941b77a
