cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
802a82c18dd467166b24e5f0,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/field_item_name.mbe/000_field_item_name.csv,1,1,string 1,Key Item A,Schlüsselelement A,translate,translated,displayed-string,9d41a53fedadcd96296055f36221db1507d155dccae3ac91697ed2531d132a3e
ddffefebfbbeaba0ce46c8cb,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/field_item_name.mbe/000_field_item_name.csv,2,1,string 1,Key Item B,Schlüsselelement B,translate,translated,displayed-string,cb761aa7250e546c79843e4665e40a181104887d9b27199f7ac06f4e2b9f39cc
088a1e05e61141aa26a805c7,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/field_item_name.mbe/000_field_item_name.csv,3,1,string 1,Key Item C,Schlüsselelement C,translate,translated,displayed-string,b72431dc8649e771e5fa00fe82d4db70df6ce079637b4a1e3c0ab98aec3041c4
fb6c80dfac54f1dd29ed1f40,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/field_item_name.mbe/000_field_item_name.csv,4,1,string 1,Key Item D,Schlüsselelement D,translate,translated,displayed-string,229e3195d1995b3f3ec0ebaf1a4466e2bb80b2d68f31c840e0fb2e4c664d49a0
a82680aea277020d6be2e999,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/field_item_name.mbe/000_field_item_name.csv,5,1,string 1,Key Item E,Schlüsselelement E,translate,translated,displayed-string,28c1c9ea310e5d3be180b70605484969688b026d52a3f6fe7dba69fb097c3e8f
abcf48be262576c845046191,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/field_item_name.mbe/000_field_item_name.csv,6,1,string 1,Key Item F,Schlüsselelement F,translate,translated,displayed-string,d13389572248c6084ca736dc9acd0d98e7b3286e82132199a986af63882abc77
a684faac6d497f1f82a0c446,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/field_item_name.mbe/000_field_item_name.csv,7,1,string 1,Key Item G,Schlüsselelement G,translate,translated,displayed-string,b547ccb0c841ea75d2e5ca965eab82d923e4b1070c89733d9eb1f8a818821433
6dc445f2e5c6d990fd0ee59d,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/field_item_name.mbe/000_field_item_name.csv,8,1,string 1,Key Item H,Schlüsselelement H,translate,translated,displayed-string,1ab393a63f4f42a6b1c4be516d9d48956253821b8b1405ba8f7c74ad8aa8992e
c995fd4bf8d01ce1bc8b23ff,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/field_item_name.mbe/000_field_item_name.csv,9,1,string 1,Key Item I,Schlüsselelement I,translate,translated,displayed-string,47ce16449b61966a9e9a9c4aafc88b67f968635fefdacac7ff03deeb1c8cad9a
9bb371863d17fbd44a58955d,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/field_item_name.mbe/000_field_item_name.csv,10,1,string 1,Key Item J,Schlüsselposten J,translate,translated,displayed-string,aa862defb4d04bf562e5deebb68afc7a49f67e842fc555058075b4de81bd4ce9
4d4076b18deb151473a5e39b,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/field_item_name.mbe/000_field_item_name.csv,11,1,string 1,Small Flower,Kleine Blume,translate,translated,displayed-string,f78b437e5b556cd10242ccfcc45c1af92687d68bd51e0197042283c475e81289
fac96b620ede141650472e62,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/field_item_name.mbe/000_field_item_name.csv,12,1,string 1,Giant Flower Leaf,Riesenblütenblatt,translate,translated,displayed-string,7a70a185027c11efd3fbd1b9aecee5dbba8b62cf609db21982e885786dcb761a
6256f6df6ae4299b189dd6b0,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/field_item_name.mbe/000_field_item_name.csv,13,1,string 1,Mega Rafflesia,Mega Rafflesia,translate,translated,displayed-string,688c46bc4089ea6bc0a2acb693bbc9db1482feb62a6fc54ed2a535677c604f4b
d6f8f0c2d523b605c4ecfe96,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/field_item_name.mbe/000_field_item_name.csv,14,1,string 1,Sticky Tree Sap,Klebriger Baumsaft,translate,translated,displayed-string,b8bdf87ce9bae81827a485296005b7e62b663d1f86d075fd9875a3181bc5b8b5
fd7d8d722bf514c8d42f4e2a,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/field_item_name.mbe/000_field_item_name.csv,15,1,string 1,Plant Essence,Pflanzenessenz,translate,translated,displayed-string,58b916b2e96651fea0c0c2ff22728eabc69957bcc4e73c5ac7f87f20b5aad519
e50ef9264438e0fe80eb5687,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/field_item_name.mbe/000_field_item_name.csv,16,1,string 1,Golden Honey,Goldener Honig,translate,translated,displayed-string,0f6cf5746e72bd49010420b497da5c109a72130d554597aae8fef1633286ef78
62f3f0386425a7e7c3064105,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/field_item_name.mbe/000_field_item_name.csv,17,1,string 1,Purple Mushroom,Purpurpilz,translate,translated,displayed-string,3a0fd236eb9493dec36fdaba423b8d6af8df46d5397e67513a5e32a29dc65750
0c335687bb885f896ed8cf42,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/field_item_name.mbe/000_field_item_name.csv,18,1,string 1,Poisonous Mushroom,Giftiger Pilz,translate,translated,displayed-string,514df086dbd71af915e438aa3973225ee0f01369a5202571939c5ebedd669d82
62a8f37bd9b13adc509abe7d,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/field_item_name.mbe/000_field_item_name.csv,19,1,string 1,Fragrant Mushroom,Duftpilz,translate,translated,displayed-string,a9fb4e3d173609e49b78916fa2c664e089735731bf385ec5eb374b6b622b1045
286b24f3b1367f30d7e6808d,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/field_item_name.mbe/000_field_item_name.csv,20,1,string 1,Large Pumpkin,Großer Kürbis,translate,translated,displayed-string,18fd137c0c67f75f3a44554d40a1efeeeb0e53a05c4994ff4d41cacd31dd9a8b
6da576dea4ad21985f238e58,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/field_item_name.mbe/000_field_item_name.csv,21,1,string 1,Golden Pumpkin,Goldener Kürbis,translate,translated,displayed-string,c8486ef241821f6a893539fa991e6911e223537e0f17b16abadacdb46e7e099d
633a9d5a366546d95283a439,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/field_item_name.mbe/000_field_item_name.csv,22,1,string 1,Glowing Nut,Glühnüsse,translate,translated,displayed-string,ca032d091b49225a3003f6100fe8ee8c97ee57f76bb929ce0b061a0d50ae20e9
aa047819573d43c8e1608b44,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/field_item_name.mbe/000_field_item_name.csv,23,1,string 1,Fiery Flower,Feurige Blume,translate,translated,displayed-string,e6dc83c5bb64c4172ae9829a1fe3e0249e63cb8341af4a1db55e41b17cda2e89
ba74473afd71821a27d5e2c2,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/field_item_name.mbe/000_field_item_name.csv,24,1,string 1,Wooden Branch,Holzzweig,translate,translated,displayed-string,63c31288bcdb881c8d2bb12a072d4b892c229f5f8f5431217a88590cdc4d3180
d845ec6ced175bd7c097a4d8,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/field_item_name.mbe/000_field_item_name.csv,25,1,string 1,Wood Block,Holzblock,translate,translated,displayed-string,7c14c9a90b8f00c51717c119db92535c03bf06113a70dd09f7c3a6edcdc96d66
6efea72ffe740dea96ffee1e,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/field_item_name.mbe/000_field_item_name.csv,26,1,string 1,Spinning Seed,Spinnende Samen,translate,translated,displayed-string,b82f7dca310a992b3aeb7348996522d2caf3953f9f9de76f5552584f137ac89e
a30dfa7a36b674a0f51e63ee,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/field_item_name.mbe/000_field_item_name.csv,27,1,string 1,Large Leaf,Großes Blatt,translate,translated,displayed-string,3f8287835ecc5ee4d373de7c7bd510298756ceb24a88f24211e7ba2bbbcb1ed0
6131cb8241574c8adf7157eb,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/field_item_name.mbe/000_field_item_name.csv,28,1,string 1,Large Turnip,Große Rüben,translate,translated,displayed-string,68630ca02b043e88b02fa5649a2325a1b76e81f972d0fe23b0dbeb84f76933b5
d4f39680564e45d671d507ed,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/field_item_name.mbe/000_field_item_name.csv,29,1,string 1,Crimson Rose,Karmesin-Rosen,translate,translated,displayed-string,0b80cbfa90774c945a6de9d8a8389229dc61274fbd5f0b0bd8d25abcbdadca00
cd249ed834910da03b0a3bfe,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/field_item_name.mbe/000_field_item_name.csv,30,1,string 1,Lavender,Lavender,review,pending,ambiguous-single-token,60707cfeb40e2a665b352fd1618c7c84685856fdc4b7f5ebffc7987ade98df2f
fcd6fd869165f12c5b60526c,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/field_item_name.mbe/000_field_item_name.csv,31,1,string 1,Orchid,Orchid,review,pending,ambiguous-single-token,baf5d82057e714c2c75b2cf6e26fb389b6645f0965addb25f825c7fbe070928e
eb06be03eee0298945111872,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/field_item_name.mbe/000_field_item_name.csv,32,1,string 1,Mandragora,Mandragora,review,pending,ambiguous-single-token,0875978a80ebbea2af57b50d414257c51889852884a9f2e91715dfecb668c4df
459546559ea85320c976d7de,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/field_item_name.mbe/000_field_item_name.csv,33,1,string 1,Bamboo,Bamboo,review,pending,ambiguous-single-token,4d31f753bb3e35610abbcdb49ef9fadfd77b4cf0e9fc8ac253ce86b6c12ffd05
963baa15080c18932268b14c,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/field_item_name.mbe/000_field_item_name.csv,34,1,string 1,Juicy Bamboo Shoot,Juicy Bambus schießen,translate,translated,displayed-string,85dd6471167f619e236151ef4df386a23ded8f0a2c5294c0c8389161526c8015
8e4fe6d996f896f2fb9fff84,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/field_item_name.mbe/000_field_item_name.csv,35,1,string 1,Clover,Clover,review,pending,ambiguous-single-token,a740edd9c1a1745f1ba5bb712b8b4c9e4061cb11697cf4e298e091f459ce7e4a
08630bc2361bfbb31d97528b,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/field_item_name.mbe/000_field_item_name.csv,36,1,string 1,Four-Leaf Clover,Vierblättrige Klee,translate,translated,displayed-string,9f4daba6397696ec525c6243158f62fe535c1231ed5ab8b5ecf2fc3819ecc29d
e22835c7b43765eddf378db7,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/field_item_name.mbe/000_field_item_name.csv,37,1,string 1,Tree Bark,Baumbarsch,translate,translated,displayed-string,0511789b795f064fd3e8aac68b297da9be53a66023bc754f395baf6577aec9c5
34615c1a88a97f1b4877dd62,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/field_item_name.mbe/000_field_item_name.csv,38,1,string 1,Medicinal Herb,Arzneikräuter,translate,translated,displayed-string,ec86738da865043fa364d8ea428941b9f6dabaff6b44553085cbb96884f9364f
c6d662810dd7a3fdfe281b54,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/field_item_name.mbe/000_field_item_name.csv,39,1,string 1,Versatile Plant,Vielseitige Pflanze,translate,translated,displayed-string,f19560d7e4313341465881b64900cb73ff017f00da53edb2cb59a1c9a7ae8426
e48eda719340d5f697cde040,app_text01.dx11.mvgl,app_text04.dx11.mvgl,text/field_item_name.mbe/000_field_item_name.csv,40,1,string 1,Sturdy Lumber,Robustes Holz,translate,translated,displayed-string,35abaa4bb05638d72e92d9c8908fba5173c0516d14e0a62c105c8580929f942d
