cell_id,source_archive,target_archive,csv_rel,row_index,column_index,field,english,german,classification,status,reason,source_sha256
9618a9bfb3b77aa9171affe4,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/k_chr002take_05.mbe/000_Sheet1.csv,1,2,string 2,My old man died when I was a kid. Don't remember much about him.,"Mein Vater starb, als ich ein Kind war.",translate,translated,displayed-string,269dfe5711e1b31016a58fd8a8cdcfb67ff77da6e86da02a94a1049c333e2735
78a1a6aeae6813fc7c82cd96,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/k_chr002take_05.mbe/000_Sheet1.csv,1,3,string2 3,k_chr002TAKE_05_0010,k_chr002TAKE_05_0010,protected,protected,resource-or-id,a41f73b58138d4c0d0b42bc04d1a11601c5a60736319ec9ea23b7513f0fe3fe0
ae0c810c27f34ba46a0f8016,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/k_chr002take_05.mbe/000_Sheet1.csv,1,4,string 4,My old man died when I was a kid. Don't remember much about him.,"Mein Vater starb, als ich ein Kind war.",translate,translated,displayed-string,269dfe5711e1b31016a58fd8a8cdcfb67ff77da6e86da02a94a1049c333e2735
f6ec4c01a4438e737ebfb499,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/k_chr002take_05.mbe/000_Sheet1.csv,2,2,string 2,"Only thing I remember clearly is how he'd tell me not to be trashy, and always be cool.","Ich erinnere mich nur daran, wie er mir sagen würde, ich solle nicht trashy sein und immer cool sein.",translate,translated,displayed-string,0c600eefee582e242b9c5ee8f2503bf4033d7feaa987e2187fa3d98d85052145
0baaa6458588266beaaaaf58,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/k_chr002take_05.mbe/000_Sheet1.csv,2,3,string2 3,k_chr002TAKE_05_0020,k_chr002TAKE_05_0020,protected,protected,resource-or-id,f1c36f6b798b94b87d13a17611e7314759d0b0f0ac5e9f821a723fec0b0a9e6c
f6c0690fddf0a5c9f7552013,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/k_chr002take_05.mbe/000_Sheet1.csv,2,4,string 4,"Only thing I remember clearly is how he'd tell me not to be trashy, and always be cool.","Ich erinnere mich nur daran, wie er mir sagen würde, ich solle nicht trashy sein und immer cool sein.",translate,translated,displayed-string,0c600eefee582e242b9c5ee8f2503bf4033d7feaa987e2187fa3d98d85052145
c3cf7cf33bf9564ac9876f79,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/k_chr002take_05.mbe/000_Sheet1.csv,3,2,string 2,A trashy guy bullies the weak and a cool guy stands up against the powerful.,Ein trashy Kerl schikaniert die Schwachen und ein cooler Kerl steht gegen die Mächtigen.,translate,translated,displayed-string,09893e9a6255a4eb4a06c2d2ca117c34debde94df7b9317a6460d7f7e7c0511b
65960e1326a9ff5c7a1b4130,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/k_chr002take_05.mbe/000_Sheet1.csv,3,3,string2 3,k_chr002TAKE_05_0030,k_chr002TAKE_05_0030,protected,protected,resource-or-id,2d3054f37fb2e2c5352d9c16f9b19812071545fb8153db6828e77ca42db5829f
edd57c1ab36cfe3c62174a98,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/k_chr002take_05.mbe/000_Sheet1.csv,3,4,string 4,A trashy guy bullies the weak and a cool guy stands up against the powerful.,Ein trashy Kerl schikaniert die Schwachen und ein cooler Kerl steht gegen die Mächtigen.,translate,translated,displayed-string,09893e9a6255a4eb4a06c2d2ca117c34debde94df7b9317a6460d7f7e7c0511b
1bce8245762da4cfa482f11c,app_text01.dx11.mvgl,app_text04.dx11.mvgl,message/k_chr002take_05.mbe/000_Sheet1.csv,4,2,string 2,"And we can talk all day about what ""weak"" and ""powerful"" really mean, but my old man was definitely thinkin' about brute force.","Und wir können den ganzen Tag darüber reden, was ""schwach"" und ""machtvoll"" wirklich bedeuten, aber mein alter Mann hat definitiv an brutale Gewalt gedacht.",translate,translated,displayed-string,b5e48323d8c2a1ad0845283f8856b543836a9d5ca0bf2009454aebbaa5a0dd2c
